analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,North America,Cold - Cold Summer,climate,zero_truncated,0.6256,0.9483,0.6597068438257936,1,CCS,NA,NA,NA
h2_spd,North America,Cold - Cold Summer,human,zero_truncated,0.3227,0.9483,0.34029315617420647,1,CCS,NA,NA,NA
h2_spd,North America,Cold - Hot Summer,climate,zero_truncated,0.4399,0.5840000000000001,0.7532534246575342,1,CHS,NA,NA,NA
h2_spd,North America,Cold - Hot Summer,human,zero_truncated,0.1441,0.5840000000000001,0.24674657534246572,1,CHS,NA,NA,NA
h2_spd,North America,Cold - Warm Summer,climate,zero_truncated,0.5206,0.6604,0.7883101150817685,1,CWS,NA,NA,NA
h2_spd,North America,Cold - Warm Summer,human,zero_truncated,0.1398,0.6604,0.2116898849182314,1,CWS,NA,NA,NA
h2_spd,North America,Polar,climate,zero_truncated,0.6681,0.7743,0.8628438589693918,1,POL,NA,NA,NA
h2_spd,North America,Polar,human,zero_truncated,0.1062,0.7743,0.1371561410306083,1,POL,NA,NA,NA
h2_spd,North America,Temperate - Dry Summer,climate,zero_truncated,0.3785,0.4276,0.8851730589335829,1,TDS,NA,NA,NA
h2_spd,North America,Temperate - Dry Summer,human,zero_truncated,0.0491,0.4276,0.1148269410664172,1,TDS,NA,NA,NA
h2_spd,North America,Temperate,climate,zero_truncated,0.5128,0.6883,0.7450239721051867,1,TMP,NA,NA,NA
h2_spd,North America,Temperate,human,zero_truncated,0.1755,0.6883,0.2549760278948133,1,TMP,NA,NA,NA
h2_spd,Oceania,Temperate,climate,zero_truncated,0.5676,0.7301,0.7774277496233393,1,TMP,NA,NA,NA
h2_spd,Oceania,Temperate,human,zero_truncated,0.1625,0.7301,0.22257225037666076,1,TMP,NA,NA,NA
h2_spd,Oceania,Tropical,climate,zero_truncated,0.7493,0.7582,0.9882616723819573,1,TRO,NA,NA,NA
h2_spd,Oceania,Tropical,human,zero_truncated,0.0089,0.7582,0.011738327618042733,1,TRO,NA,NA,NA
h2_spd,Asia,Arid,NA,balance,NA,NA,NA,1,ARD,0.9746065808297568,0.025393419170243205,-0.9492131616595136
h2_spd,Asia,Cold - Dry Summer,NA,balance,NA,NA,NA,1,CDS,0.868514340960361,0.13148565903963905,-0.7370286819207219
h2_spd,Asia,Cold - Dry Winter,NA,balance,NA,NA,NA,1,CDW,0.6887207702888583,0.31127922971114164,-0.3774415405777166
h2_spd,Asia,Cold - Cold Summer,NA,balance,NA,NA,NA,1,CCS,0.7243125904486252,0.2756874095513748,-0.4486251808972504
h2_spd,Asia,Cold - Warm Summer,NA,balance,NA,NA,NA,1,CWS,0.49901088031651836,0.5009891196834817,0.0019782393669633414
h2_spd,Asia,Polar,NA,balance,NA,NA,NA,1,POL,0.8548951048951049,0.1451048951048951,-0.7097902097902098
