region,climatezone,stratum,age,age_ka,age_ka_scaled,n_datasets_marginalised,estimate,estimate_error,conf_low,conf_high,analysis,model_id,variable,model_profile,source_model_file,prediction_draws_used,prediction_range,prediction_estimand,value
Asia,Arid,Asia__Arid,7500,7.5,1.28473444,30,0.78820736,0.03162986,0.72696014,0.85067989,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.78820736
Asia,Arid,Asia__Arid,8000,8,1.49544534,28,0.83224387,0.03938551,0.75986925,0.9107304,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.83224387
Asia,Arid,Asia__Arid,8500,8.5,1.70615624,26,0.90845555,0.06103035,0.80345746,1.03134055,pap_temporal,pap_temporal__dcca_axis_1__Asia__Arid,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Arid_2026-07-06__09f464b2c994638d879c7ce5953ebe5a__.qs,1000,group_observed,equal_weighted_dataset_mean,0.90845555
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,500,0.5,-1.69228463,5,0.17694333,0.03767391,0.11537878,0.25908132,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.17694333
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,1000,1,-1.48590845,7,0.23388217,0.03229312,0.1789157,0.30563908,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.23388217
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,1500,1.5,-1.27953228,8,0.25449806,0.02631154,0.20872174,0.31173606,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.25449806
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,2000,2,-1.0731561,8,0.29868406,0.02911959,0.24809429,0.35904478,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.29868406
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,2500,2.5,-0.86677993,8,0.34817585,0.03578308,0.28951709,0.42486743,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.34817585
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,3000,3,-0.66040376,8,0.39874719,0.04160993,0.32915592,0.48797738,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.39874719
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,3500,3.5,-0.45402758,8,0.44610315,0.04586573,0.36534723,0.5417063,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.44610315
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,4000,4,-0.24765141,8,0.48877712,0.05217415,0.39473256,0.60198819,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.48877712
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,4500,4.5,-0.04127523,8,0.52606344,0.05630251,0.43035905,0.64860549,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.52606344
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,5000,5,0.16510094,8,0.55941398,0.06224965,0.44947132,0.69763509,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.55941398
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,5500,5.5,0.37147711,8,0.59204278,0.06401579,0.4772426,0.72580642,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.59204278
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,6000,6,0.57785329,8,0.63067043,0.06694167,0.50691631,0.77645394,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.63067043
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,6500,6.5,0.78422946,8,0.68421674,0.06856085,0.55315618,0.82924877,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.68421674
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,7000,7,0.99060564,8,0.75807241,0.07456218,0.62894137,0.92060039,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.75807241
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,7500,7.5,1.19698181,7,0.82517698,0.08842807,0.67330968,1.01935318,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.82517698
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,8000,8,1.40335798,7,0.90635621,0.10742439,0.72946444,1.13961671,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,0.90635621
Asia,Cold_Dry_Summer,Asia__Cold_Dry_Summer,8500,8.5,1.60973416,7,1.01748441,0.16709007,0.73871998,1.38730293,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Summer_2026-07-06__e7f28c9a2f5ce49f29e9ce2ae1d1734d__.qs,1000,group_observed,equal_weighted_dataset_mean,1.01748441
Asia,Cold_Dry_Winter,Asia__Cold_Dry_Winter,500,0.5,-1.69605674,26,0.37388495,0.03296575,0.31887901,0.44528742,pap_temporal,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter,dcca_axis_1,within_stratum_dataset_fs,pap_temporal__dcca_axis_1__Asia__Cold_Dry_Winter_2026-07-06__cc105595cca1f7daa4a8d0e3ff5af1a8__.qs,1000,group_observed,equal_weighted_dataset_mean,0.37388495
