analysis,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_events,1262,263,263,107.916,0.4103269961977186,31.5395,0.11992205323193916,50.7981,0.1931486692015209,25.5754,0.09724486692015209,155.084,0.5896730038022814,108.318,0.4118555133079848,30.585569294088142,0.11629494028170395,49.5514524021753,0.18840856426682623,28.18097830373656,0.1071520087594546,154.682,0.5881444866920152
spatial_spd,1262,1156,1156,407.046,0.3521159169550173,56.821600000000004,0.04915363321799308,271.4257,0.23479731833910034,78.7962,0.0681628027681661,748.954,0.6478840830449827,410.323,0.3549506920415225,62.05674504977317,0.053682305406378174,257.0638755417594,0.22237359475930743,91.20237940846745,0.0788947918758369,745.677,0.6450493079584775
temporal_events,85,76,76,8.663,0.11398684210526316,0.7199,0.009472368421052632,7.2633,0.09556973684210526,0.6809000000000001,0.00895921052631579,67.337,0.8860131578947369,8.663,0.11398684210526316,0.8030194928565763,0.010566045958639162,7.12696189214197,0.09377581437028908,0.7330186150014538,0.009644981776334919,67.337,0.8860131578947369
temporal_spd,70,70,70,7.8629999999999995,0.11232857142857143,0.588,0.0084,6.9228,0.09889714285714286,0.3529,0.005041428571428572,62.137,0.8876714285714286,7.87,0.11242857142857143,0.6127783749735012,0.00875397678533573,6.69090834356844,0.09558440490812058,0.5663132814580587,0.008090189735115124,62.13,0.8875714285714286
