analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
h2_spd,model,human,signed,0.3048,0.917,0.33238822246455835,1,0.33238822246455835,0,analysis=h2_spd|region=Asia|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.603,0.876,0.6883561643835616,1,0.6883561643835616,0,analysis=h2_spd|region=Asia|climatezone=Temperate_Dry_Winter,NA,NA,NA
h2_spd,model,human,signed,0.2726,0.876,0.31118721461187215,1,0.31118721461187215,0,analysis=h2_spd|region=Asia|climatezone=Temperate_Dry_Winter,NA,NA,NA
h2_spd,model,climate,signed,0.7753,0.837,0.926284348864994,1,0.926284348864994,0,analysis=h2_spd|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,human,signed,0.0618,0.837,0.07383512544802867,1,0.07383512544802867,0,analysis=h2_spd|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,climate,signed,0.2408,0.326,0.7386503067484662,1,0.7386503067484662,0,analysis=h2_spd|region=Europe|climatezone=Arid,NA,NA,NA
h2_spd,model,human,signed,0.0847,0.326,0.2598159509202454,1,0.2598159509202454,0,analysis=h2_spd|region=Europe|climatezone=Arid,NA,NA,NA
h2_spd,model,climate,signed,0.9466,1.076,0.8797397769516728,1,0.8797397769516728,0,analysis=h2_spd|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,human,signed,0.1291,1.076,0.11998141263940519,1,0.11998141263940519,0,analysis=h2_spd|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.9871,1.039,0.9500481231953802,1,0.9500481231953802,0,analysis=h2_spd|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,human,signed,0.0518,1.039,0.04985563041385948,1,0.04985563041385948,0,analysis=h2_spd|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.6551,0.745,0.8793288590604027,1,0.8793288590604027,0,analysis=h2_spd|region=Europe|climatezone=Polar,NA,NA,NA
h2_spd,model,human,signed,0.0898,0.745,0.12053691275167785,1,0.12053691275167785,0,analysis=h2_spd|region=Europe|climatezone=Polar,NA,NA,NA
h2_spd,model,climate,signed,0.5066,0.713,0.7105189340813465,1,0.7105189340813465,0,analysis=h2_spd|region=Europe|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,human,signed,0.2065,0.713,0.28962131837307153,1,0.28962131837307153,0,analysis=h2_spd|region=Europe|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.9482,1.014,0.9351084812623275,1,0.9351084812623275,0,analysis=h2_spd|region=Europe|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,human,signed,0.0659,1.014,0.06499013806706114,1,0.06499013806706114,0,analysis=h2_spd|region=Europe|climatezone=Temperate_Without_dry_season,NA,NA,NA
h2_spd,model,climate,signed,0.7841,0.953,0.8227701993704093,1,0.8227701993704093,0,analysis=h2_spd|region=Latin America|climatezone=Arid,NA,NA,NA
h2_spd,model,human,signed,0.1692,0.953,0.17754459601259182,1,0.17754459601259182,0,analysis=h2_spd|region=Latin America|climatezone=Arid,NA,NA,NA
h2_spd,model,climate,signed,0.6635,0.863,0.7688296639629201,1,0.7688296639629201,0,analysis=h2_spd|region=Latin America|climatezone=Polar,NA,NA,NA
h2_spd,model,human,signed,0.1998,0.863,0.23151796060254926,1,0.23151796060254926,0,analysis=h2_spd|region=Latin America|climatezone=Polar,NA,NA,NA
h2_spd,model,climate,signed,0.2475,0.402,0.6156716417910447,1,0.6156716417910447,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,human,signed,0.1547,0.402,0.38482587064676615,1,0.38482587064676615,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
h2_spd,model,climate,signed,0.4114,0.584,0.7044520547945206,1,0.7044520547945206,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Dry_Winter,NA,NA,NA
h2_spd,model,human,signed,0.1726,0.584,0.2955479452054795,1,0.2955479452054795,0,analysis=h2_spd|region=Latin America|climatezone=Temperate_Dry_Winter,NA,NA,NA
