summary_level,n_units,n_profile_250_km_present,n_profile_500_km_present,n_estimable_250_km,n_estimable_500_km,n_matched_estimable,n_status_changes,n_ranking_reversals,n_lost_estimability,n_gained_estimability,n_material_changes,proportion_ranking_reversals,proportion_material_changes,median_delta,delta_q25,delta_q75,region,climatezone
overall,1262,1262,1262,999,1126,999,139,100,0,127,227,0.1001001001001001,0.17987321711568938,0.014600000000000002,-0.01535000000000001,0.054000000000000006,NA,NA
region,177,177,177,42,98,42,62,0,0,56,56,0,0.3163841807909605,0.0033500000000000023,-0.01905000000000002,0.050599999999999985,Asia,NA
region,396,396,396,367,381,367,17,41,0,14,55,0.11171662125340599,0.1388888888888889,0.008500000000000008,-0.0194,0.04225000000000001,Europe,NA
region,87,87,87,60,73,60,13,3,0,13,16,0.05,0.1839080459770115,0.004799999999999981,-0.021124999999999994,0.043250000000000025,Latin America,NA
region,554,554,554,499,542,499,46,54,0,43,97,0.10821643286573146,0.17509025270758122,0.024499999999999994,-0.01005,0.06930000000000001,North America,NA
region,48,48,48,31,32,31,1,2,0,1,3,0.06451612903225806,0.0625,0.014899999999999969,-0.009200000000000003,0.0256,Oceania,NA
climatezone,63,63,63,38,50,38,14,3,0,12,15,0.07894736842105263,0.23809523809523808,0.01985,-0.025300000000000003,0.04789999999999998,NA,Arid
climatezone,64,64,64,53,56,53,4,8,0,3,11,0.1509433962264151,0.171875,0.02679999999999999,-0.0049000000000000155,0.07189999999999999,NA,Cold_Dry_Summer
climatezone,35,35,35,15,23,15,8,0,0,8,8,0,0.22857142857142856,0,-0.031500000000000014,0.044649999999999995,NA,Cold_Dry_Winter
climatezone,272,272,272,211,241,211,33,22,0,30,52,0.10426540284360189,0.19117647058823528,0.021699999999999983,-0.017500000000000016,0.05635,NA,Cold_Without_dry_season_Cold_Summer
climatezone,55,55,55,52,53,52,1,5,0,1,6,0.09615384615384616,0.10909090909090909,0.017350000000000004,-0.015725000000000038,0.07317499999999999,NA,Cold_Without_dry_season_Hot_Summer
climatezone,3,3,3,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,Cold_Without_dry_season_Very_Cold_Summer
climatezone,369,369,369,325,354,325,34,38,0,29,67,0.11692307692307692,0.18157181571815717,0.017499999999999988,-0.012700000000000003,0.05529999999999996,NA,Cold_Without_dry_season_Warm_Summer
climatezone,116,116,116,80,101,80,21,5,0,21,26,0.0625,0.22413793103448276,0.007099999999999981,-0.013050000000000013,0.049475,NA,Polar
climatezone,46,46,46,44,45,44,2,5,0,1,6,0.11363636363636363,0.13043478260869565,0.00830000000000003,-0.014349999999999991,0.049575000000000057,NA,Temperate_Dry_Summer
climatezone,16,16,16,2,10,2,8,0,0,8,8,0,0.5,0.01525,0.0034249999999999975,0.027075000000000002,NA,Temperate_Dry_Winter
climatezone,193,193,193,168,174,168,6,14,0,6,20,0.08333333333333333,0.10362694300518134,0.009649999999999992,-0.021674999999999976,0.04465000000000001,NA,Temperate_Without_dry_season
climatezone,30,30,30,11,19,11,8,0,0,8,8,0,0.26666666666666666,2.999999999999947e-4,-0.015549999999999998,0.02410000000000001,NA,Tropical
region_and_climatezone,32,32,32,10,20,10,12,0,0,10,10,0,0.3125,0.004350000000000007,-0.025974999999999998,0.03175000000000001,Asia,Arid
region_and_climatezone,8,8,8,4,4,4,0,0,0,0,0,0,0,0.08415,0.0544,0.09915,Asia,Cold_Dry_Summer
region_and_climatezone,35,35,35,15,23,15,8,0,0,8,8,0,0.22857142857142856,0,-0.031500000000000014,0.044649999999999995,Asia,Cold_Dry_Winter
region_and_climatezone,34,34,34,0,8,0,8,0,0,8,8,NA,0.23529411764705882,NA,NA,NA,Asia,Cold_Without_dry_season_Cold_Summer
region_and_climatezone,2,2,2,0,1,0,1,0,0,1,1,NA,0.5,NA,NA,NA,Asia,Cold_Without_dry_season_Hot_Summer
region_and_climatezone,3,3,3,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,Asia,Cold_Without_dry_season_Very_Cold_Summer
region_and_climatezone,19,19,19,3,13,3,14,0,0,10,10,0,0.5263157894736842,-0.003999999999999997,-0.04870000000000001,0.021199999999999986,Asia,Cold_Without_dry_season_Warm_Summer
region_and_climatezone,20,20,20,4,10,4,6,0,0,6,6,0,0.3,0.002849999999999988,-0.002700000000000008,0.014899999999999998,Asia,Polar
region_and_climatezone,5,5,5,3,4,3,1,0,0,1,1,0,0.2,0.0699,-0.029599999999999994,0.0743,Asia,Temperate_Dry_Summer
region_and_climatezone,9,9,9,0,7,0,7,0,0,7,7,NA,0.7777777777777778,NA,NA,NA,Asia,Temperate_Dry_Winter
region_and_climatezone,9,9,9,3,8,3,5,0,0,5,5,0,0.5555555555555556,0.011300000000000032,5.500000000000088e-4,0.03589999999999999,Asia,Temperate_Without_dry_season
region_and_climatezone,1,1,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,Asia,Tropical
