analysis,region,age,status,n_selected,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed
temporal_spd,Latin America,7500,spatial_model_estimated,1,-6e-4,0.1455,-3e-4,0.1225,-0.14609999999999998,-3e-4,0.1225,-0.12279999999999999,climate,climate,FALSE
temporal_spd,Latin America,8000,no_spatial_terms_selected,0,0.0512,0.1216,NA,NA,-0.07039999999999999,0.0512,0.1216,-0.07039999999999999,climate,climate,FALSE
temporal_spd,Latin America,8500,spatial_model_estimated,1,0.0097,0.1274,0.0098,0.0953,-0.11770000000000001,0.0098,0.0953,-0.08549999999999999,climate,climate,FALSE
temporal_spd,Latin America,3500,no_spatial_terms_selected,0,0.013,0.1911,NA,NA,-0.17809999999999998,0.013,0.1911,-0.17809999999999998,climate,climate,FALSE
temporal_spd,Oceania,2000,no_spatial_terms_selected,0,0.0232,0.0083,NA,NA,0.014899999999999998,0.0232,0.0083,0.014899999999999998,human,human,FALSE
temporal_spd,Oceania,2500,no_spatial_terms_selected,0,0.0094,0.0611,NA,NA,-0.0517,0.0094,0.0611,-0.0517,climate,climate,FALSE
temporal_spd,Oceania,3000,no_spatial_terms_selected,0,0.0275,0.1154,NA,NA,-0.0879,0.0275,0.1154,-0.0879,climate,climate,FALSE
temporal_spd,Oceania,3500,spatial_model_estimated,1,0.0236,0.1191,0.0252,0.1386,-0.0955,0.0252,0.1386,-0.1134,climate,climate,FALSE
temporal_spd,Oceania,4000,no_spatial_terms_selected,0,0.0072,0.075,NA,NA,-0.0678,0.0072,0.075,-0.0678,climate,climate,FALSE
temporal_spd,Oceania,4500,spatial_model_estimated,1,0.0048,0.1186,0.0056,0.1265,-0.1138,0.0056,0.1265,-0.12090000000000001,climate,climate,FALSE
temporal_spd,Oceania,5000,no_spatial_terms_selected,0,0.0016,0.0634,NA,NA,-0.0618,0.0016,0.0634,-0.0618,climate,climate,FALSE
temporal_spd,Oceania,5500,no_spatial_terms_selected,0,0.0058,0.0585,NA,NA,-0.052700000000000004,0.0058,0.0585,-0.052700000000000004,climate,climate,FALSE
temporal_spd,Oceania,6000,no_spatial_terms_selected,0,-0.0013,0.0688,NA,NA,-0.0701,-0.0013,0.0688,-0.0701,climate,climate,FALSE
temporal_spd,Oceania,7000,no_spatial_terms_selected,0,-0.0138,0.0066,NA,NA,-0.0204,-0.0138,0.0066,-0.0204,climate,climate,FALSE
temporal_spd,Oceania,7500,no_spatial_terms_selected,0,-0.0149,0.0432,NA,NA,-0.0581,-0.0149,0.0432,-0.0581,climate,climate,FALSE
temporal_spd,Asia,2000,spatial_model_estimated,1,0.0203,0.0778,0.0144,0.0799,-0.057499999999999996,0.0144,0.0799,-0.0655,climate,climate,FALSE
temporal_spd,Asia,2500,spatial_model_estimated,1,0.0055,0.089,0.0028,0.0904,-0.08349999999999999,0.0028,0.0904,-0.0876,climate,climate,FALSE
temporal_spd,Asia,3000,spatial_model_estimated,1,0.005,0.0867,0.003,0.0836,-0.0817,0.003,0.0836,-0.08059999999999999,climate,climate,FALSE
temporal_spd,Asia,3500,no_spatial_terms_selected,0,0.0057,0.0843,NA,NA,-0.0786,0.0057,0.0843,-0.0786,climate,climate,FALSE
temporal_spd,Asia,4000,no_spatial_terms_selected,0,0.0054,0.0705,NA,NA,-0.06509999999999999,0.0054,0.0705,-0.06509999999999999,climate,climate,FALSE
temporal_spd,Asia,4500,spatial_model_estimated,1,0.014,0.0728,0.0149,0.0736,-0.058800000000000005,0.0149,0.0736,-0.0587,climate,climate,FALSE
temporal_spd,Asia,5000,spatial_model_estimated,1,0.02,0.0665,0.0241,0.0671,-0.0465,0.0241,0.0671,-0.04300000000000001,climate,climate,FALSE
temporal_spd,Asia,5500,spatial_model_estimated,1,0.0054,0.0867,0.0048,0.0875,-0.0813,0.0048,0.0875,-0.0827,climate,climate,FALSE
temporal_spd,Asia,6000,no_spatial_terms_selected,0,0.0245,0.0825,NA,NA,-0.058,0.0245,0.0825,-0.058,climate,climate,FALSE
temporal_spd,Asia,6500,no_spatial_terms_selected,0,0.0066,0.0996,NA,NA,-0.093,0.0066,0.0996,-0.093,climate,climate,FALSE
temporal_spd,Asia,7000,no_spatial_terms_selected,0,0.0125,0.1093,NA,NA,-0.0968,0.0125,0.1093,-0.0968,climate,climate,FALSE
temporal_spd,Asia,7500,no_spatial_terms_selected,0,0.0221,0.1233,NA,NA,-0.10120000000000001,0.0221,0.1233,-0.10120000000000001,climate,climate,FALSE
temporal_spd,Asia,8000,spatial_model_estimated,1,0.0083,0.1498,0.0093,0.1472,-0.1415,0.0093,0.1472,-0.1379,climate,climate,FALSE
temporal_spd,Asia,8500,spatial_model_estimated,1,0.0047,0.1571,0.0047,0.1601,-0.15239999999999998,0.0047,0.1601,-0.15539999999999998,climate,climate,FALSE
temporal_spd,Oceania,6500,no_spatial_terms_selected,0,-0.0124,0.0866,NA,NA,-0.09899999999999999,-0.0124,0.0866,-0.09899999999999999,climate,climate,FALSE
temporal_spd,Oceania,8000,no_spatial_terms_selected,0,8e-4,0.0593,NA,NA,-0.058499999999999996,8e-4,0.0593,-0.058499999999999996,climate,climate,FALSE
temporal_spd,Oceania,8500,spatial_model_estimated,1,0.0011,0.0676,-0.001,0.056,-0.06649999999999999,-0.001,0.056,-0.057,climate,climate,FALSE
temporal_events,Europe,500,spatial_model_estimated,7,0.0145,0.067,0.0115,0.0662,-0.052500000000000005,0.0115,0.0662,-0.0547,climate,climate,FALSE
temporal_events,Europe,1000,spatial_model_estimated,7,0.0197,0.1042,0.0168,0.0813,-0.0845,0.0168,0.0813,-0.0645,climate,climate,FALSE
temporal_events,Europe,1500,spatial_model_estimated,9,0.0227,0.0927,0.0186,0.0675,-0.07,0.0186,0.0675,-0.048900000000000006,climate,climate,FALSE
temporal_events,Europe,2000,spatial_model_estimated,7,0.0203,0.0905,0.0168,0.0727,-0.0702,0.0168,0.0727,-0.055900000000000005,climate,climate,FALSE
temporal_events,Europe,2500,spatial_model_estimated,8,0.0116,0.0733,0.0093,0.0672,-0.061700000000000005,0.0093,0.0672,-0.05789999999999999,climate,climate,FALSE
temporal_events,Europe,3000,spatial_model_estimated,7,0.0101,0.06,0.0082,0.0541,-0.0499,0.0082,0.0541,-0.0459,climate,climate,FALSE
temporal_events,Europe,3500,spatial_model_estimated,7,0.0138,0.0622,0.0128,0.0664,-0.0484,0.0128,0.0664,-0.0536,climate,climate,FALSE
temporal_events,Europe,4000,spatial_model_estimated,11,0.007,0.0792,0.0056,0.0803,-0.0722,0.0056,0.0803,-0.0747,climate,climate,FALSE
temporal_events,Europe,4500,spatial_model_estimated,10,0.0034,0.0854,0.0031,0.0676,-0.082,0.0031,0.0676,-0.06449999999999999,climate,climate,FALSE
temporal_events,Europe,5000,spatial_model_estimated,8,0.0093,0.0672,0.0081,0.059,-0.05789999999999999,0.0081,0.059,-0.0509,climate,climate,FALSE
temporal_events,Europe,5500,spatial_model_estimated,11,0.0035,0.0843,0.0047,0.0809,-0.0808,0.0047,0.0809,-0.0762,climate,climate,FALSE
temporal_events,Europe,6000,spatial_model_estimated,6,0.0051,0.0776,0.0039,0.0667,-0.07250000000000001,0.0039,0.0667,-0.0628,climate,climate,FALSE
temporal_events,Europe,6500,spatial_model_estimated,8,0.0022,0.0657,0.001,0.049,-0.0635,0.001,0.049,-0.048,climate,climate,FALSE
temporal_events,Europe,7000,spatial_model_estimated,5,0.0099,0.0731,0.0092,0.0612,-0.06319999999999999,0.0092,0.0612,-0.052,climate,climate,FALSE
temporal_events,Europe,7500,spatial_model_estimated,5,0.0136,0.0787,0.0147,0.077,-0.0651,0.0147,0.077,-0.0623,climate,climate,FALSE
temporal_events,Europe,8000,spatial_model_estimated,6,0.0098,0.0778,0.009,0.0712,-0.06799999999999999,0.009,0.0712,-0.0622,climate,climate,FALSE
temporal_events,Europe,8500,spatial_model_estimated,4,0.0043,0.0739,0.0027,0.0755,-0.0696,0.0027,0.0755,-0.0728,climate,climate,FALSE
temporal_events,North America,500,spatial_model_estimated,5,0.0547,0.1013,0.0355,0.0636,-0.0466,0.0355,0.0636,-0.028100000000000007,climate,climate,FALSE
temporal_events,North America,1000,spatial_model_estimated,4,0.0146,0.0958,0.0101,0.0575,-0.0812,0.0101,0.0575,-0.047400000000000005,climate,climate,FALSE
temporal_events,North America,1500,spatial_model_estimated,6,0.0044,0.0962,0.0025,0.0579,-0.09179999999999999,0.0025,0.0579,-0.0554,climate,climate,FALSE
temporal_events,North America,2000,spatial_model_estimated,6,0.0035,0.0943,0.0025,0.0578,-0.09079999999999999,0.0025,0.0578,-0.055299999999999995,climate,climate,FALSE
temporal_events,North America,2500,spatial_model_estimated,5,0.0062,0.0956,0.0052,0.0591,-0.08940000000000001,0.0052,0.0591,-0.053900000000000003,climate,climate,FALSE
temporal_events,North America,3000,spatial_model_estimated,7,0.0079,0.0969,0.0067,0.057,-0.089,0.0067,0.057,-0.050300000000000004,climate,climate,FALSE
