aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status
region_climatezone,zero_truncated,-0.5650079333060448,14,3.1126,Europe,Temperate_Dry_Summer,climate,selected
region_climatezone,zero_truncated,-0.4279099943413291,85,24.2122,Europe,Temperate_Without_dry_season,climate,selected
region_climatezone,zero_truncated,-0.338696162225574,5,1.1934,Latin America,Arid,climate,selected
region_climatezone,zero_truncated,-0.6697892271662763,2,0.3416,Latin America,Cold_Dry_Summer,climate,selected
region_climatezone,zero_truncated,-0.6065492433639298,23,6.8527,Latin America,Polar,climate,selected
region_climatezone,zero_truncated,-0.8191655394860056,8,1.9222000000000001,Latin America,Temperate_Dry_Summer,climate,selected
region_climatezone,zero_truncated,-0.3694807488519958,2,0.5662,Latin America,Temperate_Dry_Winter,climate,selected
region_climatezone,zero_truncated,-0.6112840246731934,15,3.5342,Latin America,Temperate_Without_dry_season,climate,selected
region_climatezone,zero_truncated,-0.3323388759706927,15,4.5586,Latin America,Tropical,climate,selected
region_climatezone,zero_truncated,-0.34187744603188114,17,2.9775,North America,Arid,climate,selected
region_climatezone,zero_truncated,-0.30443467251453316,49,11.3071,North America,Cold_Dry_Summer,climate,selected
region_climatezone,zero_truncated,-0.4588843735915467,136,36.204,North America,Cold_Without_dry_season_Cold_Summer,climate,selected
region_climatezone,zero_truncated,-0.5074161514654374,52,13.3334,North America,Cold_Without_dry_season_Hot_Summer,climate,selected
region_climatezone,zero_truncated,-0.3790318244621202,190,55.3472,North America,Cold_Without_dry_season_Warm_Summer,climate,selected
region_climatezone,zero_truncated,-0.641359747052833,36,8.9222,North America,Polar,climate,selected
region_climatezone,zero_truncated,-0.09925881975507377,17,4.1437,North America,Temperate_Dry_Summer,climate,selected
region_climatezone,zero_truncated,-0.3165964636207371,39,9.1986,North America,Temperate_Without_dry_season,climate,selected
region_climatezone,zero_truncated,-0.283501791319524,1,0.24609999999999999,Oceania,Arid,climate,selected
region_climatezone,zero_truncated,-0.7018859374247703,1,0.0341,Oceania,Cold_Without_dry_season_Cold_Summer,climate,selected
region_climatezone,zero_truncated,-0.017029462622095985,2,0.48649999999999993,Oceania,Cold_Without_dry_season_Warm_Summer,climate,selected
region_climatezone,zero_truncated,-0.670944880545805,1,0.14539999999999997,Oceania,Temperate_Dry_Summer,climate,selected
region_climatezone,zero_truncated,0.8980534971791555,1,0.1756,Oceania,Temperate_Dry_Winter,human,selected
region_climatezone,zero_truncated,-0.41242840165975697,22,6.7173,Oceania,Temperate_Without_dry_season,climate,selected
region_climatezone,zero_truncated,-0.6782543925871919,4,0.9384,Oceania,Tropical,climate,selected
