analysis,region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status,spatial_scope
temporal_spd,Europe,3500,residual_axis_3,411.41119655714897,382,382,8704,0.007150491349531379,-0.0026246719160104987,0.152,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4000,residual_axis_1,250,387,382,4699,0.005572680828939479,-0.0025906735751295338,0.231,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,4000,residual_axis_2,250,387,382,4699,0.04472378636049744,-0.0025906735751295338,0.003,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,4000,residual_axis_3,250,387,382,4699,-0.004062447994277919,-0.0025906735751295338,0.513,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,4000,residual_axis_1,500,387,387,11382,0.010836834616359437,-0.0025906735751295338,0.055,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4000,residual_axis_2,500,387,387,11382,0.005840054264619702,-0.0025906735751295338,0.122,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4000,residual_axis_3,500,387,387,11382,0.0013916719434308078,-0.0025906735751295338,0.27,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4000,residual_axis_1,411.41119655714897,387,387,8962,0.009016700766167248,-0.0025906735751295338,0.109,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4000,residual_axis_2,411.41119655714897,387,387,8962,0.023942070191853976,-0.0025906735751295338,0.014,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4000,residual_axis_3,411.41119655714897,387,387,8962,0.007733502868474741,-0.0025906735751295338,0.116,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4500,residual_axis_1,250,388,383,4799,0.006203100745929167,-0.002583979328165375,0.225,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,4500,residual_axis_2,250,388,383,4799,0.05070148766514581,-0.002583979328165375,0.004,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,4500,residual_axis_3,250,388,383,4799,-0.032070125689895,-0.002583979328165375,0.997,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,4500,residual_axis_1,500,388,388,11536,0.0047342555596631185,-0.002583979328165375,0.157,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4500,residual_axis_2,500,388,388,11536,0.004831723701654695,-0.002583979328165375,0.149,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4500,residual_axis_3,500,388,388,11536,-0.00766777620186402,-0.002583979328165375,0.743,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,4500,residual_axis_1,411.41119655714897,388,388,9077,0.006359718758120917,-0.002583979328165375,0.152,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4500,residual_axis_2,411.41119655714897,388,388,9077,0.00694404357861805,-0.002583979328165375,0.143,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,4500,residual_axis_3,411.41119655714897,388,388,9077,-0.0031578106673414603,-0.002583979328165375,0.491,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,5000,residual_axis_1,250,382,378,4668,0.001212160444333893,-0.0026246719160104987,0.317,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,5000,residual_axis_2,250,382,378,4668,0.01923479384638731,-0.0026246719160104987,0.043,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,5000,residual_axis_3,250,382,378,4668,-0.022136993308570073,-0.0026246719160104987,0.964,FALSE,999,estimated,fixed_250km
