dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
22976,14,14,0,FALSE
22709,14,14,0,FALSE
15902,14,14,0,FALSE
20295,14,14,0,FALSE
4192,23,14,9,TRUE
44723,14,14,0,FALSE
316,14,14,0,FALSE
22049,13,13,0,FALSE
318,14,14,0,FALSE
3492,14,14,0,FALSE
678,14,14,0,FALSE
2637,14,14,0,FALSE
1704,14,14,0,FALSE
4286,14,14,0,FALSE
20131,14,14,0,FALSE
2286,13,13,0,FALSE
673,14,14,0,FALSE
3473,14,14,0,FALSE
17396,13,13,0,FALSE
19323,13,13,0,FALSE
533,13,13,0,FALSE
4213,14,14,0,FALSE
22687,13,13,0,FALSE
41527,13,13,0,FALSE
215,11,11,0,FALSE
4492,13,13,0,FALSE
45345,14,14,0,FALSE
16214,14,14,0,FALSE
21314,14,14,0,FALSE
516,13,13,0,FALSE
14264,9,9,0,FALSE
2289,12,12,0,FALSE
40450,13,13,0,FALSE
40791,14,14,0,FALSE
22757,14,14,0,FALSE
1817,11,11,0,FALSE
46672,13,13,0,FALSE
45701,14,14,0,FALSE
2377,14,14,0,FALSE
2028,11,11,0,FALSE
275,13,13,0,FALSE
18104,14,14,0,FALSE
3042,14,14,0,FALSE
17292,13,13,0,FALSE
22101,13,13,0,FALSE
4479,14,14,0,FALSE
4017,14,14,0,FALSE
2879,14,14,0,FALSE
20281,13,13,0,FALSE
19937,14,14,0,FALSE
3582,14,14,0,FALSE
48616,12,12,0,FALSE
41305,13,13,0,FALSE
40976,17,14,3,TRUE
19913,13,13,0,FALSE
20678,14,14,0,FALSE
15333,14,14,0,FALSE
497,13,13,0,FALSE
2611,14,14,0,FALSE
1965,14,14,0,FALSE
1703,13,13,0,FALSE
2011,14,14,0,FALSE
40988,14,14,0,FALSE
14110,12,12,0,FALSE
2576,12,12,0,FALSE
41485,14,14,0,FALSE
15866,14,14,0,FALSE
48633,11,11,0,FALSE
41762,13,13,0,FALSE
22786,17,14,3,TRUE
48649,17,14,3,TRUE
14498,14,14,0,FALSE
24089,14,14,0,FALSE
1906,3,3,0,FALSE
688,12,12,0,FALSE
20304,14,14,0,FALSE
45698,14,14,0,FALSE
1654,14,14,0,FALSE
21708,14,14,0,FALSE
1902,14,14,0,FALSE
24996,14,14,0,FALSE
821,14,14,0,FALSE
22047,14,14,0,FALSE
20050,14,14,0,FALSE
45351,14,14,0,FALSE
2050,14,14,0,FALSE
22805,13,13,0,FALSE
1890,14,14,0,FALSE
2588,14,14,0,FALSE
239,13,13,0,FALSE
14803,14,14,0,FALSE
15413,14,14,0,FALSE
4555,14,14,0,FALSE
48982,14,14,0,FALSE
343,14,14,0,FALSE
2025,14,14,0,FALSE
24048,14,14,0,FALSE
1003,14,14,0,FALSE
3563,14,14,0,FALSE
46292,14,14,0,FALSE
834,13,13,0,FALSE
835,13,13,0,FALSE
20279,14,14,0,FALSE
4415,14,14,0,FALSE
20012,14,14,0,FALSE
24080,14,14,0,FALSE
279,14,14,0,FALSE
2004,14,14,0,FALSE
15101,14,14,0,FALSE
3774,14,14,0,FALSE
1771,14,14,0,FALSE
15967,14,14,0,FALSE
1607,14,14,0,FALSE
17336,14,14,0,FALSE
987,14,14,0,FALSE
15646,20,14,6,TRUE
15061,14,14,0,FALSE
20609,14,14,0,FALSE
40448,14,14,0,FALSE
3046,14,14,0,FALSE
1610,13,13,0,FALSE
331,14,14,0,FALSE
3074,14,14,0,FALSE
1711,14,14,0,FALSE
48931,14,14,0,FALSE
3935,14,14,0,FALSE
15032,14,14,0,FALSE
4445,12,12,0,FALSE
15417,12,12,0,FALSE
4391,14,14,0,FALSE
24867,14,14,0,FALSE
3484,14,14,0,FALSE
317,14,14,0,FALSE
21926,14,14,0,FALSE
42563,14,14,0,FALSE
777,14,14,0,FALSE
40566,13,13,0,FALSE
15403,14,14,0,FALSE
20194,14,14,0,FALSE
