analysis,aggregation_level,n_models,n_eligible,n_excluded,n_missing_result,n_missing_predictor,n_non_finite_total,n_non_positive_total,n_non_finite_individual,n_negative_unique,n_negative_individual,region,climatezone,age
spatial_events,region_climatezone,26,7,19,19,0,0,0,0,5,5,Latin America,Polar,NA
spatial_events,region_climatezone,9,5,4,4,0,0,0,0,3,3,Latin America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,6,1,5,5,0,0,0,0,0,0,Latin America,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,18,8,10,10,0,0,0,0,5,2,Latin America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,20,9,11,10,0,1,0,0,2,2,Latin America,Tropical,NA
spatial_events,region_climatezone,17,2,15,15,0,0,0,0,1,1,North America,Arid,NA
spatial_events,region_climatezone,50,0,50,50,0,0,0,0,0,0,North America,Cold_Dry_Summer,NA
spatial_events,region_climatezone,142,0,142,142,0,0,0,0,0,0,North America,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,53,5,48,48,0,0,0,0,0,1,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,195,17,178,177,0,0,1,0,6,2,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,38,0,38,38,0,0,0,0,0,0,North America,Polar,NA
spatial_events,region_climatezone,17,1,16,16,0,0,0,0,1,0,North America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,41,3,38,37,0,0,1,0,1,1,North America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,1,0,1,1,0,0,0,0,0,0,North America,Tropical,NA
spatial_events,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Arid,NA
spatial_events,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,2,1,1,1,0,0,0,0,1,1,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,2,1,1,1,0,0,0,0,1,0,Oceania,Polar,NA
spatial_events,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Temperate_Dry_Winter,NA
