analysis,region,n_models,climate,human,importance_balance,line_colour
spatial_spd,North America,533,0.728763008071455,0.271236991928545,-0.45752601614291,#96B4B4
spatial_spd,Latin America,71,0.7707834467499007,0.22921655325009932,-0.5415668934998015,#85A9A9
spatial_spd,Europe,381,0.7785336924258294,0.2214663075741706,-0.5570673848516587,#82A7A7
spatial_spd,Asia,98,0.8456306914088746,0.15436930859112535,-0.6912613828177492,#679695
spatial_spd,Oceania,35,0.6817828724990028,0.3182171275009973,-0.36356574499800554,#A8C1C0
