analysis,dataset_id,region,climatezone,model_id,predictor,varpart_unique,unique,average_share,individual,individual_percent,predictor_present,shared,varpart_total,total_adjusted_r_squared,model_result_available,varpart_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_finite_varpart,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,zero_truncated_individual,zero_truncated_total,zero_truncated_allocation,signed_allocation,climatezone_label
spatial_spd,982,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=982|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0146,0.0146,0.053900000000000003,0.0685,15.6,TRUE,0.1077,0.4394,0.439,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0685,0.4394,0.15589440145653163,0.1560364464692483,CWS
spatial_spd,26448,Europe,Cold - Cold Summer,analysis=spatial_spd|dataset_id=26448|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0211,0.0211,0.10399999999999998,0.1251,32.83,TRUE,0.208,0.3809,0.381,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1251,0.38079999999999997,0.3285189075630252,0.32834645669291335,CCS
spatial_spd,4042,Europe,Cold - Warm Summer,analysis=spatial_spd|dataset_id=4042|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.4394,0.4394,-0.04139999999999999,0.398,63.28,TRUE,-0.0828,0.6289,0.629,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.398,0.6289,0.6328510096994753,0.6327503974562798,CWS
spatial_spd,3487,North America,Cold - Hot Summer,analysis=spatial_spd|dataset_id=3487|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,human,-0.0519,-0.0519,0.0104,-0.0415,-15.15,TRUE,0.0208,0.2745,0.274,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.316,0,-0.15145985401459855,CHS
spatial_spd,21675,Latin America,Tropical,analysis=spatial_spd|dataset_id=21675|region=Latin America|climatezone=Tropical,human,0.2097,0.2097,0.12280000000000002,0.3325,57.73,TRUE,0.2456,0.5757,0.576,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.3325,0.5757,0.5775577557755776,0.5772569444444445,TRO
spatial_spd,26499,Europe,Polar,analysis=spatial_spd|dataset_id=26499|region=Europe|climatezone=Polar,human,0.1233,0.1233,0.09049999999999998,0.2138,62.15,TRUE,0.1809,0.3441,0.344,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.2138,0.34409999999999996,0.6213310084277827,0.6215116279069768,POL
spatial_spd,24840,Europe,Temperate,analysis=spatial_spd|dataset_id=24840|region=Europe|climatezone=Temperate_Without_dry_season,human,0.4007,0.4007,-0.06619999999999998,0.3345,80.8,TRUE,-0.1323,0.4143,0.414,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.3345,0.4143,0.8073859522085446,0.8079710144927537,TMP
spatial_spd,2395,Latin America,Tropical,analysis=spatial_spd|dataset_id=2395|region=Latin America|climatezone=Tropical,human,0.0562,0.0562,0.10869999999999999,0.1649,75.3,TRUE,0.2174,0.2191,0.219,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.1649,0.219,0.7529680365296804,0.7529680365296804,TRO
spatial_spd,45347,Europe,Polar,analysis=spatial_spd|dataset_id=45347|region=Europe|climatezone=Polar,human,0.0833,0.0833,-0.028199999999999996,0.0551,10.44,TRUE,-0.0564,0.5282,0.528,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0551,0.5282,0.10431654676258993,0.1043560606060606,POL
spatial_spd,15922,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=15922|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0272,0.0272,0.1623,0.1895,34.39,TRUE,0.3247,0.551,0.551,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1895,0.5509999999999999,0.34392014519056263,0.3439201451905626,CWS
spatial_spd,1010,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=1010|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,-0.0049,-0.0049,0.1624,0.1575,45.39,TRUE,0.3247,0.3473,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.1575,0.3473,0.45349841635473653,0.4538904899135447,CCS
spatial_spd,4542,Europe,Cold - Cold Summer,analysis=spatial_spd|dataset_id=4542|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,human,-0.0347,-0.0347,0.0407,0.006,1.17,TRUE,0.0813,0.5119,0.512,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.006,0.5119,0.011721039265481539,0.01171875,CCS
spatial_spd,14944,North America,Cold - Dry Summer,analysis=spatial_spd|dataset_id=14944|region=North America|climatezone=Cold_Dry_Summer,human,0.3829,0.3829,0.08489999999999998,0.4678,77.19,TRUE,0.1699,0.6057,0.606,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.4678,0.6057,0.7723295360739639,0.7719471947194719,CDS
spatial_spd,17402,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=17402|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0887,0.0887,-5.000000000000004e-4,0.0882,35.71,TRUE,-0.0011,0.2474,0.247,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0882,0.2474,0.3565076798706548,0.357085020242915,CCS
spatial_spd,234,North America,Cold - Dry Summer,analysis=spatial_spd|dataset_id=234|region=North America|climatezone=Cold_Dry_Summer,human,-0.0072,-0.0072,0.07139999999999999,0.0642,15.07,TRUE,0.1428,0.4264,0.426,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0642,0.4264,0.15056285178236395,0.15070422535211267,CDS
spatial_spd,16081,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=16081|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.039,-0.039,0.017,-0.022,-7.46,TRUE,0.0341,0.2953,0.295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.3173,0,-0.07457627118644068,CWS
spatial_spd,41421,Europe,Temperate,analysis=spatial_spd|dataset_id=41421|region=Europe|climatezone=Temperate_Without_dry_season,human,0,0,0.016,0.016,4.3,TRUE,0.0319,0.3722,0.372,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.016,0.37220000000000003,0.042987641053197204,0.043010752688172046,TMP
spatial_spd,1451,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=1451|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0506,0.0506,0.0449,0.0955,26.68,TRUE,0.0899,0.3579,0.358,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0955,0.3579,0.2668343112601285,0.2667597765363129,CWS
spatial_spd,785,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=785|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0028,-0.0028,0.2159,0.2131,33.77,TRUE,0.4319,0.6309,0.631,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.2131,0.6309,0.3377714376287843,0.33771790808240887,CWS
spatial_spd,2311,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=2311|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0243,0.0243,0.04819999999999999,0.0725,9.22,TRUE,0.0964,0.786,0.786,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0725,0.7861,0.09222745197811982,0.09223918575063612,CCS
spatial_spd,3900,Europe,Temperate,analysis=spatial_spd|dataset_id=3900|region=Europe|climatezone=Temperate_Without_dry_season,human,-0.0276,-0.0276,-0.016800000000000002,-0.0444,-35.24,TRUE,-0.0335,0.1261,0.126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.1704,0,-0.3523809523809524,TMP
spatial_spd,2053,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=2053|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0568,-0.0568,0.031400000000000004,-0.0254,-7.56,TRUE,0.0627,0.3363,0.336,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.3617,0,-0.07559523809523809,CWS
