analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
spatial_events,region_climatezone,climate,exclude_negative,1.7453,2.212,0.7890144665461121,6,0.8183689947517158,-0.02935452820560369,Latin America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,exclude_negative,0.4658,2.212,0.21057866184448462,6,0.18130803391199032,0.029270627932494298,Latin America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,exclude_negative,1.9910999999999999,3.194,0.6233876017532873,7,0.692997999428408,-0.06961039767512067,Latin America,Tropical,NA
spatial_events,region_climatezone,human,exclude_negative,1.203,3.194,0.3766437069505323,7,0.30708773935410116,0.06955596759643112,Latin America,Tropical,NA
spatial_events,region_climatezone,climate,exclude_negative,0.0695,0.369,0.1883468834688347,1,0.4440860215053764,-0.2557391380365417,North America,Arid,NA
spatial_events,region_climatezone,human,exclude_negative,0.2994,0.369,0.8113821138211382,1,0.5552688172043011,0.2561132966168371,North America,Arid,NA
spatial_events,region_climatezone,climate,exclude_negative,2.0342000000000002,2.571,0.7912096460521199,4,0.8194141689373298,-0.028204522885209915,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,human,exclude_negative,0.5365,2.571,0.20867366783352778,4,0.18044959128065396,0.028224076552873817,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,climate,exclude_negative,5.0565,6.947,0.7278681445228156,16,0.743025325119781,-0.01515718059696547,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,exclude_negative,1.8916,6.947,0.27229019720742764,16,0.2570704996577686,0.015219697549659017,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,exclude_negative,0.0918,0.11,0.8345454545454546,1,0.8345454545454546,0,North America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,exclude_negative,0.0178,0.11,0.1618181818181818,1,0.1618181818181818,0,North America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,exclude_negative,0.7118,1.185,0.6006751054852321,3,0.6006751054852321,0,North America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,exclude_negative,0.47330000000000005,1.185,0.399409282700422,3,0.399409282700422,0,North America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,exclude_negative,0.2519,0.402,0.6266169154228856,1,0.6266169154228856,0,Oceania,Arid,NA
spatial_events,region_climatezone,human,exclude_negative,0.1498,0.402,0.37263681592039793,1,0.37263681592039793,0,Oceania,Arid,NA
spatial_events,region_climatezone,climate,exclude_negative,0.0878,0.216,0.4064814814814815,1,0.4064814814814815,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,human,exclude_negative,0.1278,0.216,0.5916666666666667,1,0.5916666666666667,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,climate,exclude_negative,0.3748,0.4,0.937,1,0.937,0,Oceania,Polar,NA
spatial_events,region_climatezone,human,exclude_negative,0.0254,0.4,0.06349999999999999,1,0.06349999999999999,0,Oceania,Polar,NA
spatial_events,region_climatezone,climate,exclude_negative,0.1106,0.29,0.38137931034482764,1,0.38137931034482764,0,Oceania,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,exclude_negative,0.1793,0.29,0.6182758620689656,1,0.6182758620689656,0,Oceania,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,exclude_negative,0.2255,0.254,0.8877952755905512,1,0.8877952755905512,0,Oceania,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,human,exclude_negative,0.0287,0.254,0.11299212598425197,1,0.11299212598425197,0,Oceania,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,climate,exclude_negative,4.3693,7.364,0.5933324280282455,14,0.5933324280282455,0,Oceania,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,exclude_negative,2.9947,7.364,0.40666757197175446,14,0.40666757197175446,0,Oceania,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,exclude_negative,0.7766,1.117,0.6952551477170993,2,0.6952551477170993,0,Oceania,Tropical,NA
spatial_events,region_climatezone,human,exclude_negative,0.3409,1.117,0.3051924798567592,2,0.3051924798567592,0,Oceania,Tropical,NA
spatial_spd,region_climatezone,climate,exclude_negative,4.2679,5.616,0.7599537037037037,16,0.7899299766588863,-0.02997627295518257,Asia,Arid,NA
spatial_spd,region_climatezone,human,exclude_negative,1.348,5.616,0.24002849002849005,16,0.20991997332444148,0.03010851670404857,Asia,Arid,NA
spatial_spd,region_climatezone,climate,exclude_negative,5.8028,6.87,0.8446579330422126,17,0.8822518848102832,-0.037593951768070566,Asia,Cold_Dry_Winter,NA
spatial_spd,region_climatezone,human,exclude_negative,1.0648,6.87,0.15499272197962152,17,0.11756272401433693,0.037429997965284595,Asia,Cold_Dry_Winter,NA
spatial_spd,region_climatezone,climate,exclude_negative,2.7095000000000002,3.073,0.8817116823950538,7,0.9137749737118822,-0.03206329131682839,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.3628,3.073,0.11806052717214449,7,0.08604100946372238,0.03201951770842211,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.1068,0.216,0.49444444444444446,1,0.49444444444444446,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.1088,0.216,0.5037037037037037,1,0.5037037037037037,0,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,4.5098,5.144,0.8767107309486781,13,0.8941803417357469,-0.017469610787068768,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.6372,5.144,0.12387247278382581,13,0.10639485704618509,0.017477615737640714,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,2.2781000000000002,2.917,0.7809736030167982,8,0.8300117233294255,-0.04903812031262733,Asia,Polar,NA
spatial_spd,region_climatezone,human,exclude_negative,0.6401,2.917,0.21943777853959548,8,0.17036928487690506,0.04906849366269042,Asia,Polar,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.6007,0.678,0.8859882005899704,2,1.006206152185645,-0.1202179515956745,Asia,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.0767,0.678,0.11312684365781711,2,-0.006314085267134376,0.11944092892495149,Asia,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,1.0981,2.213,0.4962042476276548,6,0.4962042476276548,0,Asia,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,exclude_negative,1.1149,2.213,0.5037957523723452,6,0.5037957523723452,0,Asia,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,climate,exclude_negative,1.8894,2.188,0.8635283363802558,5,0.9096319018404907,-0.04610356546023486,Asia,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,exclude_negative,0.2985,2.188,0.13642595978062155,5,0.09030674846625766,0.04611921131436389,Asia,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.3619,0.382,0.9473821989528796,1,1.0360794254330377,-0.0886972264801581,Europe,Arid,NA
spatial_spd,region_climatezone,human,exclude_negative,0.02,0.382,0.05235602094240838,1,-0.03620616814533164,0.08856218908774002,Europe,Arid,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.7488,1.032,0.7255813953488373,2,0.8313144329896907,-0.1057330376408534,Europe,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.2831,1.032,0.2743217054263566,2,0.16881443298969073,0.10550727243666586,Europe,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,20.5923,26.884,0.7659686058622229,71,0.825020962081923,-0.059052356219700064,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,6.2903,26.884,0.23397931855378665,71,0.1749324555138039,0.059046863039982744,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,26.904700000000002,35.262,0.762994158017129,100,0.8255477735655079,-0.0625536155483789,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,8.3581,35.262,0.23702852929499177,100,0.1745464670479128,0.06248206224707897,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,7.8594,9.51,0.8264353312302839,27,0.833069403714565,-0.0066340724842810506,Europe,Polar,NA
spatial_spd,region_climatezone,human,exclude_negative,1.6494,9.51,0.1734384858044164,27,0.16678396871945259,0.0066545170849638124,Europe,Polar,NA
spatial_spd,region_climatezone,climate,exclude_negative,1.9242,2.384,0.8071308724832215,9,0.8337101514808953,-0.026579278997673872,Europe,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.4593,2.384,0.19265939597315437,9,0.16604114854171376,0.026618247431440617,Europe,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,18.8549,30.256,0.6231788736118457,77,0.6698569951757409,-0.04667812156389528,Europe,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,exclude_negative,11.3998,30.256,0.3767781597038604,77,0.3300310130944177,0.046747146609442736,Europe,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.6817,1.105,0.6169230769230769,3,0.7357390700902151,-0.1188159931671382,Latin America,Arid,NA
spatial_spd,region_climatezone,human,exclude_negative,0.423,1.105,0.38280542986425337,3,0.26446911866759193,0.11833631119666144,Latin America,Arid,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.6403,0.675,0.9485925925925925,2,0.9485925925925925,0,Latin America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.034,0.675,0.05037037037037037,2,0.05037037037037037,0,Latin America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,6.5063,8.264,0.7873063891577929,19,0.8179297597042514,-0.030623370546458473,Latin America,Polar,NA
spatial_spd,region_climatezone,human,exclude_negative,1.7584,8.264,0.2127783155856728,19,0.18220071762531262,0.030577597960360192,Latin America,Polar,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.3968,0.5820000000000001,0.6817869415807559,2,1.0033684210526317,-0.32158147947187576,Latin America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.18469999999999998,0.5820000000000001,0.3173539518900343,2,-0.0034526315789473747,0.32080658346898167,Latin America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.5524,0.7470000000000001,0.739491298527443,2,0.739491298527443,0,Latin America,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,exclude_negative,0.1945,0.7470000000000001,0.26037483266398925,2,0.26037483266398925,0,Latin America,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,climate,exclude_negative,2.6771,4.28,0.6254906542056073,11,0.7402846975088968,-0.11479404330328946,Latin America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,exclude_negative,1.6038000000000001,4.28,0.3747196261682243,11,0.2598220640569395,0.11489756211128482,Latin America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,exclude_negative,4.241,6.216,0.6822715572715572,14,0.7065998727735369,-0.02432831550197967,Latin America,Tropical,NA
spatial_spd,region_climatezone,human,exclude_negative,1.9758,6.216,0.31785714285714284,14,0.2935909669211196,0.02426617593602326,Latin America,Tropical,NA
spatial_spd,region_climatezone,climate,exclude_negative,1.7092,2.972,0.5751009421265142,9,0.6341244239631336,-0.05902348183661943,North America,Arid,NA
spatial_spd,region_climatezone,human,exclude_negative,1.2632,2.972,0.42503364737550475,9,0.36619815668202765,0.0588354906934771,North America,Arid,NA
spatial_spd,region_climatezone,climate,exclude_negative,9.7574,14.73,0.6624168363883232,39,0.7016180260082698,-0.039201189619946675,North America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,4.971,14.73,0.33747454175152747,39,0.2982441421465811,0.03923039960494634,North America,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,34.9078,44.758,0.7799231422315563,108,0.8003316781751881,-0.02040853594363179,North America,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,9.8505,44.758,0.2200835604808079,108,0.19964892544029794,0.020434635040509963,North America,Cold_Without_dry_season_Cold_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,12.0441,17.235,0.69881636205396,42,0.723813450141716,-0.024997088087756025,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,5.1933,17.235,0.30132288946910357,42,0.27636176243236277,0.024961127036740804,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,52.9231,76.48,0.6919861401673639,179,0.7038744696780634,-0.011888329510699513,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,23.555,76.48,0.30798901673640167,179,0.2961255303219366,0.011863486414465052,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,7.1342,8.941,0.7979196957834693,24,0.8688790322580645,-0.07095933647459518,North America,Polar,NA
spatial_spd,region_climatezone,human,exclude_negative,1.8081,8.941,0.2022257018230623,24,0.13132258064516128,0.07090312117790101,North America,Polar,NA
spatial_spd,region_climatezone,climate,exclude_negative,3.2076,4.464,0.718548387096774,15,0.7111730597680642,0.007375327328709824,North America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,1.2552,4.464,0.28118279569892474,15,0.2885147190008921,-0.007331923301967358,North America,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,7.5882,11.931,0.636007040482776,32,0.6148496690326183,0.021157371450157725,North America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,exclude_negative,4.3434,11.931,0.3640432486799095,32,0.38512640561448286,-0.021083156934573355,North America,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.2616,0.345,0.7582608695652174,1,0.7582608695652174,0,Oceania,Arid,NA
spatial_spd,region_climatezone,human,exclude_negative,0.0837,0.345,0.2426086956521739,1,0.2426086956521739,0,Oceania,Arid,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.0462,0.162,0.28518518518518515,1,0.28518518518518515,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.1154,0.162,0.7123456790123457,1,0.7123456790123457,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.1167,0.139,0.8395683453237409,1,0.8395683453237409,0,Oceania,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,human,exclude_negative,0.0219,0.139,0.15755395683453235,1,0.15755395683453235,0,Oceania,Temperate_Dry_Summer,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.1731,0.264,0.6556818181818181,1,0.6556818181818181,0,Oceania,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,human,exclude_negative,0.0912,0.264,0.34545454545454546,1,0.34545454545454546,0,Oceania,Temperate_Dry_Winter,NA
spatial_spd,region_climatezone,climate,exclude_negative,6.5138,9.792,0.6652165032679739,21,0.6911614381388791,-0.025944934870905212,Oceania,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,exclude_negative,3.2762,9.792,0.33457924836601305,21,0.3086711314769122,0.02590811688910083,Oceania,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,exclude_negative,0.6609,1.266,0.5220379146919432,3,0.6711903392754457,-0.14915242458350253,Oceania,Tropical,NA
spatial_spd,region_climatezone,human,exclude_negative,0.6048,1.266,0.4777251184834123,3,0.3287521564117309,0.14897296207168143,Oceania,Tropical,NA
temporal_events,region_age,climate,signed,0.0718,0.136,0.5279411764705882,1,0.5279411764705882,0,Asia,NA,500
temporal_events,region_age,human,signed,0.0646,0.136,0.475,1,0.475,0,Asia,NA,500
temporal_events,region_age,climate,signed,0.0429,0.094,0.4563829787234043,1,0.4563829787234043,0,Asia,NA,1000
temporal_events,region_age,human,signed,0.0509,0.094,0.5414893617021277,1,0.5414893617021277,0,Asia,NA,1000
temporal_events,region_age,climate,signed,0.0517,0.129,0.4007751937984496,1,0.4007751937984496,0,Asia,NA,1500
temporal_events,region_age,human,signed,0.0774,0.129,0.6,1,0.6,0,Asia,NA,1500
temporal_events,region_age,climate,signed,0.0533,0.111,0.48018018018018016,1,0.48018018018018016,0,Asia,NA,2000
temporal_events,region_age,human,signed,0.0573,0.111,0.5162162162162162,1,0.5162162162162162,0,Asia,NA,2000
temporal_events,region_age,climate,signed,0.0655,0.107,0.6121495327102804,1,0.6121495327102804,0,Asia,NA,2500
temporal_events,region_age,human,signed,0.0416,0.107,0.38878504672897196,1,0.38878504672897196,0,Asia,NA,2500
temporal_events,region_age,climate,signed,0.0691,0.113,0.611504424778761,1,0.611504424778761,0,Asia,NA,3000
temporal_events,region_age,human,signed,0.0444,0.113,0.3929203539823009,1,0.3929203539823009,0,Asia,NA,3000
temporal_events,region_age,climate,signed,0.0893,0.1,0.893,1,0.893,0,Asia,NA,3500
temporal_events,region_age,human,signed,0.0103,0.1,0.103,1,0.103,0,Asia,NA,3500
temporal_events,region_age,climate,signed,0.0679,0.096,0.7072916666666667,1,0.7072916666666667,0,Asia,NA,4000
temporal_events,region_age,human,signed,0.0276,0.096,0.2875,1,0.2875,0,Asia,NA,4000
temporal_events,region_age,climate,signed,0.0763,0.093,0.8204301075268818,1,0.8204301075268818,0,Asia,NA,4500
temporal_events,region_age,human,signed,0.017,0.093,0.1827956989247312,1,0.1827956989247312,0,Asia,NA,4500
temporal_events,region_age,climate,signed,0.0758,0.098,0.7734693877551021,1,0.7734693877551021,0,Asia,NA,5000
temporal_events,region_age,human,signed,0.0219,0.098,0.22346938775510203,1,0.22346938775510203,0,Asia,NA,5000
temporal_events,region_age,climate,signed,0.0915,0.104,0.8798076923076923,1,0.8798076923076923,0,Asia,NA,5500
temporal_events,region_age,human,signed,0.0126,0.104,0.12115384615384615,1,0.12115384615384615,0,Asia,NA,5500
temporal_events,region_age,climate,signed,0.0935,0.099,0.9444444444444444,1,0.9444444444444444,0,Asia,NA,6000
temporal_events,region_age,human,signed,0.0055,0.099,0.05555555555555555,1,0.05555555555555555,0,Asia,NA,6000
temporal_events,region_age,climate,signed,0.1074,0.11,0.9763636363636363,1,0.9763636363636363,0,Asia,NA,6500
temporal_events,region_age,human,signed,0.0025,0.11,0.022727272727272728,1,0.022727272727272728,0,Asia,NA,6500
temporal_events,region_age,climate,signed,0.1207,0.13,0.9284615384615384,1,0.9284615384615384,0,Asia,NA,7000
temporal_events,region_age,human,signed,0.0097,0.13,0.07461538461538461,1,0.07461538461538461,0,Asia,NA,7000
temporal_events,region_age,climate,signed,0.1277,0.135,0.945925925925926,1,0.945925925925926,0,Asia,NA,7500
temporal_events,region_age,human,signed,0.0072,0.135,0.05333333333333333,1,0.05333333333333333,0,Asia,NA,7500
temporal_events,region_age,climate,signed,0.1574,0.166,0.9481927710843374,1,0.9481927710843374,0,Asia,NA,8000
temporal_events,region_age,human,signed,0.0089,0.166,0.0536144578313253,1,0.0536144578313253,0,Asia,NA,8000
temporal_events,region_age,climate,signed,0.1602,0.172,0.9313953488372094,1,0.9313953488372094,0,Asia,NA,8500
temporal_events,region_age,human,signed,0.0122,0.172,0.07093023255813954,1,0.07093023255813954,0,Asia,NA,8500
temporal_events,region_age,climate,signed,0.067,0.082,0.8170731707317074,1,0.8170731707317074,0,Europe,NA,500
temporal_events,region_age,human,signed,0.0145,0.082,0.17682926829268292,1,0.17682926829268292,0,Europe,NA,500
temporal_events,region_age,climate,signed,0.1067,0.126,0.8468253968253968,1,0.8468253968253968,0,Europe,NA,1000
temporal_events,region_age,human,signed,0.0197,0.126,0.15634920634920635,1,0.15634920634920635,0,Europe,NA,1000
temporal_events,region_age,climate,signed,0.0939,0.115,0.8165217391304347,1,0.8165217391304347,0,Europe,NA,1500
temporal_events,region_age,human,signed,0.021,0.115,0.1826086956521739,1,0.1826086956521739,0,Europe,NA,1500
temporal_events,region_age,climate,signed,0.0854,0.108,0.7907407407407407,1,0.7907407407407407,0,Europe,NA,2000
temporal_events,region_age,human,signed,0.0226,0.108,0.20925925925925926,1,0.20925925925925926,0,Europe,NA,2000
temporal_events,region_age,climate,signed,0.0711,0.084,0.8464285714285713,1,0.8464285714285713,0,Europe,NA,2500
temporal_events,region_age,human,signed,0.0128,0.084,0.15238095238095237,1,0.15238095238095237,0,Europe,NA,2500
temporal_events,region_age,climate,signed,0.0612,0.072,0.85,1,0.85,0,Europe,NA,3000
temporal_events,region_age,human,signed,0.0103,0.072,0.14305555555555557,1,0.14305555555555557,0,Europe,NA,3000
temporal_events,region_age,climate,signed,0.0559,0.089,0.6280898876404495,1,0.6280898876404495,0,Europe,NA,3500
temporal_events,region_age,human,signed,0.0327,0.089,0.3674157303370787,1,0.3674157303370787,0,Europe,NA,3500
temporal_events,region_age,climate,signed,0.085,0.091,0.9340659340659342,1,0.9340659340659342,0,Europe,NA,4000
temporal_events,region_age,human,signed,0.0064,0.091,0.07032967032967033,1,0.07032967032967033,0,Europe,NA,4000
temporal_events,region_age,climate,signed,0.0849,0.089,0.953932584269663,1,0.953932584269663,0,Europe,NA,4500
temporal_events,region_age,human,signed,0.0044,0.089,0.04943820224719102,1,0.04943820224719102,0,Europe,NA,4500
temporal_events,region_age,climate,signed,0.0702,0.079,0.8886075949367088,1,0.8886075949367088,0,Europe,NA,5000
temporal_events,region_age,human,signed,0.009,0.079,0.11392405063291139,1,0.11392405063291139,0,Europe,NA,5000
temporal_events,region_age,climate,signed,0.086,0.089,0.9662921348314606,1,0.9662921348314606,0,Europe,NA,5500
temporal_events,region_age,human,signed,0.0027,0.089,0.030337078651685397,1,0.030337078651685397,0,Europe,NA,5500
temporal_events,region_age,climate,signed,0.0773,0.104,0.7432692307692308,1,0.7432692307692308,0,Europe,NA,6000
temporal_events,region_age,human,signed,0.0272,0.104,0.26153846153846155,1,0.26153846153846155,0,Europe,NA,6000
temporal_events,region_age,climate,signed,0.0717,0.074,0.968918918918919,1,0.968918918918919,0,Europe,NA,6500
temporal_events,region_age,human,signed,0.0025,0.074,0.033783783783783786,1,0.033783783783783786,0,Europe,NA,6500
temporal_events,region_age,climate,signed,0.0799,0.1,0.7989999999999999,1,0.7989999999999999,0,Europe,NA,7000
temporal_events,region_age,human,signed,0.0203,0.1,0.20299999999999999,1,0.20299999999999999,0,Europe,NA,7000
temporal_events,region_age,climate,signed,0.0786,0.106,0.7415094339622642,1,0.7415094339622642,0,Europe,NA,7500
temporal_events,region_age,human,signed,0.0269,0.106,0.2537735849056604,1,0.2537735849056604,0,Europe,NA,7500
temporal_events,region_age,climate,signed,0.0778,0.087,0.8942528735632184,1,0.8942528735632184,0,Europe,NA,8000
temporal_events,region_age,human,signed,0.0089,0.087,0.10229885057471265,1,0.10229885057471265,0,Europe,NA,8000
temporal_events,region_age,climate,signed,0.074,0.078,0.9487179487179487,1,0.9487179487179487,0,Europe,NA,8500
temporal_events,region_age,human,signed,0.0041,0.078,0.05256410256410257,1,0.05256410256410257,0,Europe,NA,8500
temporal_events,region_age,climate,signed,0.0687,0.078,0.8807692307692307,1,0.8807692307692307,0,Latin America,NA,500
temporal_events,region_age,human,signed,0.0097,0.078,0.12435897435897436,1,0.12435897435897436,0,Latin America,NA,500
temporal_events,region_age,climate,signed,0.095,0.093,1.021505376344086,1,1.021505376344086,0,Latin America,NA,1000
temporal_events,region_age,human,signed,-0.0021,0.093,-0.02258064516129032,1,-0.02258064516129032,0,Latin America,NA,1000
temporal_events,region_age,climate,signed,0.1286,0.129,0.9968992248062014,1,0.9968992248062014,0,Latin America,NA,1500
temporal_events,region_age,human,signed,8e-4,0.129,0.006201550387596899,1,0.006201550387596899,0,Latin America,NA,1500
temporal_events,region_age,climate,signed,0.151,0.157,0.9617834394904459,1,0.9617834394904459,0,Latin America,NA,2000
temporal_events,region_age,human,signed,0.0058,0.157,0.03694267515923567,1,0.03694267515923567,0,Latin America,NA,2000
temporal_events,region_age,climate,signed,0.1404,0.159,0.8830188679245282,1,0.8830188679245282,0,Latin America,NA,2500
temporal_events,region_age,human,signed,0.0186,0.159,0.11698113207547169,1,0.11698113207547169,0,Latin America,NA,2500
temporal_events,region_age,climate,signed,0.1672,0.172,0.9720930232558139,1,0.9720930232558139,0,Latin America,NA,3000
temporal_events,region_age,human,signed,0.0046,0.172,0.02674418604651163,1,0.02674418604651163,0,Latin America,NA,3000
temporal_events,region_age,climate,signed,0.1634,0.183,0.8928961748633879,1,0.8928961748633879,0,Latin America,NA,3500
temporal_events,region_age,human,signed,0.0194,0.183,0.10601092896174864,1,0.10601092896174864,0,Latin America,NA,3500
temporal_events,region_age,climate,signed,0.1758,0.189,0.9301587301587302,1,0.9301587301587302,0,Latin America,NA,4000
temporal_events,region_age,human,signed,0.013,0.189,0.06878306878306878,1,0.06878306878306878,0,Latin America,NA,4000
temporal_events,region_age,climate,signed,0.1668,0.178,0.9370786516853933,1,0.9370786516853933,0,Latin America,NA,4500
temporal_events,region_age,human,signed,0.0115,0.178,0.06460674157303371,1,0.06460674157303371,0,Latin America,NA,4500
temporal_events,region_age,climate,signed,0.1677,0.165,1.0163636363636361,1,1.0163636363636361,0,Latin America,NA,5000
temporal_events,region_age,human,signed,-0.0031,0.165,-0.018787878787878787,1,-0.018787878787878787,0,Latin America,NA,5000
temporal_events,region_age,climate,signed,0.1625,0.16,1.015625,1,1.015625,0,Latin America,NA,5500
temporal_events,region_age,human,signed,-0.0026,0.16,-0.01625,1,-0.01625,0,Latin America,NA,5500
temporal_events,region_age,climate,signed,0.1538,0.152,1.0118421052631579,1,1.0118421052631579,0,Latin America,NA,6000
temporal_events,region_age,human,signed,-0.0018,0.152,-0.011842105263157895,1,-0.011842105263157895,0,Latin America,NA,6000
temporal_events,region_age,climate,signed,0.161,0.164,0.9817073170731707,1,0.9817073170731707,0,Latin America,NA,6500
temporal_events,region_age,human,signed,0.0032,0.164,0.01951219512195122,1,0.01951219512195122,0,Latin America,NA,6500
temporal_events,region_age,climate,signed,0.124,0.132,0.9393939393939393,1,0.9393939393939393,0,Latin America,NA,7000
temporal_events,region_age,human,signed,0.0077,0.132,0.058333333333333334,1,0.058333333333333334,0,Latin America,NA,7000
temporal_events,region_age,climate,signed,0.1417,0.145,0.9772413793103448,1,0.9772413793103448,0,Latin America,NA,7500
temporal_events,region_age,human,signed,0.0034,0.145,0.023448275862068966,1,0.023448275862068966,0,Latin America,NA,7500
temporal_events,region_age,climate,signed,0.1162,0.111,1.0468468468468468,1,1.0468468468468468,0,Latin America,NA,8000
temporal_events,region_age,human,signed,-0.0053,0.111,-0.047747747747747746,1,-0.047747747747747746,0,Latin America,NA,8000
temporal_events,region_age,climate,signed,0.1219,0.117,1.0418803418803417,1,1.0418803418803417,0,Latin America,NA,8500
temporal_events,region_age,human,signed,-0.0052,0.117,-0.04444444444444444,1,-0.04444444444444444,0,Latin America,NA,8500
temporal_events,region_age,climate,signed,0.1032,0.158,0.6531645569620254,1,0.6531645569620254,0,North America,NA,500
temporal_events,region_age,human,signed,0.0551,0.158,0.3487341772151899,1,0.3487341772151899,0,North America,NA,500
temporal_events,region_age,climate,signed,0.0947,0.109,0.8688073394495414,1,0.8688073394495414,0,North America,NA,1000
