analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
spatial_events,region_climatezone,climate,signed,0.0878,0.216,0.4064814814814815,1,0.4064814814814815,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,human,signed,0.1278,0.216,0.5916666666666667,1,0.5916666666666667,0,Oceania,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,climate,signed,0.2055,0.172,1.1947674418604652,1,1.1947674418604652,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,signed,-0.0335,0.172,-0.19476744186046516,1,-0.19476744186046516,0,Oceania,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,signed,0.3748,0.4,0.937,1,0.937,0,Oceania,Polar,NA
spatial_events,region_climatezone,human,signed,0.0254,0.4,0.06349999999999999,1,0.06349999999999999,0,Oceania,Polar,NA
spatial_events,region_climatezone,climate,signed,0.1106,0.29,0.38137931034482764,1,0.38137931034482764,0,Oceania,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,signed,0.1793,0.29,0.6182758620689656,1,0.6182758620689656,0,Oceania,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,signed,0.2255,0.254,0.8877952755905512,1,0.8877952755905512,0,Oceania,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,human,signed,0.0287,0.254,0.11299212598425197,1,0.11299212598425197,0,Oceania,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,climate,signed,4.3693,7.364,0.5933324280282455,14,0.5933324280282455,0,Oceania,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,signed,2.9947,7.364,0.40666757197175446,14,0.40666757197175446,0,Oceania,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,signed,0.7766,1.117,0.6952551477170993,2,0.6952551477170993,0,Oceania,Tropical,NA
spatial_events,region_climatezone,human,signed,0.3409,1.117,0.3051924798567592,2,0.3051924798567592,0,Oceania,Tropical,NA
spatial_spd,region_climatezone,climate,signed,4.738,5.998,0.7899299766588863,19,0.7899299766588863,0,Asia,Arid,NA
spatial_spd,region_climatezone,human,signed,1.2591,5.998,0.20991997332444148,19,0.20991997332444148,0,Asia,Arid,NA
spatial_spd,region_climatezone,climate,signed,1.4558,1.369,1.0634039444850256,4,1.0634039444850256,0,Asia,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,human,signed,-0.0867,1.369,-0.0633308984660336,4,-0.0633308984660336,0,Asia,Cold_Dry_Summer,NA
spatial_spd,region_climatezone,climate,signed,7.1383,8.091,0.8822518848102832,21,0.8822518848102832,0,Asia,Cold_Dry_Winter,NA
