analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_spd,Asia,6500,1,1,1,0.106,0.106,-0.0025,-0.0025,0.0941,0.0941,0.0148,0.0148,0.894,0.894,0.106,0.106,0,0,0.0915941230486685,0.0915941230486685,0.014405876951331498,0.014405876951331498,0.894,0.894
temporal_spd,Asia,7000,1,1,1,0.133,0.133,0.0076,0.0076,0.0958,0.0958,0.0294,0.0294,0.867,0.867,0.133,0.133,0.00761144578313253,0.00761144578313253,0.09594427710843373,0.09594427710843373,0.029444277108433736,0.029444277108433736,0.867,0.867
temporal_spd,Asia,7500,1,1,1,0.133,0.133,0.0036,0.0036,0.1005,0.1005,0.0287,0.0287,0.867,0.867,0.133,0.133,0.003605421686746988,0.003605421686746988,0.10065135542168675,0.10065135542168675,0.028743222891566264,0.028743222891566264,0.867,0.867
temporal_spd,Asia,8000,1,1,1,0.16,0.16,2e-4,2e-4,0.1406,0.1406,0.0191,0.0191,0.84,0.84,0.16,0.16,2.0012507817385866e-4,2.0012507817385866e-4,0.14068792995622265,0.14068792995622265,0.0191119449656035,0.0191119449656035,0.84,0.84
temporal_spd,Asia,8500,1,1,1,0.167,0.167,0,0,0.1558,0.1558,0.011,0.011,0.833,0.833,0.167,0.167,0,0,0.15598681055155875,0.15598681055155875,0.011013189448441246,0.011013189448441246,0.833,0.833
temporal_spd,Europe,2000,1,1,1,0.096,0.096,0.0047,0.0047,0.0936,0.0936,-0.0025,-0.0025,0.904,0.904,0.096,0.096,0.004590030518819939,0.004590030518819939,0.09140996948118008,0.09140996948118008,0,0,0.904,0.904
temporal_spd,Europe,2500,1,1,1,0.083,0.083,0.0067,0.0067,0.0817,0.0817,-0.0052,-0.0052,0.917,0.917,0.083,0.083,0.006290723981900453,0.006290723981900453,0.07670927601809956,0.07670927601809956,0,0,0.917,0.917
temporal_spd,Europe,3000,1,1,1,0.064,0.064,7e-4,7e-4,0.0532,0.0532,0.01,0.01,0.9359999999999999,0.9359999999999999,0.064,0.064,7.010954616588419e-4,7.010954616588419e-4,0.053283255086071984,0.053283255086071984,0.010015649452269171,0.010015649452269171,0.9359999999999999,0.9359999999999999
temporal_spd,Europe,3500,1,1,1,0.071,0.071,0.0136,0.0136,0.0448,0.0448,0.0127,0.0127,0.929,0.929,0.071,0.071,0.013580872011251757,0.013580872011251757,0.04473699015471167,0.04473699015471167,0.012682137834036567,0.012682137834036567,0.929,0.929
temporal_spd,Europe,4000,1,1,1,0.084,0.084,-7e-4,-7e-4,0.0724,0.0724,0.0127,0.0127,0.916,0.916,0.084,0.084,0,0,0.0714641598119859,0.0714641598119859,0.0125358401880141,0.0125358401880141,0.916,0.916
temporal_spd,Europe,4500,1,1,1,0.084,0.084,-6e-4,-6e-4,0.0776,0.0776,0.0067,0.0067,0.916,0.916,0.084,0.084,0,0,0.07732384341637011,0.07732384341637011,0.0066761565836298935,0.0066761565836298935,0.916,0.916
temporal_spd,Europe,5000,1,1,1,0.069,0.069,4e-4,4e-4,0.0604,0.0604,0.0082,0.0082,0.931,0.931,0.069,0.069,4e-4,4e-4,0.0604,0.0604,0.0082,0.0082,0.931,0.931
temporal_spd,Europe,5500,1,1,1,0.087,0.087,0.0016,0.0016,0.0878,0.0878,-0.002,-0.002,0.913,0.913,0.087,0.087,0.0015570469798657715,0.0015570469798657715,0.08544295302013422,0.08544295302013422,0,0,0.913,0.913
temporal_spd,Europe,6000,1,1,1,0.082,0.082,0.0076,0.0076,0.0666,0.0666,0.0081,0.0081,0.918,0.918,0.082,0.082,0.007572296476306197,0.007572296476306197,0.06635722964763063,0.06635722964763063,0.008070473876063184,0.008070473876063184,0.918,0.918
temporal_spd,Europe,6500,1,1,1,0.086,0.086,0.0167,0.0167,0.044,0.044,0.0254,0.0254,0.914,0.914,0.086,0.086,0.01668060394889663,0.01668060394889663,0.043948896631823456,0.043948896631823456,0.025370499419279907,0.025370499419279907,0.914,0.914
temporal_spd,Europe,7000,1,1,1,0.086,0.086,0.0077,0.0077,0.0589,0.0589,0.0196,0.0196,0.914,0.914,0.086,0.086,0.007682134570765661,0.007682134570765661,0.05876334106728538,0.05876334106728538,0.019554524361948954,0.019554524361948954,0.914,0.914
