analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,North America,Cold - Hot Summer,human,zero_truncated,0.1789,0.9429000000000001,0.18973379997878884,1,CHS,NA,NA,NA
h2_spd,North America,Cold - Warm Summer,climate,zero_truncated,0.9947,1.1331,0.8778572058953314,1,CWS,NA,NA,NA
h2_spd,North America,Cold - Warm Summer,human,zero_truncated,0.1384,1.1331,0.1221427941046686,1,CWS,NA,NA,NA
h2_spd,North America,Polar,climate,zero_truncated,0.6302,0.7029,0.8965713472755726,1,POL,NA,NA,NA
h2_spd,North America,Polar,human,zero_truncated,0.0727,0.7029,0.10342865272442738,1,POL,NA,NA,NA
h2_spd,North America,Temperate - Dry Summer,climate,zero_truncated,0.5903,0.7321000000000001,0.8063106133041934,1,TDS,NA,NA,NA
h2_spd,North America,Temperate - Dry Summer,human,zero_truncated,0.1418,0.7321000000000001,0.19368938669580657,1,TDS,NA,NA,NA
h2_spd,North America,Temperate,climate,zero_truncated,0.5098,0.8497,0.599976462280805,1,TMP,NA,NA,NA
h2_spd,North America,Temperate,human,zero_truncated,0.3399,0.8497,0.40002353771919497,1,TMP,NA,NA,NA
h2_spd,Oceania,Temperate,climate,zero_truncated,0.8384,1.0604,0.7906450396076953,1,TMP,NA,NA,NA
h2_spd,Oceania,Temperate,human,zero_truncated,0.222,1.0604,0.20935496039230478,1,TMP,NA,NA,NA
h2_spd,Oceania,Tropical,climate,zero_truncated,0.8612,1.0207,0.8437346918781229,1,TRO,NA,NA,NA
h2_spd,Oceania,Tropical,human,zero_truncated,0.1595,1.0207,0.15626530812187717,1,TRO,NA,NA,NA
h2_spd,Asia,Arid,NA,balance,NA,NA,NA,1,ARD,0.8363870598339537,0.16361294016604638,-0.6727741196679073
h2_spd,Asia,Cold - Dry Summer,NA,balance,NA,NA,NA,1,CDS,0.8136857616503961,0.186314238349604,-0.627371523300792
h2_spd,Asia,Cold - Dry Winter,NA,balance,NA,NA,NA,1,CDW,0.7581754782772595,0.24182452172274058,-0.5163509565545189
h2_spd,Asia,Cold - Cold Summer,NA,balance,NA,NA,NA,1,CCS,0.6848889949868704,0.31511100501312966,-0.36977798997374073
h2_spd,Asia,Cold - Warm Summer,NA,balance,NA,NA,NA,1,CWS,0.9756446991404012,0.024355300859598854,-0.9512893982808024
h2_spd,Asia,Polar,NA,balance,NA,NA,NA,1,POL,0.6971265582083245,0.30287344179167547,-0.394253116416649
