analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,ratio,climatezone_label
spatial_spd_reduced,Oceania,Arid,Climate,zero_truncated,0.2669,0.387,0.6896640826873386,1,0.6896640826873386,ARD
spatial_spd_reduced,Oceania,Arid,Human,zero_truncated,0.1201,0.387,0.31033591731266147,1,0.31033591731266147,ARD
spatial_spd_reduced,Oceania,Cold - Cold Summer,Climate,zero_truncated,0.156,0.1604,0.972568578553616,1,0.972568578553616,CCS
spatial_spd_reduced,Oceania,Cold - Cold Summer,Human,zero_truncated,0.0044,0.1604,0.027431421446384045,1,0.027431421446384045,CCS
spatial_spd_reduced,Oceania,Cold - Warm Summer,Climate,zero_truncated,0.0941,0.2023,0.46515076618882845,1,0.46515076618882845,CWS
spatial_spd_reduced,Oceania,Cold - Warm Summer,Human,zero_truncated,0.1082,0.2023,0.5348492338111716,1,0.5348492338111716,CWS
spatial_spd_reduced,Oceania,Temperate - Dry Summer,Climate,zero_truncated,0.1244,0.1638,0.7594627594627594,1,0.7594627594627594,TDS
spatial_spd_reduced,Oceania,Temperate - Dry Summer,Human,zero_truncated,0.0394,0.1638,0.24053724053724052,1,0.24053724053724052,TDS
spatial_spd_reduced,Oceania,Temperate - Dry Winter,Climate,zero_truncated,0.2854,0.4425,0.6449717514124294,1,0.6449717514124294,TDW
spatial_spd_reduced,Oceania,Temperate - Dry Winter,Human,zero_truncated,0.1571,0.4425,0.3550282485875706,1,0.3550282485875706,TDW
spatial_spd_reduced,Oceania,Temperate,Climate,zero_truncated,8.4313,12.4798,0.6755957627526082,26,0.6755957627526082,TMP
spatial_spd_reduced,Oceania,Temperate,Human,zero_truncated,4.0485,12.4798,0.3244042372473918,26,0.3244042372473918,TMP
spatial_spd_reduced,Oceania,Tropical,Climate,zero_truncated,1.407,2.0864000000000003,0.6743673312883435,4,0.6743673312883435,TRO
spatial_spd_reduced,Oceania,Tropical,Human,zero_truncated,0.6794,2.0864000000000003,0.3256326687116564,4,0.3256326687116564,TRO
