predictor,n_datasets,n_with_complete_pairs,median_baseline,median_reduced,median_delta_ratio,q95_abs_delta_ratio
climate,1262,1114,0.7979357394366198,0.7944150243235351,-0.00977910889328859,0.3724289980514818
human,1262,1114,0.20207824036731403,0.20738911871418397,0.009843081044894932,0.3770107891491865
