summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
718,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
719,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
720,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
721,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
722,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
723,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
724,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
725,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,1,0,TRUE
726,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,1,0,TRUE
727,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,1,0,TRUE
728,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,1,0,TRUE
729,climate_zone_within_continent,as_coded,climate,events_minus_spd,4,0,TRUE
730,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,4,0,TRUE
731,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,4,0,TRUE
732,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,4,0,TRUE
733,climate_zone_within_continent,as_coded,human,events_minus_spd,4,0,TRUE
734,climate_zone_within_continent,observed_events_only,human,events_minus_spd,4,0,TRUE
735,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,4,0,TRUE
736,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,4,0,TRUE
737,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,4,0,TRUE
738,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,4,0,TRUE
739,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,4,0,TRUE
740,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,4,0,TRUE
741,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,4,0,TRUE
742,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,4,0,TRUE
743,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,4,0,TRUE
744,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,4,0,TRUE
745,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,4,0,TRUE
746,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,4,0,TRUE
747,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,4,0,TRUE
748,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,4,0,TRUE
749,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,4,0,TRUE
750,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,4,0,TRUE
751,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,4,0,TRUE
752,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,4,0,TRUE
753,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,4,0,TRUE
754,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,4,0,TRUE
755,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,4,0,TRUE
756,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,4,0,TRUE
757,climate_zone_within_continent,as_coded,climate,events_minus_spd,17,0,TRUE
758,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,17,0,TRUE
759,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,17,0,TRUE
760,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,17,0,TRUE
761,climate_zone_within_continent,as_coded,human,events_minus_spd,17,0,TRUE
762,climate_zone_within_continent,observed_events_only,human,events_minus_spd,17,0,TRUE
763,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,17,0,TRUE
764,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,17,0,TRUE
765,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,17,0,TRUE
766,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,17,0,TRUE
767,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,17,0,TRUE
768,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,17,0,TRUE
769,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,17,0,TRUE
770,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,17,0,TRUE
771,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,17,0,TRUE
772,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,17,0,TRUE
773,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,17,0,TRUE
774,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,17,0,TRUE
775,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,17,0,TRUE
776,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,17,0,TRUE
777,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,17,0,TRUE
778,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,17,0,TRUE
779,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,17,0,TRUE
780,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,17,0,TRUE
781,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,17,0,TRUE
782,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,17,0,TRUE
783,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,17,0,TRUE
784,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,17,0,TRUE
785,climate_zone_within_continent,as_coded,climate,events_minus_spd,1,0,TRUE
786,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,1,0,TRUE
787,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,1,0,TRUE
788,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,1,0,TRUE
789,climate_zone_within_continent,as_coded,human,events_minus_spd,1,0,TRUE
790,climate_zone_within_continent,observed_events_only,human,events_minus_spd,1,0,TRUE
791,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,1,0,TRUE
792,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,1,0,TRUE
793,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,1,0,TRUE
794,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,1,0,TRUE
795,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,1,0,TRUE
796,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,1,0,TRUE
797,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,1,0,TRUE
798,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,1,0,TRUE
799,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,1,0,TRUE
800,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,1,0,TRUE
801,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
802,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
803,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
804,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
805,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
806,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
807,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
808,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
809,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,1,0,TRUE
810,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,1,0,TRUE
811,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,1,0,TRUE
812,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,1,0,TRUE
813,climate_zone_within_continent,as_coded,climate,events_minus_spd,2,0,TRUE
814,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,2,0,TRUE
815,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,2,0,TRUE
816,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,2,0,TRUE
817,climate_zone_within_continent,as_coded,human,events_minus_spd,2,0,TRUE
818,climate_zone_within_continent,observed_events_only,human,events_minus_spd,2,0,TRUE
819,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,2,0,TRUE
820,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,2,0,TRUE
821,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,2,0,TRUE
822,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,2,0,TRUE
823,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,2,0,TRUE
824,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,2,0,TRUE
