cohort,region,age,status__events,status__spd,status__spd_events,human_climate_only_balance__events,human_climate_only_balance__spd,human_climate_only_balance__spd_events,controlled_human__events,controlled_human__spd,controlled_human__spd_events,controlled_climate__events,controlled_climate__spd,controlled_climate__spd_events,controlled_balance__events,controlled_balance__spd,controlled_balance__spd_events,zero_allocation_human__events,zero_allocation_human__spd,zero_allocation_human__spd_events,zero_allocation_climate__events,zero_allocation_climate__spd,zero_allocation_climate__spd_events,zero_allocation_space__events,zero_allocation_space__spd,zero_allocation_space__spd_events,unique_adjusted_r2_pure_human__events,unique_adjusted_r2_pure_human__spd,unique_adjusted_r2_pure_human__spd_events,unique_adjusted_r2_pure_climate__events,unique_adjusted_r2_pure_climate__spd,unique_adjusted_r2_pure_climate__spd_events,unique_adjusted_r2_pure_space__events,unique_adjusted_r2_pure_space__spd,unique_adjusted_r2_pure_space__spd_events,controlled_ranking__events,controlled_ranking__spd,controlled_ranking__spd_events,human_climate_only_ranking__events,human_climate_only_ranking__spd,human_climate_only_ranking__spd_events,human_climate_only_balance__spd_events_minus_spd,human_climate_only_balance__events_minus_spd,controlled_human__spd_events_minus_spd,controlled_human__events_minus_spd,controlled_climate__spd_events_minus_spd,controlled_climate__events_minus_spd,controlled_balance__spd_events_minus_spd,controlled_balance__events_minus_spd,zero_allocation_human__spd_events_minus_spd,zero_allocation_human__events_minus_spd,zero_allocation_climate__spd_events_minus_spd,zero_allocation_climate__events_minus_spd,zero_allocation_space__spd_events_minus_spd,zero_allocation_space__events_minus_spd,unique_adjusted_r2_pure_human__spd_events_minus_spd,unique_adjusted_r2_pure_human__events_minus_spd,unique_adjusted_r2_pure_climate__spd_events_minus_spd,unique_adjusted_r2_pure_climate__events_minus_spd,unique_adjusted_r2_pure_space__spd_events_minus_spd,unique_adjusted_r2_pure_space__events_minus_spd,controlled_ranking__spd_events_vs_spd_reversal,controlled_ranking__events_vs_spd_reversal,human_climate_only_ranking__spd_events_vs_spd_reversal,human_climate_only_ranking__events_vs_spd_reversal,estimable__spd,estimable__spd_events,estimable__events,three_way_estimable,estimability_change__spd_events_vs_spd,estimability_change__events_vs_spd
as_coded,Europe,2000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0702,-0.0945,-0.0686,0.0168,0.0029,0.0195,0.0727,0.0755,0.0729,-0.055900000000000005,-0.0726,-0.0534,0.08931419457735247,0.016084303937881305,0.10198744769874477,0.3864965443912813,0.41874653355518576,0.38127615062761505,0.5241892610313663,0.5651691625069328,0.5167364016736401,0.010631173915982672,0.0029190797839376836,0.013790340606047224,0.052299287163906194,0.05359518534609442,0.05200604392497343,0.07719353011537111,0.07959168487577606,0.07693193444512303,climate,climate,climate,climate,climate,climate,0.025900000000000006,0.024300000000000002,0.0166,0.0139,-0.002599999999999991,-0.002799999999999997,0.019199999999999995,0.016699999999999993,0.08590314376086346,0.07322989063947116,-0.03747038292757071,-0.03224998916390448,-0.04843276083329273,-0.040979901475566516,0.01087126082210954,0.007712094132044989,-0.0015891414211209876,-0.0012958981821882265,-0.0026597504306530295,-0.002398154760404947,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,2500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.061700000000000005,-0.0764,-0.05950000000000001,0.0093,0.0071,0.0146,0.0672,0.0613,0.056,-0.05789999999999999,-0.0542,-0.0414,0.05400696864111498,0.04057142857142858,0.07874865156418555,0.3902439024390244,0.3502857142857143,0.30204962243797195,0.5557491289198606,0.6091428571428572,0.6192017259978425,0.0027856069744923717,0.012016554511803723,0.011956087641016078,0.056934445620956065,0.04413375197800129,0.03543136671703839,0.08717365658856813,0.08997108422894018,0.093297074663232,climate,climate,climate,climate,climate,climate,0.016899999999999984,0.01469999999999999,0.0075,0.002199999999999999,-0.005299999999999999,0.0058999999999999955,0.012799999999999999,-0.003699999999999995,0.03817722299275697,0.013435540069686405,-0.04823609184774236,0.03995818815331009,0.010058868854985303,-0.053393728222996595,-6.0466870787645455e-5,-0.009230947537311351,-0.008702385260962897,0.012800693642954775,0.0033259904342918256,-0.002797427640372052,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,3000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0499,-0.0513,-0.039799999999999995,0.0082,0.0069,0.0152,0.0541,0.0493,0.0486,-0.0459,-0.04239999999999999,-0.0334,0.05536799459824443,0.0478502080443828,0.1009966777408638,0.3652937204591492,0.3418862690707351,0.3229235880398671,0.5793382849426063,0.6102635228848821,0.5760797342192692,0.00572405711714441,0.003920464110483635,0.010101601901669977,0.04749082267037574,0.037559510648820904,0.03710179477707154,0.07813736372487001,0.08222021467789076,0.08052178625965445,climate,climate,climate,climate,climate,climate,0.011500000000000003,0.0013999999999999985,0.0083,0.0013000000000000008,-6.999999999999992e-4,0.004800000000000006,0.008999999999999994,-0.00350000000000001,0.05314646969648099,0.007517786553861629,-0.01896268103086801,0.023407451388414102,-0.03418378866561289,-0.030925237942275752,0.006181137791186342,0.0018035930066607753,-4.5771587174936457e-4,0.009931312021554839,-0.0016984284182363085,-0.004082850953020745,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,3500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0484,-0.0478,-0.0331,0.0128,0.0085,0.022,0.0664,0.059,0.0609,-0.0536,-0.050499999999999996,-0.038900000000000004,0.06801275239107332,0.047914317925591886,0.11943539630836048,0.35281615302869285,0.33258173618940245,0.33061889250814336,0.5791710945802337,0.6195039458850056,0.5499457111834962,0.012190054582897347,0.001334227371870056,0.01593875924649879,0.07111693272433517,0.05447964116662307,0.060649608086861595,0.1122322584825578,0.11220872149535643,0.1059941959535835,climate,climate,climate,climate,climate,climate,0.014700000000000005,-5.999999999999964e-4,0.013499999999999998,0.0043,0.0019000000000000059,0.007400000000000004,0.011599999999999992,-0.0031000000000000055,0.07152107838276858,0.020098434465481436,-0.0019628436812590966,0.020234416839290392,-0.06955823470150935,-0.04033285130477182,0.014604531874628734,0.010855827211027291,0.006169966920238523,0.016637291557712097,-0.006214525541772931,2.3536987201366877e-5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,4000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0722,-0.0671,-0.0596,0.0056,0.008,0.0138,0.0803,0.0715,0.0717,-0.0747,-0.0635,-0.0579,0.0306178239475123,0.04566210045662101,0.07679465776293823,0.4390377255330781,0.4081050228310502,0.3989983305509182,0.5303444505194095,0.5462328767123288,0.5242070116861436,0.0045881396035629685,0.001987756277883612,0.00661226077806043,0.08184254791943113,0.061907593938235306,0.0627756939270524,0.09670680990847347,0.09664566033444988,0.0939594533387329,climate,climate,climate,climate,climate,climate,0.007500000000000007,-0.005099999999999993,0.0058,-0.0024000000000000002,2.0000000000000573e-4,0.008800000000000002,0.005600000000000001,-0.011200000000000002,0.03113255730631722,-0.015044276509108709,-0.009106692280132,0.030932702702027914,-0.0220258650261852,-0.015888426192919303,0.004624504500176818,0.0026003833256793563,8.680999888170948e-4,0.019934953981195824,-0.0026862069957169776,6.1149574023589e-5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,4500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.082,-0.07970000000000001,-0.0772,0.0031,0.0015,0.0045,0.0676,0.0651,0.0656,-0.06449999999999999,-0.0636,-0.06110000000000001,0.01586489252814739,0.007853403141361256,0.02316006176016469,0.34595701125895595,0.34083769633507854,0.3376222336592898,0.6381780962128967,0.6513089005235602,0.6392177045805456,0.003152844387476317,-0.0012468433210740537,0.0019954364472795083,0.05024093980948652,0.046244410253108326,0.046943066435521263,0.10657348709377634,0.10685490965517408,0.10623122822482733,climate,climate,climate,climate,climate,climate,0.0025000000000000022,-0.0022999999999999965,0.0029999999999999996,0.0015999999999999999,5.000000000000004e-4,0.0024999999999999883,0.0024999999999999953,-8.999999999999841e-4,0.015306658618803435,0.008011489386786133,-0.0032154626757887605,0.005119314923877405,-0.012091195943014554,-0.01313080431066349,0.003242279768353562,0.0043996877085503705,6.986561824129378e-4,0.003996529556378192,-6.236814303467453e-4,-2.8142256139773725e-4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,5000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.05789999999999999,-0.0576,-0.050600000000000006,0.0081,0.003,0.0103,0.059,0.0567,0.0573,-0.0509,-0.0537,-0.047,0.04835820895522387,0.01876172607879925,0.06171360095865788,0.3522388059701492,0.3545966228893058,0.3433193529059317,0.5994029850746269,0.626641651031895,0.5949670461354104,0.007584434691990882,-8.409773046380575e-5,0.006930752444726296,0.05151320754119626,0.04967600518702919,0.050431961847184015,0.09104981804762546,0.09353374208889098,0.09103906742799273,climate,climate,climate,climate,climate,climate,0.006999999999999992,-2.999999999999947e-4,0.0073,0.0050999999999999995,5.999999999999964e-4,0.0022999999999999965,0.006699999999999998,0.002799999999999997,0.04295187487985863,0.02959648287642462,-0.011277269983374139,-0.0023578169191565967,-0.03167460489648455,-0.027238665957268093,0.0070148501751901016,0.007668532422454688,7.559566601548218e-4,0.0018372023541670668,-0.002494674660898255,-0.0024839240412655172,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,5500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0808,-0.08339999999999999,-0.08070000000000001,0.0047,5e-4,0.0055,0.0809,0.0718,0.0812,-0.0762,-0.0713,-0.07569999999999999,0.024620220010476687,0.002554931016862545,0.028720626631853784,0.42378208486118385,0.36688809402146144,0.4240208877284595,0.5515976951283394,0.6305569749616761,0.5472584856396867,0.007922263614900338,2.734901012153568e-4,0.008446880048370797,0.07934559578206823,0.059484429629933944,0.07914479442310018,0.10315723428809698,0.11087659057876131,0.10135023143063682,climate,climate,climate,climate,climate,climate,0.00269999999999998,0.002599999999999991,0.004999999999999999,0.004200000000000001,0.009399999999999992,0.009099999999999997,-0.004399999999999987,-0.004900000000000002,0.026165695614991238,0.02206528899361414,0.05713279370699803,0.05689399083972241,-0.08329848932198936,-0.07895927983333662,0.00817338994715544,0.007648773513684981,0.01966036479316624,0.01986116615213429,-0.009526359148124497,-0.0077193562906643365,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,6000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.07250000000000001,-0.059500000000000004,-0.056799999999999996,0.0039,0.0162,0.021,0.0667,0.0653,0.0667,-0.0628,-0.0491,-0.04569999999999999,0.02200902934537246,0.0962566844919786,0.11777902411665733,0.37641083521444696,0.3879976232917409,0.3740886146943354,0.6015801354401806,0.5157456922162804,0.5081323611890073,0.003435752809675674,0.01535666470448882,0.021167568745635523,0.056521025910983624,0.05405916187357407,0.05592099754683222,0.09453614248304565,0.08521915675592617,0.08902527443246178,climate,climate,climate,climate,climate,climate,0.002700000000000008,-0.013000000000000005,0.004800000000000002,-0.012299999999999998,0.0013999999999999985,0.0013999999999999985,0.003400000000000007,-0.013699999999999997,0.021522339624678727,-0.07424765514660614,-0.013909008597405514,-0.011586788077293964,-0.007613331027273129,0.08583444322390021,0.005810904041146703,-0.011920911894813147,0.0018618356732581498,0.0024618640374095557,0.003806117676535603,0.009316985727119476,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,6500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0635,-0.021,-0.0206,0.001,0.0322,0.0316,0.049,0.0461,0.047,-0.048,-0.013900000000000003,-0.015399999999999997,0.005813953488372094,0.1871005229517722,0.1861012956419317,0.28488372093023256,0.26786751888436955,0.27679623085983507,0.7093023255813954,0.5450319581638582,0.5371024734982333,1.237738470618588e-4,0.024213911269282073,0.02199848886602851,0.03245586897152941,0.030951115043914235,0.032193570353832524,0.10411619779739156,0.09092505861710154,0.0853084357823537,climate,climate,climate,climate,climate,climate,4.0000000000000105e-4,-0.042499999999999996,-5.999999999999964e-4,-0.0312,8.99999999999998e-4,0.0029,-0.0014999999999999944,-0.0341,-9.992273098405058e-4,-0.1812865694634001,0.00892871197546552,0.017016202045863016,-0.00792948466562493,0.1642703674175372,-0.002215422403253564,-0.024090137422220215,0.001242455309918289,0.0015047539276151767,-0.005616622834747842,0.013191139180290024,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,7000,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.06319999999999999,-0.04479999999999999,-0.0337,0.0092,0.0171,0.0272,0.0612,0.0548,0.0551,-0.052,-0.0377,-0.027900000000000005,0.05367561260210035,0.1103938024531956,0.1585081585081585,0.3570595099183197,0.3537766300839251,0.32109557109557113,0.58926487747958,0.5358295674628792,0.5203962703962705,0.008586519645286006,0.010274171400039389,0.019634312275214727,0.04941339897395847,0.04093001295204157,0.041854574678896084,0.08836257255079305,0.07495939379126959,0.07936398752848961,climate,climate,climate,climate,climate,climate,0.011099999999999992,-0.0184,0.010099999999999998,-0.0079,3.0000000000000165e-4,0.006399999999999996,0.009799999999999993,-0.0143,0.04811435605496289,-0.05671818985109525,-0.032681058988353995,0.0032828798343945698,-0.015433297066608787,0.053435310016700766,0.009360140875175338,-0.0016876517547533831,9.245617268545114e-4,0.008483386021916894,0.0044045937372200195,0.01340317875952346,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,Europe,7500,spatial_model_estimated,spatial_model_estimated,spatial_model_estimated,-0.0651,-0.0133,-0.0012999999999999956,0.0147,0.049,0.064,0.077,0.0615,0.0623,-0.0623,-0.012499999999999997,0.0017000000000000001,0.0769633507853403,0.2705687465488681,0.3227433182047403,0.4031413612565445,0.3395913859745997,0.3141704488149269,0.5198952879581151,0.3898398674765323,0.36308623298033277,0.0178505274933628,0.039404479599088105,0.05633245783761043,0.07743958538926898,0.051147024458973345,0.05159177364767886,0.09865765131282611,0.06485261291165567,0.06576477961356408,climate,climate,human,climate,climate,climate,0.012000000000000004,-0.051800000000000006,0.015,-0.034300000000000004,8.000000000000021e-4,0.0155,0.014199999999999997,-0.049800000000000004,0.05217457165587219,-0.19360539576352778,-0.025420937159672807,0.06354997528194478,-0.026753634496199552,0.1300554204815828,0.016927978238522323,-0.021553952105725305,4.447491887055177e-4,0.02629256093029564,9.121667019084123e-4,0.03380503840117044,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
