cohort,proxy_variant,radius_km,spd_radius_specification,profile_id,aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.11446656534954411,2,0.987,Latin America,Temperate_Dry_Winter,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.1683576405867971,15,6.544,Latin America,Temperate_Without_dry_season,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.12774539893617015,15,7.5200000000000005,Latin America,Tropical,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.10628920590169763,17,5.417,North America,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.07804368676789696,49,20.066,North America,Cold_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.15109708576863282,136,62.559,North America,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.16787532120988438,52,22.054,North America,Cold_Without_dry_season_Hot_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.1256358971399447,190,84.826,North America,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.18437736631048504,36,15.727,North America,Polar,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,signed,-0.05759161533799332,17,6.966,North America,Temperate_Dry_Summer,climate,selected,,spd,bi
