summary_level,aggregation_level,profile,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive
spatial_aggregation,overall,signed,adjusted_balance,events_minus_spd,as_coded,1,1,0.08467406764688354,0.08467406764688354,0.08467406764688354,0.08467406764688354,0.08467406764688354,0.08467406764688354,0,0,1
spatial_aggregation,overall,signed,adjusted_balance,events_minus_spd,observed_events_only,1,1,0.08509162775027473,0.08509162775027473,0.08509162775027473,0.08509162775027473,0.08509162775027473,0.08509162775027473,0,0,1
spatial_aggregation,overall,signed,adjusted_balance,spd_events_minus_spd,as_coded,1,1,0.022586030689640046,0.022586030689640046,0.022586030689640046,0.022586030689640046,0.022586030689640046,0.022586030689640046,0,0,1
spatial_aggregation,overall,signed,adjusted_balance,spd_events_minus_spd,observed_events_only,1,1,0.027916564705504077,0.027916564705504077,0.027916564705504077,0.027916564705504077,0.027916564705504077,0.027916564705504077,0,0,1
spatial_aggregation,overall,zero_truncated,adjusted_balance,events_minus_spd,as_coded,1,1,0.29186201154228764,0.29186201154228764,0.29186201154228764,0.29186201154228764,0.29186201154228764,0.29186201154228764,0,0,1
spatial_aggregation,overall,zero_truncated,adjusted_balance,events_minus_spd,observed_events_only,1,1,0.287788239947917,0.287788239947917,0.287788239947917,0.287788239947917,0.287788239947917,0.287788239947917,0,0,1
spatial_aggregation,overall,zero_truncated,adjusted_balance,spd_events_minus_spd,as_coded,1,1,0.08719825434622186,0.08719825434622186,0.08719825434622186,0.08719825434622186,0.08719825434622186,0.08719825434622186,0,0,1
spatial_aggregation,overall,zero_truncated,adjusted_balance,spd_events_minus_spd,observed_events_only,1,1,0.10708323457213215,0.10708323457213215,0.10708323457213215,0.10708323457213215,0.10708323457213215,0.10708323457213215,0,0,1
spatial_aggregation,region,signed,adjusted_balance,events_minus_spd,as_coded,5,5,-0.025034193473168126,0.021468488240662414,0.08886571748968601,0.06834651727636586,0.1136682591314912,0.14276431499315778,1,0,4
spatial_aggregation,region,signed,adjusted_balance,events_minus_spd,observed_events_only,5,5,-0.024482187529213995,0.017127508934812158,0.08886571748968598,0.06988155746069522,0.1136682591314912,0.15422848927670071,1,0,4
spatial_aggregation,region,signed,adjusted_balance,spd_events_minus_spd,as_coded,5,5,0.004032316022498095,0.018810857634657813,0.035287239008216884,0.041260148051364576,0.05826152541417316,0.08990880217727693,0,0,5
spatial_aggregation,region,signed,adjusted_balance,spd_events_minus_spd,observed_events_only,5,5,0.0036378506817658918,0.014469878328807556,0.056236976406147055,0.05782348674050953,0.0899088021772769,0.12486392610855024,0,0,5
spatial_aggregation,region,zero_truncated,adjusted_balance,events_minus_spd,as_coded,5,5,-0.014699998846507023,0.07939017623321104,0.26008626706107474,0.24848386507927678,0.4317465490126491,0.485896331935956,1,0,4
spatial_aggregation,region,zero_truncated,adjusted_balance,events_minus_spd,observed_events_only,5,5,-0.011515643932659414,0.07139855185196803,0.26008626706107474,0.2559651976270977,0.4317465490126491,0.528110264142456,1,0,4
spatial_aggregation,region,zero_truncated,adjusted_balance,spd_events_minus_spd,as_coded,5,5,0.014898011085828111,0.10523388519039595,0.13824698451076484,0.15038601309491398,0.23318771974920222,0.2603634649383788,0,0,5
spatial_aggregation,region,zero_truncated,adjusted_balance,spd_events_minus_spd,observed_events_only,5,5,0.013824428637719877,0.09724226080915305,0.22783304630917278,0.20853380818136696,0.2603634649383789,0.44340584021241014,0,0,5
spatial_aggregation,region_climatezone,signed,adjusted_balance,events_minus_spd,as_coded,33,33,-0.4093324697029554,-6.293702851893346e-4,0.06871171563401847,0.06298252153591948,0.13548153106088057,0.3778008368200836,9,0,24
spatial_aggregation,region_climatezone,signed,adjusted_balance,events_minus_spd,observed_events_only,33,33,-0.40933246970295545,-0.001492998549157215,0.06871171563401848,0.06156294308596348,0.13548153106088048,0.34342924147826986,10,0,23
spatial_aggregation,region_climatezone,signed,adjusted_balance,spd_events_minus_spd,as_coded,33,33,-0.26186801204911625,0.0023930020622955905,0.031291789649307566,0.045903944565086285,0.08537174773321604,0.306350392992454,8,0,25
spatial_aggregation,region_climatezone,signed,adjusted_balance,spd_events_minus_spd,observed_events_only,33,33,-0.26186801204911625,0.0028523859685064545,0.04026832365898381,0.06426221825429995,0.09894216412077428,0.47959532166074403,7,0,26
spatial_aggregation,region_climatezone,zero_truncated,adjusted_balance,events_minus_spd,as_coded,33,33,-1.5509326537079469,0.032746806191718325,0.29656511768098753,0.26737376126349777,0.6717668201515892,1.6697892271662766,8,0,25
spatial_aggregation,region_climatezone,zero_truncated,adjusted_balance,events_minus_spd,observed_events_only,33,33,-1.550932653707947,0.004182705892891381,0.3197880250398142,0.26439024385945303,0.6226866411058489,1.571389924346895,8,0,25
spatial_aggregation,region_climatezone,zero_truncated,adjusted_balance,spd_events_minus_spd,as_coded,33,33,-0.928935193221175,0.0336176795792521,0.1492399794977975,0.22506939841939366,0.2676508113624586,1.3954299405742536,7,0,26
spatial_aggregation,region_climatezone,zero_truncated,adjusted_balance,spd_events_minus_spd,observed_events_only,33,33,-0.928935193221175,0.06675341373105503,0.1784536960849189,0.28891614736403154,0.45206932986706483,1.551140331538475,4,0,29
