summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
80,continent,observed_events_only,zero_allocation_climate,spd_events_minus_spd,14,0,TRUE
81,continent,as_coded,zero_allocation_human,events_minus_spd,14,0,TRUE
82,continent,observed_events_only,zero_allocation_human,events_minus_spd,14,0,TRUE
83,continent,as_coded,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
84,continent,observed_events_only,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
85,continent,as_coded,controlled_balance,events_minus_spd,14,0,TRUE
86,continent,observed_events_only,controlled_balance,events_minus_spd,14,0,TRUE
87,continent,as_coded,controlled_balance,spd_events_minus_spd,14,0,TRUE
88,continent,observed_events_only,controlled_balance,spd_events_minus_spd,14,0,TRUE
89,continent,as_coded,controlled_climate,events_minus_spd,14,0,TRUE
90,continent,observed_events_only,controlled_climate,events_minus_spd,14,0,TRUE
91,continent,as_coded,controlled_climate,spd_events_minus_spd,14,0,TRUE
92,continent,observed_events_only,controlled_climate,spd_events_minus_spd,14,0,TRUE
93,continent,as_coded,controlled_human,events_minus_spd,14,0,TRUE
94,continent,observed_events_only,controlled_human,events_minus_spd,14,0,TRUE
95,continent,as_coded,controlled_human,spd_events_minus_spd,14,0,TRUE
96,continent,observed_events_only,controlled_human,spd_events_minus_spd,14,0,TRUE
97,continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,14,0,TRUE
98,continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,14,0,TRUE
99,continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,14,0,TRUE
100,continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,14,0,TRUE
101,continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,14,0,TRUE
102,continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,14,0,TRUE
103,continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,14,0,TRUE
104,continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,14,0,TRUE
105,continent,as_coded,zero_allocation_climate,events_minus_spd,14,0,TRUE
106,continent,observed_events_only,zero_allocation_climate,events_minus_spd,14,0,TRUE
107,continent,as_coded,zero_allocation_climate,spd_events_minus_spd,14,0,TRUE
108,continent,observed_events_only,zero_allocation_climate,spd_events_minus_spd,14,0,TRUE
109,continent,as_coded,zero_allocation_human,events_minus_spd,14,0,TRUE
110,continent,observed_events_only,zero_allocation_human,events_minus_spd,14,0,TRUE
111,continent,as_coded,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
