cohort,proxy_variant,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,Europe,6500,spatial_model_estimated,selected,-0.021,0.0322,0.0461,-0.013900000000000003,climate,climate,FALSE,0.1871005229517722,0.26786751888436955,0.5450319581638582,0.024213911269282073,0.030951115043914235,0.09092505861710154,0.026010592111339714,0.17210067704163756,0.8278993229583624,,spd,bi
as_coded,spd,Europe,7000,spatial_model_estimated,selected,-0.04479999999999999,0.0171,0.0548,-0.0377,climate,climate,FALSE,0.1103938024531956,0.3537766300839251,0.5358295674628792,0.010274171400039389,0.04093001295204157,0.07495939379126959,0.02876689325244064,0.1549304713957912,0.8450695286042088,,spd,bi
as_coded,spd,Europe,7500,spatial_model_estimated,selected,-0.0133,0.049,0.0615,-0.012499999999999997,climate,climate,FALSE,0.2705687465488681,0.3395913859745997,0.3898398674765323,0.039404479599088105,0.051147024458973345,0.06485261291165567,0.025751965405459765,0.18115608237517689,0.8188439176248231,,spd,bi
as_coded,spd,Europe,8000,spatial_model_estimated,selected,-0.062000000000000006,0.0113,0.0746,-0.0633,climate,climate,FALSE,0.06983930778739184,0.4610630407911001,0.469097651421508,0.007999613065893585,0.07255972418842949,0.06739720888701495,0.013783504027967575,0.1617400501693056,0.8382599498306944,,spd,bi
as_coded,spd,Europe,8500,spatial_model_estimated,selected,-0.0603,0.0088,0.0688,-0.06,climate,climate,FALSE,0.058085808580858093,0.45412541254125416,0.48778877887788774,0.002701484118592834,0.06245890651661534,0.074293250092337,0.01201123098331569,0.15146487171086087,0.8485351282891391,,spd,bi
as_coded,spd,North America,2000,spatial_model_estimated,selected,-0.0887,0.0038,0.0568,-0.053000000000000005,climate,climate,FALSE,0.018990504747626185,0.2838580709645177,0.697151424287856,-2.317084619085641e-4,0.017043581756738146,0.10007182908852963,0.08321154301419287,0.20009524539755208,0.7999047546024479,,spd,bi
as_coded,spd,North America,2500,spatial_model_estimated,selected,-0.0913,0.0068,0.0598,-0.053,climate,climate,FALSE,0.03132197144173192,0.2754491017964072,0.6932289267618609,0.00513091320230441,0.01991100470819618,0.10959446190436772,0.08252680570435922,0.21716318551922753,0.7828368144807725,,spd,bi
as_coded,spd,North America,3000,spatial_model_estimated,selected,-0.0919,0.0058,0.059,-0.0532,climate,climate,FALSE,0.02815533980582524,0.28640776699029125,0.6854368932038835,0.0031023071058920992,0.017522176119982746,0.09666684457318142,0.08866454400289403,0.2059558718019503,0.7940441281980497,,spd,bi
as_coded,spd,North America,3500,spatial_model_estimated,selected,-0.0959,0.003,0.0598,-0.056799999999999996,climate,climate,FALSE,0.015306122448979591,0.3051020408163265,0.6795918367346939,0.0015074307337823445,0.0193120427830753,0.09284364621100627,0.08224551244626643,0.19590863217413035,0.8040913678258697,,spd,bi
as_coded,spd,North America,4000,spatial_model_estimated,selected,-0.0774,0.0078,0.052,-0.044199999999999996,climate,climate,FALSE,0.042763157894736836,0.2850877192982456,0.6721491228070176,0.004326835325254463,0.015328007687900658,0.08444677872930584,0.07831591587441156,0.18241753761687252,0.8175824623831275,,spd,bi
as_coded,spd,North America,4500,spatial_model_estimated,selected,-0.08750000000000001,0.008,0.0564,-0.0484,climate,climate,FALSE,0.03836930455635491,0.27050359712230215,0.6911270983213429,0.006480085236499122,0.015682084569906163,0.10204375638740482,0.08426841730338364,0.20847434349719374,0.7915256565028063,,spd,bi
as_coded,spd,North America,5000,spatial_model_estimated,selected,-0.0933,0.0044,0.0591,-0.0547,climate,climate,FALSE,0.024242424242424246,0.3256198347107438,0.650137741046832,0.0023953103680505183,0.018451322345358623,0.0746256205763961,0.0860752586652136,0.18154751195501884,0.8184524880449812,,spd,bi
as_coded,spd,North America,5500,spatial_model_estimated,selected,-0.07450000000000001,0.01,0.0525,-0.042499999999999996,climate,climate,FALSE,0.04875670404680644,0.25597269624573377,0.6952705997074597,0.008922574975615216,0.019409794565484972,0.10776727101139583,0.06897700299194898,0.205076643544445,0.794923356455555,,spd,bi
as_coded,spd,North America,6000,spatial_model_estimated,selected,-0.0776,0.0126,0.0572,-0.0446,climate,climate,FALSE,0.06164383561643836,0.27984344422700586,0.6585127201565558,0.012127905888862367,0.023678361024497607,0.10160116713431355,0.06691762320259664,0.20432505725027017,0.7956749427497298,,spd,bi
as_coded,spd,North America,6500,spatial_model_estimated,selected,-0.0895,0.0086,0.0592,-0.050600000000000006,climate,climate,FALSE,0.039126478616924476,0.26933575978161967,0.6915377616014559,0.007818197731437104,0.0195579286008829,0.11157974780893598,0.0807504619389472,0.21970633608020318,0.7802936639197968,,spd,bi
as_coded,spd,North America,7000,spatial_model_estimated,selected,-0.0838,0.011,0.0621,-0.051100000000000007,climate,climate,FALSE,0.05032021957913998,0.28408051235132664,0.6655992680695334,0.009368433713600854,0.02785966361147585,0.11083142050882866,0.07047814605138114,0.2185376638852865,0.7814623361147135,,spd,bi
as_coded,spd,North America,7500,spatial_model_estimated,selected,-0.0737,0.0109,0.0584,-0.0475,climate,climate,FALSE,0.06085985482970408,0.3260748185371301,0.6130653266331658,0.009216707820407066,0.03041805380156548,0.08018931615836555,0.0592814714115536,0.1791055491918917,0.8208944508081083,,spd,bi
as_coded,spd,North America,8000,spatial_model_estimated,selected,-0.0952,0.0088,0.0712,-0.0624,climate,climate,FALSE,0.04505888376856119,0.3645673323092678,0.590373783922171,0.008800613689336156,0.03831320495431623,0.08308105934554244,0.06508914521556564,0.19528402320476046,0.8047159767952395,,spd,bi
as_coded,spd,North America,8500,spatial_model_estimated,selected,-0.09359999999999999,0.0037,0.0627,-0.059000000000000004,climate,climate,FALSE,0.018137254901960782,0.3073529411764706,0.6745098039215686,9.658513151902248e-4,0.0253584832544973,0.10032997130888399,0.07727406951807259,0.2039283753966441,0.7960716246033559,,spd,bi
as_coded,spd,Latin America,2000,spatial_model_estimated,selected,-0.1466,0.0048,0.1406,-0.1358,climate,climate,FALSE,0.028537455410225916,0.8359096313912009,0.13555291319857313,7.592679839880656e-4,0.12574990488365723,0.015581677582610198,0.026104264702504043,0.16819511515275953,0.8318048848472405,,spd,no_impact
as_coded,spd,Latin America,2500,spatial_model_estimated,selected,-0.1416,0.0097,0.1409,-0.13119999999999998,climate,climate,FALSE,0.05350248207391065,0.7771649200220629,0.1693325979040265,0.005439319712083224,0.1261148015020529,0.028798099413360978,0.021039447983082105,0.1813916686105792,0.8186083313894208,,spd,no_impact
as_coded,spd,Latin America,3000,spatial_model_estimated,selected,-0.1628,0.0133,0.1693,-0.156,climate,climate,FALSE,0.06646676661669165,0.8460769615192404,0.08745627186406797,0.02377422603759871,0.17286603679238466,0.020078821282065507,-0.016609893078166738,0.20010919103388214,0.7998908089661179,,spd,no_impact
as_coded,spd,Latin America,4000,spatial_model_estimated,selected,-0.1643,0.0274,0.1938,-0.1664,climate,climate,FALSE,0.1229802513464991,0.86983842010772,0.00718132854578097,0.0407383317595319,0.20923251444295843,0.004395335172175829,-0.03162747059873028,0.22273871077593588,0.7772612892240641,,spd,no_impact
as_coded,spd,Latin America,4500,no_spatial_terms_selected,no_terms_selected,-0.16590000000000002,0.0157,0.1816,-0.16590000000000002,climate,climate,FALSE,0.07957425240750125,0.9204257475924987,0,0.02117226795077798,0.18704610896322627,0,-0.01088276656057241,0.19733561035343183,0.8026643896465682,,spd,no_impact
as_coded,spd,Latin America,5000,spatial_model_estimated,selected,-0.1544,0.0191,0.1419,-0.12279999999999999,climate,climate,FALSE,0.08138048572645931,0.6046016190881978,0.314017895185343,0.021278728904059463,0.11251704422916231,0.030699741108777046,0.07019153865740746,0.23468705289940628,0.7653129471005937,,spd,no_impact
as_coded,spd,Latin America,5500,no_spatial_terms_selected,no_terms_selected,-0.1464,0.0094,0.1558,-0.1464,climate,climate,FALSE,0.05690072639225182,0.9430992736077483,0,0.011958029104286783,0.15834138493002314,0,-0.005082257918207489,0.16521715611610244,0.8347828438838976,,spd,no_impact
as_coded,spd,Latin America,6000,no_spatial_terms_selected,no_terms_selected,-0.1508,0.0095,0.1603,-0.1508,climate,climate,FALSE,0.05594817432273262,0.9440518256772673,0,0.015132624006980566,0.1659062775160065,0,-0.011218106640723424,0.16982079488226365,0.8301792051177364,,spd,no_impact
as_coded,spd,Latin America,6500,no_spatial_terms_selected,no_terms_selected,-0.1674,-0.0044,0.163,-0.1674,climate,climate,FALSE,0,1,0,-0.004489876908555401,0.16292425551857104,0,2.201087284522396e-4,0.15865448733846788,0.8413455126615321,,spd,no_impact
as_coded,spd,Latin America,7000,no_spatial_terms_selected,no_spatial_signal,-0.1156,0.0064,0.122,-0.1156,climate,climate,FALSE,0.049844236760124616,0.9501557632398755,0,0.002452787395990641,0.11811025291463917,0,0.00783416669031023,0.12839720700094004,0.87160279299906,,spd,no_impact
as_coded,spd,Latin America,7500,spatial_model_estimated,selected,-0.14609999999999998,-3e-4,0.1225,-0.12279999999999999,climate,climate,FALSE,0,0.7227138643067847,0.27728613569321536,0.001938346660397161,0.10134028796790584,0.024298594235356408,0.041604015132822414,0.16918124399648182,0.8308187560035182,,spd,no_impact
as_coded,spd,Latin America,8000,no_spatial_terms_selected,no_spatial_signal,-0.07039999999999999,0.0512,0.1216,-0.07039999999999999,climate,climate,FALSE,0.2962962962962963,0.7037037037037037,0,0.05906996817961807,0.12945287471719635,0,-0.015659701702905426,0.172863141193909,0.827136858806091,,spd,no_impact
as_coded,spd,Latin America,8500,spatial_model_estimated,selected,-0.11770000000000001,0.0098,0.0953,-0.08549999999999999,climate,climate,FALSE,0.05654933641084824,0.5499134448932488,0.3935372186959031,0.015052413002135334,0.06827936279109603,0.03619964545198695,0.05378352545787035,0.17331494670308867,0.8266850532969113,,spd,no_impact
as_coded,spd,Latin America,3500,no_spatial_terms_selected,no_spatial_signal,-0.17809999999999998,0.013,0.1911,-0.17809999999999998,climate,climate,FALSE,0.06369426751592357,0.9363057324840763,0,0.024647738475072845,0.2026991459789922,0,-0.023210753410916052,0.20413613104314898,0.795863868956851,,spd,no_impact
as_coded,spd,Oceania,2000,no_spatial_terms_selected,no_terms_selected,0.014899999999999998,0.0232,0.0083,0.014899999999999998,human,human,FALSE,0.7365079365079364,0.2634920634920635,0,0.008820202112440945,-0.005990722835036433,0,0.028665354589129333,0.031494833866533845,0.9685051661334662,,spd,no_impact
