cohort,aggregation_level,profile,region,climatezone,status__spd,status__spd_events,status__events,adjusted_balance__spd,adjusted_balance__spd_events,adjusted_balance__events,n_records__spd,n_records__spd_events,n_records__events,weight_sum__spd,weight_sum__spd_events,weight_sum__events,ranking__spd,ranking__spd_events,ranking__events,adjusted_balance__spd_events_minus_spd,adjusted_balance__events_minus_spd,n_records__spd_events_minus_spd,n_records__events_minus_spd,weight_sum__spd_events_minus_spd,weight_sum__events_minus_spd,ranking__spd_events_vs_spd_reversal,ranking__events_vs_spd_reversal,estimable__spd,estimable__spd_events,estimable__events,three_way_estimable,estimability_change__spd_events_vs_spd,estimability_change__events_vs_spd
as_coded,region_climatezone,signed,Asia,Temperate_Dry_Winter,selected,selected,no_spatial_signal,-0.027603396825396857,-0.04955265221356956,-0.18,7,8,1,3.15,3.884,0.734,climate,climate,climate,-0.021949255388172703,-0.15239660317460313,1,-6,0.734,-2.416,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Asia,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.22015494258612084,-0.1347831948529048,-0.12813508771929827,8,7,4,4.006,3.2319999999999998,1.539,climate,climate,climate,0.08537174773321604,0.09201985486682257,-1,-4,-0.7740000000000005,-2.4670000000000005,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Arid,selected,selected,no_spatial_signal,-0.2365729819857732,0.0247473869678548,0.041411911231884056,7,3,4,2.682,1.5870000000000002,2.208,climate,human,human,0.261320368953628,0.27798489321765724,-4,-3,-1.0949999999999998,-0.47399999999999975,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Cold_Dry_Summer,selected,selected,NA,-0.2970726464361504,-0.28565740393681294,NA,1,1,NA,0.546,0.546,NA,climate,climate,NA,0.011415242499337452,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,signed,Europe,Cold_Without_dry_season_Cold_Summer,selected,selected,no_spatial_signal,-0.14149980794438655,-0.14962794526427603,-0.11708040860999631,90,80,17,40.589,38.034,8.223,climate,climate,climate,-0.008128137319889484,0.024419399334390232,-10,-73,-2.5549999999999997,-32.366,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.1480462009183938,-0.11175475832922228,0.05579751221393673,140,117,31,62.555,53.734,15.556,climate,climate,human,0.03629144258917151,0.20384371313233052,-23,-109,-8.820999999999998,-46.999,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Polar,selected,selected,no_spatial_signal,-0.16058299421424554,-0.15127392668738313,0.09329577177789102,29,25,4,12.774000000000001,10.841,1.963,climate,climate,human,0.009309067526862419,0.25387876599213655,-4,-25,-1.9330000000000016,-10.811,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Temperate_Dry_Summer,selected,selected,no_spatial_signal,-0.1944302510790568,-0.06308899568234394,0.04280855188141395,14,8,2,5.912,3.255,0.877,climate,climate,human,0.13134125539671285,0.23723880296047073,-6,-12,-2.657,-5.035,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Europe,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.14049896615858148,-0.07125013339196719,-0.04551100585937501,85,65,21,40.778,32.009,10.24,climate,climate,climate,0.0692488327666143,0.09498796029920648,-20,-64,-8.768999999999998,-30.537999999999997,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Arid,selected,selected,NA,-0.11474089845577913,-0.11474089845577913,NA,5,5,NA,2.137,2.137,NA,climate,climate,NA,0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,signed,Latin America,Cold_Dry_Summer,selected,selected,no_spatial_signal,-0.16180083682008367,-0.07268303571428568,0.21599999999999994,2,2,1,0.717,0.784,0.215,climate,climate,human,0.08911780110579799,0.3778008368200836,0,-1,0.06700000000000006,-0.502,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Polar,selected,selected,no_spatial_signal,-0.20237068311195455,-0.19772757224369594,-0.20038123993558773,23,24,7,10.54,10.866,2.484,climate,climate,climate,0.00464311086825861,0.0019894431763668174,1,-16,0.3260000000000005,-8.056,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Temperate_Dry_Summer,selected,selected,no_spatial_signal,-0.23219496835443038,-0.22980196629213478,-0.21334756731223423,8,8,5,3.16,3.2039999999999997,2.117,climate,climate,climate,0.0023930020622955905,0.01884740104219615,0,-3,0.043999999999999595,-1.0430000000000001,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Temperate_Dry_Winter,selected,selected,no_spatial_signal,-0.11446656534954411,-0.08362755632582324,-0.13280000000000003,2,2,1,0.987,1.154,0.375,climate,climate,climate,0.030839009023720873,-0.01833343465045592,0,-1,0.16699999999999993,-0.612,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.1683576405867971,-0.13807406173018405,-0.16154759732360094,15,15,8,6.544,6.901,3.2880000000000003,climate,climate,climate,0.030283578856613064,0.006810043263196175,0,-7,0.3570000000000002,-3.2559999999999993,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,signed,Latin America,Tropical,selected,selected,no_spatial_signal,-0.12774539893617015,-0.08993186138324318,-0.08878577441077444,15,14,9,7.5200000000000005,6.839,3.564,climate,climate,climate,0.037813537552926976,0.03895962452539571,-1,-6,-0.681,-3.9560000000000004,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
