artifact_id,description,analysis_profile,source_pipeline,public_target,path,file_exists,file_hash,file_modified,validation_status
table_events__inclusion_comparison__regional_model_audit,Source table events__inclusion_comparison__regional_model_audit.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__regional_model_audit.csv,TRUE,f596460c56c7dc2d2a87453927d3c58d,2026-08-31 13:00:44.383802,available
table_events__inclusion_comparison__result_predictor_audit,Source table events__inclusion_comparison__result_predictor_audit.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__result_predictor_audit.csv,TRUE,34b57742ea446dc27d94f231dc2db29f,2026-08-31 13:00:43.966024,available
table_events__inclusion_comparison__spatiotemporal_estimates,Source table events__inclusion_comparison__spatiotemporal_estimates.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatiotemporal_estimates.csv,TRUE,9e502e7e6bd97595416359a2de458f8e,2026-08-31 13:00:45.67494,available
table_events__inclusion_comparison__spatiotemporal_matched,Source table events__inclusion_comparison__spatiotemporal_matched.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatiotemporal_matched.csv,TRUE,62a37c328e835e6060c89b922a2d21c8,2026-08-31 13:00:45.697735,available
table_events__inclusion_comparison__spatiotemporal_summary,Source table events__inclusion_comparison__spatiotemporal_summary.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatiotemporal_summary.csv,TRUE,ae93ba420daddb48e3858943410ea88c,2026-08-31 13:00:45.70274,available
table_events__inclusion_comparison__younger_event_only_spatial,Source table events__inclusion_comparison__younger_event_only_spatial.csv,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_evidence_tables,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__younger_event_only_spatial.csv,TRUE,88248160d9d1e65ee33da249790b17ef,2026-08-31 15:31:27.945732,available
figure_1,Sensitivity figure events__inclusion_comparison__spatial_zero_truncated_human_climate_balance.pdf,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatial_zero_truncated_human_climate_balance.pdf,TRUE,66f6f1cf16b0211593af72195adfabbb,2026-08-31 15:36:20.735191,available
figure_2,Sensitivity figure events__inclusion_comparison__spatial_zero_truncated_human_climate_balance.png,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatial_zero_truncated_human_climate_balance.png,TRUE,48e1c396846cd139009c24957b43318f,2026-08-31 15:36:20.348553,available
figure_3,Sensitivity figure events__inclusion_comparison__temporal_zero_truncated_human_share__space_control__all_data.pdf,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share__space_control__all_data.pdf,TRUE,7354ae452c59a16581a3722206091dcd,2026-08-31 20:41:25.036911,available
figure_4,Sensitivity figure events__inclusion_comparison__temporal_zero_truncated_human_share__space_control__all_data.png,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share__space_control__all_data.png,TRUE,453f321e4b51c549c459de6a471ae8a1,2026-08-31 20:41:24.719139,available
figure_5,Sensitivity figure events__inclusion_comparison__temporal_zero_truncated_human_share_change__space_control__all_data.pdf,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share_change__space_control__all_data.pdf,TRUE,58c761fd434bfe4cf92233c3907dbd35,2026-08-31 20:41:25.496994,available
figure_6,Sensitivity figure events__inclusion_comparison__temporal_zero_truncated_human_share_change__space_control__all_data.png,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,files_human_event_sensitivity_figures,D:/GITHUB/PastHumanImpact/PastHumanImpact/Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share_change__space_control__all_data.png,TRUE,da7efd310e4f2ecae86ab0433d39564c,2026-08-31 20:41:25.307981,available
