radius_km,c14_file,c14_file_md5,metadata_file,metadata_file_md5,configuration_hash,products_hash,r_version,rcarbon_version,runner
250,data_rc_2022-11-29.rds,ea6de40566d021c8d5f51994755f319f,data_meta_2024-06-05.rds,2d9b247bf062cd1bd6993c324e1c58be,9b31911591effd6b1368161236b63760,2a0ce86f6680bea5346a74b184bc8b58,R version 4.5.1 (2025-06-13 ucrt),1.5.2,R/analyses/01_data_preparation/00_run.R
500,data_rc_2022-11-29.rds,ea6de40566d021c8d5f51994755f319f,data_meta_2024-06-05.rds,2d9b247bf062cd1bd6993c324e1c58be,9b31911591effd6b1368161236b63760,bc41fa783476f1ea1ed82b9761900fd8,R version 4.5.1 (2025-06-13 ucrt),1.5.2,R/analyses/01_data_preparation/00_run.R
