predictor,n_datasets,n_with_complete_pairs,median_baseline,median_reduced,median_delta_ratio,q95_abs_delta_ratio
climate,1262,1156,0.7899225726878026,0.7881936354403005,-3.890677890971972e-9,0.26613529231170663
human,1262,1156,0.21007742731219742,0.21180636455969942,3.8906778959753955e-9,0.26613529231170646
