region,climate_zone,filter_out,truncated,total_variance,human_predictor_unique,human_predictor_avg_share,human_predictor_total,climate_predictor_unique,climate_predictor_avg_share,climate_predictor_total,time_predictor_unique,time_predictor_avg_share,time_predictor_total,human_predictor_unique_percent,human_predictor_avg_share_percent,human_predictor_total_percent,climate_predictor_unique_percent,climate_predictor_avg_share_percent,climate_predictor_total_percent,time_predictor_unique_percent,time_predictor_avg_share_percent,time_predictor_total_percent
Latin America,Temperate_Without_dry_season,FALSE,FALSE,0.391,0.0553,0.0382,0.0935,0.1751,0.0713,0.2464,0,0.0786,0.0507,14.143222506393863,9.769820971867006,23.913043478260867,44.78260869565218,18.235294117647058,63.01790281329923,0,20.10230179028133,12.966751918158566
Latin America,Tropical,FALSE,FALSE,0.335,0.0033,0.008299999999999998,0.0116,0.3111,0,0.26,0.1016,0,0.0634,0.9850746268656716,2.4776119402985066,3.4626865671641784,92.86567164179104,0,77.61194029850746,30.32835820895522,0,18.925373134328357
North America,Arid,FALSE,FALSE,0.25,0.0285,0,0.0113,0.2489,0,0.1712,0.1122,0,0.0677,11.4,0,4.52,99.56,0,68.47999999999999,44.879999999999995,0,27.08
North America,Cold_Dry_Summer,FALSE,FALSE,0.047,0,0.0098,0.0028,0.0253,0.011899999999999997,0.0372,0,0.0209,0.0073,0,20.851063829787233,5.957446808510639,53.82978723404255,25.319148936170205,79.14893617021276,0,44.46808510638298,15.53191489361702
North America,Cold_Without_dry_season_Cold_Summer,FALSE,FALSE,0.274,0.0083,0.0326,0.0409,0,0.1385,0.1207,0.0071,0.10490000000000001,0.112,3.0291970802919703,11.8978102189781,14.92700729927007,0,50.54744525547446,44.051094890510946,2.591240875912409,38.284671532846716,40.87591240875913
North America,Cold_Without_dry_season_Hot_Summer,FALSE,FALSE,0.16,0.0142,0.0079,0.0221,0.1398,0,0.1192,0,0.0243,0.0185,8.875000000000002,4.9375,13.8125,87.375,0,74.5,0,15.187499999999998,11.5625
North America,Cold_Without_dry_season_Warm_Summer,FALSE,FALSE,0.36,0.1308,0,0.1146,0.1324,0.053800000000000014,0.1862,0.0026,0.056100000000000004,0.0587,36.333333333333336,0,31.83333333333333,36.77777777777778,14.94444444444445,51.72222222222223,0.7222222222222222,15.583333333333336,16.305555555555557
North America,Polar,FALSE,TRUE,0.005,0,0.0283,0,0,0.0503,0.0092,0,0.036699999999999997,0.0048,0,565.9999999999999,0,0,1005.9999999999999,184,0,733.9999999999999,95.99999999999999
North America,Temperate_Dry_Summer,FALSE,TRUE,0.048,0,0.0448,0.0134,0,0.06129999999999999,0.0081,0,0.0397,0.027,0,93.33333333333333,27.916666666666668,0,127.70833333333331,16.875,0,82.70833333333333,56.25
North America,Temperate_Without_dry_season,FALSE,FALSE,0.22,0.0416,0.045700000000000005,0.0873,0,0.0597,0.0567,0.0234,0.0523,0.0757,18.90909090909091,20.772727272727277,39.68181818181819,0,27.136363636363637,25.772727272727273,10.636363636363637,23.772727272727273,34.409090909090914
North America,Tropical,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Arid,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Cold_Without_dry_season_Cold_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Cold_Without_dry_season_Warm_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Polar,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Temperate_Dry_Summer,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Temperate_Dry_Winter,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceania,Temperate_Without_dry_season,FALSE,FALSE,0.424,0.0109,0.0401,0.051,0.132,0.15710000000000002,0.2891,0,0.0935,0.0843,2.5707547169811322,9.45754716981132,12.028301886792454,31.132075471698116,37.051886792452834,68.18396226415095,0,22.05188679245283,19.882075471698112
Oceania,Tropical,FALSE,FALSE,0.423,0.0057,0.0597,0.0654,0.1915,0.04319999999999999,0.2347,0.1793,0,0.123,1.3475177304964538,14.113475177304965,15.460992907801419,45.27186761229315,10.212765957446807,55.48463356973995,42.38770685579196,0,29.078014184397166
