region,climate_zone,long,lat,dataset_id,filter_out,total_variance,human_predictor_unique,human_predictor_avg_share,human_predictor_total,climate_predictor_unique,climate_predictor_avg_share,climate_predictor_total,time_predictor_unique,time_predictor_avg_share,time_predictor_total,human_predictor_unique_percent,human_predictor_avg_share_percent,human_predictor_total_percent,climate_predictor_unique_percent,climate_predictor_avg_share_percent,climate_predictor_total_percent,time_predictor_unique_percent,time_predictor_avg_share_percent,time_predictor_total_percent
Asia,Cold_Without_dry_season_Very_Cold_Summer,129.37787500000002,61.976835,3975,FALSE,0.406,0,0,0,0.2387,0.08130000000000001,0.32,0.0048,0.0814,0.0862,0,0,0,58.79310344827585,20.024630541871925,78.81773399014777,1.1822660098522164,20.04926108374384,21.231527093596057
Asia,Cold_Without_dry_season_Very_Cold_Summer,125.03694,65.03944,41252,FALSE,0.633,0,0,0,0.2356,0.14009999999999997,0.3757,0.1171,0.1402,0.2573,0,0,0,37.21958925750395,22.13270142180094,59.3522906793049,18.499210110584517,22.148499210110582,40.6477093206951
Asia,Cold_Without_dry_season_Very_Cold_Summer,141.116667,64.766667,cao_116,FALSE,0.627,0,0,0,0.2398,0.048099999999999976,0.2879,0.2906,0.04799999999999999,0.3386,0,0,0,38.24561403508772,7.671451355661878,45.9170653907496,46.34768740031898,7.655502392344496,54.00318979266348
Asia,Cold_Without_dry_season_Warm_Summer,70.22,53.03,1439,FALSE,0.344,0,0,0,0.1103,0.0732,0.1835,0.0871,0.07329999999999999,0.1604,0,0,0,32.06395348837209,21.279069767441865,53.34302325581396,25.319767441860463,21.30813953488372,46.627906976744185
Asia,Cold_Without_dry_season_Warm_Summer,81,55,1444,FALSE,0.353,0,0.0669,0.0449,0.0125,0.1679,0.1804,0,0.1391,0.1274,0,18.951841359773372,12.719546742209634,3.5410764872521248,47.563739376770535,51.10481586402267,0,39.405099150141645,36.09065155807366
Asia,Cold_Without_dry_season_Warm_Summer,140.9,40.6166666666667,15709,FALSE,0.468,0.0142,0.0379,0.0521,0.0217,0.2024,0.2241,0,0.2006,0.1918,3.034188034188034,8.098290598290598,11.132478632478632,4.636752136752137,43.24786324786324,47.88461538461538,0,42.863247863247864,40.98290598290598
Asia,Cold_Without_dry_season_Warm_Summer,140.20766500000002,37.729695,15720,FALSE,0.228,0.1137,0.04350000000000001,0.1572,0,0.164,0.0111,0,0.1908,0.0592,49.868421052631575,19.078947368421055,68.94736842105263,0,71.9298245614035,4.868421052631579,0,83.68421052631578,25.964912280701753
Asia,Cold_Without_dry_season_Warm_Summer,134.56667,43.25,1843,FALSE,0.481,0.0847,0,0.0515,0.2207,0.07529999999999998,0.296,0.0399,0.0935,0.1334,17.60914760914761,0,10.706860706860706,45.88357588357589,15.65488565488565,61.53846153846154,8.295218295218296,19.43866943866944,27.733887733887734
Asia,Cold_Without_dry_season_Warm_Summer,134.566667,43.25,1844,FALSE,0.551,0.0768,0.0581,0.1349,0.0558,0.1552,0.211,0.0558,0.14950000000000002,0.2053,13.93829401088929,10.544464609800363,24.48275862068965,10.127041742286751,28.166969147005442,38.29401088929219,10.127041742286751,27.13248638838476,37.259528130671505
Asia,Cold_Without_dry_season_Warm_Summer,42.4969444444444,41.6838888888889,22330,FALSE,0.141,0,0.0133,0.0061,0,0.06359999999999999,0.0447,0.04,0.050499999999999996,0.0905,0,9.432624113475176,4.326241134751774,0,45.1063829787234,31.70212765957447,28.368794326241137,35.815602836879435,64.18439716312058
Asia,Cold_Without_dry_season_Warm_Summer,132.783333,42.833333,2643,TRUE,0.067,0.0172,0.0046,0.0218,0,0.09830000000000001,0,0.0147,0.0391,0.0538,25.671641791044774,6.865671641791045,32.537313432835816,0,146.71641791044777,0,21.940298507462686,58.35820895522388,80.29850746268656
Asia,Cold_Without_dry_season_Warm_Summer,41.039722,55.118056,46462,FALSE,0.419,0.0059,0.0784,0.0843,0.0126,0.12140000000000001,0.134,0.1055,0.09550000000000002,0.201,1.4081145584725536,18.711217183770884,20.11933174224344,3.0071599045346065,28.973747016706447,31.980906921241054,25.178997613365155,22.792362768496425,47.97136038186158
Asia,Cold_Without_dry_season_Warm_Summer,38.5838,53.66192,46466,FALSE,0.248,0.2372,0,0.0807,0.1991,0,0.0872,0.0617,0.018499999999999996,0.0802,95.64516129032258,0,32.54032258064516,80.28225806451613,0,35.16129032258065,24.879032258064516,7.459677419354838,32.33870967741935
Asia,Cold_Without_dry_season_Warm_Summer,35.77489,53.21161,46473,TRUE,0.443,0,0,0,0.17,0,0.1003,0.514,0,0.399,0,0,0,38.37471783295711,0,22.641083521444692,116.02708803611739,0,90.06772009029346
Asia,Cold_Without_dry_season_Warm_Summer,36.2525,53.834722,46479,FALSE,0.343,0,0.0403,0.0186,0.1109,0.08629999999999999,0.1972,0.0581,0.06949999999999999,0.1276,0,11.74927113702624,5.42274052478134,32.33236151603498,25.160349854227398,57.492711370262384,16.938775510204078,20.26239067055393,37.20116618075801
Asia,Cold_Without_dry_season_Warm_Summer,36.416667,55.166667,46483,FALSE,0.398,0,0.0428,0.007,0.0107,0.0887,0.0994,0.2235,0.0683,0.2918,0,10.753768844221105,1.7587939698492463,2.688442211055276,22.286432160804022,24.974874371859297,56.15577889447236,17.1608040201005,73.31658291457286
Asia,Cold_Without_dry_season_Warm_Summer,37.333333,56.066667,46485,FALSE,0.438,0,0.04,0.017,0.1057,0.13219999999999998,0.2379,0.0617,0.12140000000000001,0.1831,0,9.1324200913242,3.881278538812786,24.132420091324203,30.18264840182648,54.31506849315069,14.086757990867579,27.71689497716895,41.80365296803653
Asia,Cold_Without_dry_season_Warm_Summer,83.333333,55,876,FALSE,0.377,0,0.0115,0.0087,0.0682,0.14440000000000003,0.2126,0.008,0.1478,0.1558,0,3.050397877984085,2.3076923076923075,18.090185676392572,38.302387267904514,56.39257294429708,2.122015915119363,39.204244031830235,41.3262599469496
Asia,Cold_Without_dry_season_Warm_Summer,81.09,44.34,PVT_Sayram_Lake,FALSE,0.306,0.0568,0.0238,0.0806,0.1152,0.0723,0.1875,0.0388,0,0.0382,18.562091503267975,7.777777777777778,26.339869281045754,37.64705882352941,23.627450980392158,61.274509803921575,12.679738562091503,0,12.483660130718954
Asia,Cold_Without_dry_season_Warm_Summer,51.84166667,53.025,cao_101,FALSE,0.516,0.1012,0,0.0142,0.3592,0.012399999999999967,0.3716,0.059,0.07170000000000001,0.1307,19.612403100775193,0,2.751937984496124,69.6124031007752,2.4031007751937916,72.01550387596899,11.434108527131782,13.895348837209303,25.329457364341085
Asia,Cold_Without_dry_season_Warm_Summer,57.883333,56.316667,cao_158,FALSE,0.215,0,0.0327,0.0069,0.1059,0.0703,0.1762,0,0.0457,0.0322,0,15.209302325581394,3.2093023255813953,49.25581395348837,32.69767441860465,81.95348837209302,0,21.25581395348837,14.976744186046512
Asia,Cold_Without_dry_season_Warm_Summer,60.75,56.766667,cao_51,TRUE,0.064,0,0.043,0,0,0.12689999999999999,0,0.1579,0.06709999999999999,0.225,0,67.18749999999999,0,0,198.28124999999997,0,246.71875,104.84374999999999,351.5625
Asia,Polar,78,33.1667,PANGAEA.717128,TRUE,0.083,0,0,0,0,0.0813,0.0136,0,0.0813,0.0691,0,0,0,0,97.95180722891565,16.385542168674696,0,97.95180722891565,83.25301204819276
Asia,Polar,89.63,50.25,PVT_Akkol_Lake,FALSE,0.25,0,0.024300000000000002,0,0,0.1618,0.0881,0.0145,0.14889999999999998,0.1634,0,9.72,0,0,64.72,35.24,5.800000000000001,59.55999999999999,65.36
