sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,baseline_balance,absolute_deviation
baseline,NA,NA,NA,region_climatezone,signed,-2.968421052631579,1,1,0.019,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-2.968421052631579,0
baseline,NA,NA,NA,region_climatezone,signed,0.42716049382716054,1,1,0.162,Oceania,Cold_Without_dry_season_Warm_Summer,human,0.42716049382716054,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6820143884892086,1,1,0.139,Oceania,Temperate_Dry_Summer,climate,-0.6820143884892086,0
baseline,NA,NA,NA,region_climatezone,signed,-0.31022727272727274,1,1,0.264,Oceania,Temperate_Dry_Winter,climate,-0.31022727272727274,0
baseline,NA,NA,NA,region_climatezone,signed,-0.3824903066619669,26,1,11.348,Oceania,Temperate_Without_dry_season,climate,-0.3824903066619669,0
baseline,NA,NA,NA,region_climatezone,signed,-0.34243818286371475,4,1,1.7389999999999999,Oceania,Tropical,climate,-0.34243818286371475,0
baseline,NA,NA,NA,overall,zero_truncated,-0.5124720067291967,1118,39,416.2161,All,All,climate,-0.5124720067291967,0
baseline,NA,NA,NA,region,zero_truncated,-0.6912613828177492,98,10,36.6122,Asia,All,climate,-0.6912613828177492,0
baseline,NA,NA,NA,region,zero_truncated,-0.5570673848516587,381,7,134.5243,Europe,All,climate,-0.5570673848516587,0
baseline,NA,NA,NA,region,zero_truncated,-0.5415668934998014,71,7,26.9361,Latin America,All,climate,-0.5415668934998014,0
baseline,NA,NA,NA,region,zero_truncated,-0.45752601614291005,533,8,203.8542,North America,All,climate,-0.45752601614291005,0
baseline,NA,NA,NA,region,zero_truncated,-0.36356574499800554,35,7,14.289299999999999,Oceania,All,climate,-0.36356574499800554,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.5570161025303976,19,1,6.086,Asia,Arid,climate,-0.5570161025303976,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-1,4,1,1.4558,Asia,Cold_Dry_Summer,climate,-1,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.7403908278577612,21,1,8.2031,Asia,Cold_Dry_Winter,climate,-0.7403908278577612,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.8109825987287694,9,1,3.8388,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8109825987287694,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,0.009276437847866362,1,1,0.21560000000000001,Asia,Cold_Without_dry_season_Hot_Summer,human,0.009276437847866362,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.7848278656693738,16,1,5.9227,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7848278656693738,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6312894213876328,10,1,3.4721,Asia,Polar,climate,-0.6312894213876328,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.9209767154337524,5,1,1.9412,Asia,Temperate_Dry_Summer,climate,-0.9209767154337524,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,0.007591504744690476,6,1,2.213,Asia,Temperate_Dry_Winter,human,0.007591504744690476,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.8170899843745213,7,1,3.2639,Asia,Temperate_Without_dry_season,climate,-0.8170899843745213,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.9838213881248988,7,1,2.4724,Europe,Arid,climate,-0.9838213881248988,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6401194940570774,3,1,1.5733000000000001,Europe,Cold_Dry_Summer,climate,-0.6401194940570774,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6171081785201237,92,1,32.8568,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.6171081785201237,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6210554945342329,144,1,47.7975,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.6210554945342329,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.663897788468093,30,1,10.2689,Europe,Polar,climate,-0.663897788468093,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6694046988164635,14,1,4.5288,Europe,Temperate_Dry_Summer,climate,-0.6694046988164635,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.3337292229334277,91,1,35.0266,Europe,Temperate_Without_dry_season,climate,-0.3337292229334277,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.42961165048543687,5,1,1.4832,Latin America,Arid,climate,-0.42961165048543687,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.8991546789262939,2,1,0.6743,Latin America,Cold_Dry_Summer,climate,-0.8991546789262939,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6210712323158315,22,1,9.280899999999999,Latin America,Polar,climate,-0.6210712323158315,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.8561358414144956,8,1,2.5677,Latin America,Temperate_Dry_Summer,climate,-0.8561358414144956,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.47918061320123173,2,1,0.7469,Latin America,Temperate_Dry_Winter,climate,-0.47918061320123173,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.4435307588216925,17,1,5.7642,Latin America,Temperate_Without_dry_season,climate,-0.4435307588216925,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.38438050133200397,15,1,6.4189,Latin America,Tropical,climate,-0.38438050133200397,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.27049545535555164,16,1,4.4887999999999995,North America,Arid,climate,-0.27049545535555164,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.39664950443308206,46,1,16.8393,North America,Cold_Dry_Summer,climate,-0.39664950443308206,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.5846148555971161,135,1,52.3466,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.5846148555971161,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.4288192331101643,53,1,19.716,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.4288192331101643,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.40324746733790584,194,1,80.5674,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.40324746733790584,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.7125939819745354,35,1,12.5822,North America,Polar,climate,-0.7125939819745354,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.4251882789416391,16,1,4.5013,North America,Temperate_Dry_Summer,climate,-0.4251882789416391,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.23019527652467106,38,1,12.8126,North America,Temperate_Without_dry_season,climate,-0.23019527652467106,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.5152041702867072,1,1,0.3453,Oceania,Arid,climate,-0.5152041702867072,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-1,1,1,0.0375,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-1,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,0.4282178217821783,1,1,0.1616,Oceania,Cold_Without_dry_season_Warm_Summer,human,0.4282178217821783,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.6839826839826839,1,1,0.1386,Oceania,Temperate_Dry_Summer,climate,-0.6839826839826839,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.3098751418842225,1,1,0.2643,Oceania,Temperate_Dry_Winter,climate,-0.3098751418842225,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.37249783923941227,26,1,11.57,Oceania,Temperate_Without_dry_season,climate,-0.37249783923941227,0
baseline,NA,NA,NA,region_climatezone,zero_truncated,-0.31738148984198644,4,1,1.772,Oceania,Tropical,climate,-0.31738148984198644,0
thinning,NA,250,1,overall,signed,-0.5513880284172061,746,38,269.555,All,All,climate,-0.5285855289613305,0.022802499455875647
thinning,NA,250,1,region,signed,-0.7184562083443436,93,10,34.059,Asia,All,climate,-0.7139507847316411,0.004505423612702564
thinning,NA,250,1,region,signed,-0.6058777256417334,209,7,72.46,Europe,All,climate,-0.5782751009177085,0.02760262472402486
thinning,NA,250,1,region,signed,-0.5881839843417581,64,7,23.502,Latin America,All,climate,-0.5761872224120259,0.011996761929732203
thinning,NA,250,1,region,signed,-0.4819519311986486,356,8,130.23,North America,All,climate,-0.4670971615124708,0.014854769686177771
thinning,NA,250,1,region,signed,-0.39440025795356837,24,6,9.304,Oceania,All,climate,-0.37655536529680367,0.0178448926567647
thinning,NA,250,1,region_climatezone,signed,-0.5800100033344447,19,1,5.998,Asia,Arid,climate,-0.5800100033344447,0
thinning,NA,250,1,region_climatezone,signed,-1.126734842951059,4,1,1.369,Asia,Cold_Dry_Summer,climate,-1.126734842951059,0
thinning,NA,250,1,region_climatezone,signed,-0.7784226385431678,20,1,7.633,Asia,Cold_Dry_Winter,climate,-0.7646891607959462,0.013733477747221667
thinning,NA,250,1,region_climatezone,signed,-0.797659906396256,8,1,3.205,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8277339642481598,0.030074057851903868
