dataset_id,analysis,fraction,adjusted_r_squared
2395,spatial_spd,pure_time,0.10963257915205671
2395,spatial_spd,shared,0.41378244907877415
2395,spatial_spd,total_explained,0.3286901445849487
2395,spatial_spd,unexplained,0.6713098554150513
45347,spatial_spd,pure_human,0.014409685231431046
45347,spatial_spd,pure_climate,0.09655650625216905
45347,spatial_spd,pure_time,-0.0021813139622812727
45347,spatial_spd,shared,0.41725764441207047
45347,spatial_spd,total_explained,0.5260425219333893
45347,spatial_spd,unexplained,0.4739574780666107
15922,spatial_spd,pure_human,-0.03699569238500222
15922,spatial_spd,pure_climate,0.18844356320897193
15922,spatial_spd,pure_time,0.016641059438009198
15922,spatial_spd,shared,0.399531705983753
15922,spatial_spd,total_explained,0.5676206362457319
15922,spatial_spd,unexplained,0.4323793637542681
1010,spatial_spd,pure_human,-0.0677761748273521
1010,spatial_spd,pure_climate,-0.12144135369279496
1010,spatial_spd,pure_time,0.02506948916304741
1010,spatial_spd,shared,0.5364915931626159
1010,spatial_spd,total_explained,0.3723435538055162
1010,spatial_spd,unexplained,0.6276564461944838
4542,spatial_spd,pure_human,-0.02275481714412364
4542,spatial_spd,pure_climate,0.4205421998028519
4542,spatial_spd,pure_time,0.11197279853952213
4542,spatial_spd,shared,0.11412086599503624
4542,spatial_spd,total_explained,0.6238810471932866
4542,spatial_spd,unexplained,0.37611895280671337
14944,spatial_spd,pure_human,0.3427930504568255
14944,spatial_spd,pure_climate,0.02140708472887709
14944,spatial_spd,pure_time,0.00897943097863374
14944,spatial_spd,shared,0.24152008153020932
14944,spatial_spd,total_explained,0.6146996476945457
14944,spatial_spd,unexplained,0.38530035230545434
17402,spatial_spd,pure_human,0.1318673325008206
17402,spatial_spd,pure_climate,0.04773252055568866
17402,spatial_spd,pure_time,0.06389505155601838
17402,spatial_spd,shared,0.06778143962775751
17402,spatial_spd,total_explained,0.31127634424028516
17402,spatial_spd,unexplained,0.6887236557597148
234,spatial_spd,pure_human,0.0244376433177248
234,spatial_spd,pure_climate,0.2280330626885294
234,spatial_spd,pure_time,0.13393119859182157
234,spatial_spd,shared,0.17397609993256524
234,spatial_spd,total_explained,0.560378004530641
234,spatial_spd,unexplained,0.439621995469359
16081,spatial_spd,pure_human,-0.08114488757216753
16081,spatial_spd,pure_climate,0.08205415505500313
16081,spatial_spd,pure_time,-0.021309342355818828
16081,spatial_spd,shared,0.29441377054612583
16081,spatial_spd,total_explained,0.2740136956731426
16081,spatial_spd,unexplained,0.7259863043268574
41421,spatial_spd,pure_human,0.05059926938046655
41421,spatial_spd,pure_climate,0.40520738929069255
41421,spatial_spd,pure_time,0.11654174768970926
41421,spatial_spd,shared,-0.08363139036584832
41421,spatial_spd,total_explained,0.48871701599502004
41421,spatial_spd,unexplained,0.51128298400498
1451,spatial_spd,pure_human,0.028054543634677187
1451,spatial_spd,pure_climate,-0.04249061222211237
1451,spatial_spd,pure_time,0.020915243094335234
1451,spatial_spd,shared,0.37238142525406925
1451,spatial_spd,total_explained,0.3788605997609693
1451,spatial_spd,unexplained,0.6211394002390307
785,spatial_spd,pure_human,-0.024829353437919588
785,spatial_spd,pure_climate,0.03073617993674449
785,spatial_spd,pure_time,-0.011932407696230385
785,spatial_spd,shared,0.6250183081340264
