analysis,region,age,spatial_group,n_records,n_unique_locations,n_colocated_records,n_positive_mem,threshold_km,warning_message,status
temporal_events,Asia,2000,all,174,171,5,42,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,2500,all,171,168,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,3000,all,174,171,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,3500,all,172,170,4,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,4000,all,174,171,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,4500,all,171,168,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,5000,all,174,171,5,40,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,5500,all,173,170,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,6000,all,175,172,5,41,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,6500,all,163,161,4,39,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,7000,all,160,158,4,38,2386.4103701983595,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,7500,all,153,152,2,36,2386.4103701983595,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,8000,all,150,148,4,37,2386.4103701983595,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,8500,all,138,136,4,32,2386.4103701983595,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,1000,all,156,154,4,35,2307.7441142648972,Non euclidean distance | neighbour object has 2 sub-graphs,eligible
temporal_events,Asia,500,all,110,110,0,25,2307.7441142648972,Non euclidean distance,eligible
