sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,unthinned_balance,absolute_deviation
unthinned,NA,NA,NA,region_climatezone,signed,-0.2920142568153357,22,1,10.381,Oceania,Temperate_Without_dry_season,climate,-0.2920142568153357,0
unthinned,NA,NA,NA,region_climatezone,signed,-0.2593905817174515,4,1,1.8050000000000002,Oceania,Tropical,climate,-0.2593905817174515,0
unthinned,NA,NA,NA,overall,zero_truncated,-0.4767035948531674,1098,39,281.2215,All,All,climate,-0.4767035948531674,0
unthinned,NA,NA,NA,region,zero_truncated,-0.6007264841916491,94,10,21.8587,Asia,All,climate,-0.6007264841916491,0
unthinned,NA,NA,NA,region,zero_truncated,-0.5205549299021911,366,7,90.2168,Europe,All,climate,-0.5205549299021911,0
unthinned,NA,NA,NA,region,zero_truncated,-0.540289631976551,70,7,18.9689,Latin America,All,climate,-0.540289631976551,0
unthinned,NA,NA,NA,region,zero_truncated,-0.42431683537940396,536,8,141.4337,North America,All,climate,-0.42431683537940396,0
unthinned,NA,NA,NA,region,zero_truncated,-0.42363382665782195,32,7,8.7434,Oceania,All,climate,-0.42363382665782195,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5609479064484485,18,1,3.8738,Asia,Arid,climate,-0.5609479064484485,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-1,4,1,0.9088999999999999,Asia,Cold_Dry_Summer,climate,-1,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.6212127798304716,21,1,4.601,Asia,Cold_Dry_Winter,climate,-0.6212127798304716,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.8063029121049599,8,1,2.2561,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8063029121049599,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,0.2971830985915493,1,1,0.14200000000000002,Asia,Cold_Without_dry_season_Hot_Summer,human,0.2971830985915493,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.7443992213767475,13,1,2.8255,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7443992213767475,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5398557258791704,10,1,2.218,Asia,Polar,climate,-0.5398557258791704,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.7178378378378378,4,1,0.74,Asia,Temperate_Dry_Summer,climate,-0.7178378378378378,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.07145414556800161,7,1,1.9551,Asia,Temperate_Dry_Winter,climate,-0.07145414556800161,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.6169011675148613,8,1,2.3383,Asia,Temperate_Without_dry_season,climate,-0.6169011675148613,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.9195247860830209,7,1,1.4141000000000001,Europe,Arid,climate,-0.9195247860830209,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-1,1,1,0.2842,Europe,Cold_Dry_Summer,climate,-1,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5773569313408167,90,1,21.7815,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.5773569313408167,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.558407071598112,140,1,32.9883,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.558407071598112,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5515808153925186,29,1,6.4239,Europe,Polar,climate,-0.5515808153925186,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5984064769003405,14,1,3.1126,Europe,Temperate_Dry_Summer,climate,-0.5984064769003405,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.3707139376017049,85,1,24.2122,Europe,Temperate_Without_dry_season,climate,-0.3707139376017049,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.33869616222557397,5,1,1.1934,Latin America,Arid,climate,-0.33869616222557397,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.6697892271662763,2,1,0.3416,Latin America,Cold_Dry_Summer,climate,-0.6697892271662763,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.6065492433639297,23,1,6.8527,Latin America,Polar,climate,-0.6065492433639297,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.8191655394860056,8,1,1.9222000000000001,Latin America,Temperate_Dry_Summer,climate,-0.8191655394860056,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.3694807488519958,2,1,0.5662,Latin America,Temperate_Dry_Winter,climate,-0.3694807488519958,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.6112840246731934,15,1,3.5342,Latin America,Temperate_Without_dry_season,climate,-0.6112840246731934,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.3323388759706927,15,1,4.5586,Latin America,Tropical,climate,-0.3323388759706927,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.2069857262804366,17,1,2.9775,North America,Arid,climate,-0.2069857262804366,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.33555022950181745,49,1,11.3071,North America,Cold_Dry_Summer,climate,-0.33555022950181745,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5480167937244503,136,1,36.204,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.5480167937244503,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.41807790961045194,52,1,13.3334,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.41807790961045194,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.375860025439408,190,1,55.3472,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.375860025439408,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.7392123018986348,36,1,8.9222,North America,Polar,climate,-0.7392123018986348,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.0406641407437797,17,1,4.1437,North America,Temperate_Dry_Summer,climate,-0.0406641407437797,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.2849129215315374,39,1,9.1986,North America,Temperate_Without_dry_season,climate,-0.2849129215315374,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.41405932547744817,1,1,0.24609999999999999,Oceania,Arid,climate,-0.41405932547744817,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.7595307917888563,1,1,0.0341,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-0.7595307917888563,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.07461459403905447,2,1,0.48649999999999993,Oceania,Cold_Without_dry_season_Warm_Summer,climate,-0.07461459403905447,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.7936726272352133,1,1,0.14539999999999997,Oceania,Temperate_Dry_Summer,climate,-0.7936726272352133,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.02277904328018225,1,1,0.1756,Oceania,Temperate_Dry_Winter,climate,-0.02277904328018225,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.4390901106099177,22,1,6.7173,Oceania,Temperate_Without_dry_season,climate,-0.4390901106099177,0
unthinned,NA,NA,NA,region_climatezone,zero_truncated,-0.5019181585677749,4,1,0.9384,Oceania,Tropical,climate,-0.5019181585677749,0
thinning,NA,250,1,overall,signed,-0.29599981635490724,361,39,152.468,All,All,climate,-0.2831586544625833,0.012841161892323927
thinning,NA,250,1,region,signed,-0.3824917326199235,67,10,26.913,Asia,All,climate,-0.36401346480067853,0.018478267819244942
thinning,NA,250,1,region,signed,-0.33564988519908157,80,7,35.714,Europe,All,climate,-0.2917575194770737,0.04389236572200789
thinning,NA,250,1,region,signed,-0.30554577464788735,36,7,15.904,Latin America,All,climate,-0.33702578705900965,0.031480012411122305
thinning,NA,250,1,region,signed,-0.25093346661570576,164,8,68.026,North America,All,climate,-0.25809641479910733,0.007162948183401574
thinning,NA,250,1,region,signed,-0.15559127051260363,14,7,5.9110000000000005,Oceania,All,climate,-0.26128185648180124,0.10569058596919761
thinning,NA,250,1,region_climatezone,signed,-0.35183142969673104,15,1,5.078,Asia,Arid,climate,-0.3649708360337006,0.013139406336969583
thinning,NA,250,1,region_climatezone,signed,-0.5931665649786455,4,1,1.639,Asia,Cold_Dry_Summer,climate,-0.5931665649786455,0
thinning,NA,250,1,region_climatezone,signed,-0.3899812928705051,12,1,4.811,Asia,Cold_Dry_Winter,climate,-0.3860237682594702,0.003957524611034879
thinning,NA,250,1,region_climatezone,signed,-0.4913669064748202,6,1,3.0580000000000003,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.5073347662547018,0.015967859779881577
thinning,NA,250,1,region_climatezone,signed,0.16045627376425856,1,1,0.263,Asia,Cold_Without_dry_season_Hot_Summer,human,0.16045627376425856,0
thinning,NA,250,1,region_climatezone,signed,-0.4677354203483969,10,1,3.961,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.41254848719937937,0.055186933149017514
thinning,NA,250,1,region_climatezone,signed,-0.27372294372294376,6,1,2.31,Asia,Polar,climate,-0.3160415610745058,0.04231861735156206
thinning,NA,250,1,region_climatezone,signed,-0.3458020050125313,4,1,1.596,Asia,Temperate_Dry_Summer,climate,-0.3458020050125313,0
thinning,NA,250,1,region_climatezone,signed,-0.14210943695479775,5,1,2.5220000000000002,Asia,Temperate_Dry_Winter,climate,-0.044285714285714275,0.09782372266908347
thinning,NA,250,1,region_climatezone,signed,-0.4795820895522388,4,1,1.675,Asia,Temperate_Without_dry_season,climate,-0.3691213180229655,0.1104607715292733
thinning,NA,250,1,region_climatezone,signed,-0.4924485125858124,4,1,1.311,Europe,Arid,climate,-0.5403057419835944,0.047857229397781975
thinning,NA,250,1,region_climatezone,signed,-0.5421245421245421,1,1,0.546,Europe,Cold_Dry_Summer,climate,-0.5421245421245421,0
thinning,NA,250,1,region_climatezone,signed,-0.3963433326034596,21,1,9.134,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.3158885412303826,0.08045479137307698
thinning,NA,250,1,region_climatezone,signed,-0.2306939214631522,21,1,9.295,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.30475901206937894,0.07406509060622674
thinning,NA,250,1,region_climatezone,signed,-0.35059049711617685,8,1,3.641,Europe,Polar,climate,-0.2810317833098481,0.06955871380632872
thinning,NA,250,1,region_climatezone,signed,-0.43717352415026833,6,1,2.795,Europe,Temperate_Dry_Summer,climate,-0.3462449255751015,0.09092859857516683
thinning,NA,250,1,region_climatezone,signed,-0.3094862099644128,19,1,8.992,Europe,Temperate_Without_dry_season,climate,-0.2235543675511305,0.08593184241328228
thinning,NA,250,1,region_climatezone,signed,-0.2733866011063307,4,1,1.627,Latin America,Arid,climate,-0.20252690687880207,0.07085969422752861
thinning,NA,250,1,region_climatezone,signed,-0.31910739191073917,2,1,0.717,Latin America,Cold_Dry_Summer,climate,-0.31910739191073917,0
thinning,NA,250,1,region_climatezone,signed,-0.41234701223902087,8,1,2.778,Latin America,Polar,climate,-0.4060151802656547,0.006331831973366175
thinning,NA,250,1,region_climatezone,signed,-0.6304845814977974,3,1,1.135,Latin America,Temperate_Dry_Summer,climate,-0.5460759493670886,0.08440863213070882
thinning,NA,250,1,region_climatezone,signed,-0.21195542046605878,2,1,0.987,Latin America,Temperate_Dry_Winter,climate,-0.21195542046605878,0
thinning,NA,250,1,region_climatezone,signed,-0.3732914754890123,8,1,4.141,Latin America,Temperate_Without_dry_season,climate,-0.34384168704156487,0.029449788447447445
thinning,NA,250,1,region_climatezone,signed,-0.12606771409603895,9,1,4.519,Latin America,Tropical,climate,-0.20289893617021273,0.07683122207417378
thinning,NA,250,1,region_climatezone,signed,-0.04123033575956796,13,1,4.259,North America,Arid,climate,-0.09695403359793242,0.055723697838364464
thinning,NA,250,1,region_climatezone,signed,-0.16036888727096227,20,1,8.241,North America,Cold_Dry_Summer,climate,-0.19629223562244594,0.03592334835148367
thinning,NA,250,1,region_climatezone,signed,-0.3260372314090504,46,1,20.198,North America,Cold_Without_dry_season_Cold_Summer,climate,-0.3209002701449831,0.0051369612640672635
thinning,NA,250,1,region_climatezone,signed,-0.29363367174280885,10,1,4.728,North America,Cold_Without_dry_season_Hot_Summer,climate,-0.258062029563798,0.035571642179010876
thinning,NA,250,1,region_climatezone,signed,-0.17838567384291262,35,1,15.189,North America,Cold_Without_dry_season_Warm_Summer,climate,-0.24718482540730438,0.06879915156439176
thinning,NA,250,1,region_climatezone,signed,-0.45052896725440805,21,1,7.94,North America,Polar,climate,-0.4256883067336428,0.02484066052076528
thinning,NA,250,1,region_climatezone,signed,0.128690036900369,5,1,2.168,North America,Temperate_Dry_Summer,human,0.013522825150732137,0.11516721174963687
thinning,NA,250,1,region_climatezone,signed,-0.3001131435036771,14,1,5.303,North America,Temperate_Without_dry_season,climate,-0.1578478914738199,0.14226525202985724
thinning,NA,250,1,region_climatezone,signed,-0.23106575963718817,1,1,0.441,Oceania,Arid,climate,-0.23106575963718817,0
thinning,NA,250,1,region_climatezone,signed,-0.18768115942028984,1,1,0.138,Oceania,Cold_Without_dry_season_Cold_Summer,climate,-0.18768115942028984,0
thinning,NA,250,1,region_climatezone,signed,0.13786764705882348,1,1,0.544,Oceania,Cold_Without_dry_season_Warm_Summer,human,-0.030684699915469144,0.16855234697429264
thinning,NA,250,1,region_climatezone,signed,-0.5269406392694064,1,1,0.219,Oceania,Temperate_Dry_Summer,climate,-0.5269406392694064,0
thinning,NA,250,1,region_climatezone,signed,-0.012820512820512832,1,1,0.312,Oceania,Temperate_Dry_Winter,climate,-0.012820512820512832,0
thinning,NA,250,1,region_climatezone,signed,-0.11390701468189234,5,1,2.452,Oceania,Temperate_Without_dry_season,climate,-0.2920142568153357,0.17810724213344337
thinning,NA,250,1,region_climatezone,signed,-0.2593905817174515,4,1,1.8050000000000002,Oceania,Tropical,climate,-0.2593905817174515,0
thinning,NA,250,1,overall,zero_truncated,-0.48947766129331066,361,39,89.0629,All,All,climate,-0.4767035948531674,0.012774066440143284
thinning,NA,250,1,region,zero_truncated,-0.6309440413375579,67,10,15.5597,Asia,All,climate,-0.6007264841916491,0.03021755714590879
thinning,NA,250,1,region,zero_truncated,-0.5538777702759311,80,7,20.2913,Europe,All,climate,-0.5205549299021911,0.033322840373740004
thinning,NA,250,1,region,zero_truncated,-0.5186949143263809,36,7,9.1335,Latin America,All,climate,-0.540289631976551,0.02159471765017007
thinning,NA,250,1,region,zero_truncated,-0.41497572069580185,164,8,40.6725,North America,All,climate,-0.42431683537940396,0.009341114683602103
thinning,NA,250,1,region,zero_truncated,-0.2708535188936845,14,7,3.4059,Oceania,All,climate,-0.42363382665782195,0.15278030776413748
thinning,NA,250,1,region_climatezone,zero_truncated,-0.5334649312195423,15,1,3.2422,Asia,Arid,climate,-0.5609479064484485,0.027482975228906192
thinning,NA,250,1,region_climatezone,zero_truncated,-1,4,1,0.9088999999999999,Asia,Cold_Dry_Summer,climate,-1,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.607499177721741,12,1,2.7363,Asia,Cold_Dry_Winter,climate,-0.6212127798304716,0.013713602108730627
thinning,NA,250,1,region_climatezone,zero_truncated,-0.841903124104328,6,1,1.7445,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8063029121049599,0.035600211999368137
thinning,NA,250,1,region_climatezone,zero_truncated,0.2971830985915493,1,1,0.14200000000000002,Asia,Cold_Without_dry_season_Hot_Summer,human,0.2971830985915493,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7921466192780371,10,1,2.3353,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7443992213767475,0.04774739790128957
thinning,NA,250,1,region_climatezone,zero_truncated,-0.43620844564240796,6,1,1.3356,Asia,Polar,climate,-0.5398557258791704,0.10364728023676245
thinning,NA,250,1,region_climatezone,zero_truncated,-0.7178378378378378,4,1,0.74,Asia,Temperate_Dry_Summer,climate,-0.7178378378378378,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.23678646934460884,5,1,1.5136,Asia,Temperate_Dry_Winter,climate,-0.07145414556800161,0.16533232377660723
