region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status
Europe,5500,residual_axis_2,500,394,394,12180,-0.0023145944243207475,-0.002544529262086514,0.432,FALSE,999,estimated
Europe,5500,residual_axis_3,500,394,394,12180,-0.013465363850771959,-0.002544529262086514,0.975,FALSE,999,estimated
Europe,6000,residual_axis_1,250,399,395,5079,0.03126199367649263,-0.002512562814070352,0.014,TRUE,999,estimated
Europe,6000,residual_axis_2,250,399,395,5079,0.02391389754974831,-0.002512562814070352,0.036,TRUE,999,estimated
Europe,6000,residual_axis_3,250,399,395,5079,0.012319058447939185,-0.002512562814070352,0.117,FALSE,999,estimated
Europe,6000,residual_axis_1,500,399,399,12223,0.01485870041171498,-0.002512562814070352,0.024,TRUE,999,estimated
Europe,6000,residual_axis_2,500,399,399,12223,0.01446713028450407,-0.002512562814070352,0.029,TRUE,999,estimated
Europe,6000,residual_axis_3,500,399,399,12223,-0.005131329747448333,-0.002512562814070352,0.568,FALSE,999,estimated
Europe,6500,residual_axis_1,250,389,384,4573,0.03387643047984141,-0.002577319587628866,0.011,TRUE,999,estimated
Europe,6500,residual_axis_2,250,389,384,4573,0.08638817922793757,-0.002577319587628866,0.001,TRUE,999,estimated
Europe,6500,residual_axis_3,250,389,384,4573,0.011347954472436037,-0.002577319587628866,0.14,FALSE,999,estimated
Europe,6500,residual_axis_1,500,389,389,11164,0.01965172680325726,-0.002577319587628866,0.015,TRUE,999,estimated
Europe,6500,residual_axis_2,500,389,389,11164,0.048840655515140295,-0.002577319587628866,0.001,TRUE,999,estimated
Europe,6500,residual_axis_3,500,389,389,11164,0.002644804548001046,-0.002577319587628866,0.204,FALSE,999,estimated
Europe,7000,residual_axis_1,250,418,413,5722,-4.988130466308215e-4,-0.002398081534772182,0.358,FALSE,999,estimated
Europe,7000,residual_axis_2,250,418,413,5722,0.07768685453737785,-0.002398081534772182,0.001,TRUE,999,estimated
Europe,7000,residual_axis_3,250,418,413,5722,0.02241664546082386,-0.002398081534772182,0.028,TRUE,999,estimated
Europe,7000,residual_axis_1,500,418,418,13396,0.001093341423182728,-0.002398081534772182,0.252,FALSE,999,estimated
Europe,7000,residual_axis_2,500,418,418,13396,0.02655854876178819,-0.002398081534772182,0.001,TRUE,999,estimated
Europe,7000,residual_axis_3,500,418,418,13396,0.008993469847251684,-0.002398081534772182,0.057,FALSE,999,estimated
Europe,7500,residual_axis_1,250,392,386,5096,0.03452359930743329,-0.0025575447570332483,0.003,TRUE,999,estimated
Europe,7500,residual_axis_2,250,392,386,5096,0.08864577403374928,-0.0025575447570332483,0.001,TRUE,999,estimated
Europe,7500,residual_axis_3,250,392,386,5096,0.02204210231483384,-0.0025575447570332483,0.033,TRUE,999,estimated
Europe,7500,residual_axis_1,500,392,392,11854,0.00827908644849499,-0.0025575447570332483,0.078,FALSE,999,estimated
Europe,7500,residual_axis_2,500,392,392,11854,0.031423300696333346,-0.0025575447570332483,0.005,TRUE,999,estimated
Europe,7500,residual_axis_3,500,392,392,11854,0.007885639001408115,-0.0025575447570332483,0.091,FALSE,999,estimated
Europe,8000,residual_axis_1,250,385,380,4966,0.02244129848803918,-0.0026041666666666665,0.04,TRUE,999,estimated
Europe,8000,residual_axis_2,250,385,380,4966,0.005143300345919839,-0.0026041666666666665,0.236,FALSE,999,estimated
Europe,8000,residual_axis_3,250,385,380,4966,-0.0082232383941553,-0.0026041666666666665,0.667,FALSE,999,estimated
Europe,8000,residual_axis_1,500,385,385,11376,0.010918737228798605,-0.0026041666666666665,0.064,FALSE,999,estimated
Europe,8000,residual_axis_2,500,385,385,11376,3.0742487772857904e-4,-0.0026041666666666665,0.29,FALSE,999,estimated
Europe,8000,residual_axis_3,500,385,385,11376,-0.012333284915678602,-0.0026041666666666665,0.943,FALSE,999,estimated
Europe,8500,residual_axis_1,250,362,357,4536,-0.022455262031680606,-0.002770083102493075,0.958,FALSE,999,estimated
Europe,8500,residual_axis_2,250,362,357,4536,0.03753253867177276,-0.002770083102493075,0.01,TRUE,999,estimated
Europe,8500,residual_axis_3,250,362,357,4536,-0.012612428223492057,-0.002770083102493075,0.779,FALSE,999,estimated
Europe,8500,residual_axis_1,500,362,362,10328,0.002268845366195227,-0.002770083102493075,0.233,FALSE,999,estimated
Europe,8500,residual_axis_2,500,362,362,10328,0.025531364609541307,-0.002770083102493075,0.008,TRUE,999,estimated
Europe,8500,residual_axis_3,500,362,362,10328,-0.008279723867159838,-0.002770083102493075,0.74,FALSE,999,estimated
North America,2000,residual_axis_1,250,558,538,3795,0.2141909162003219,-0.0017953321364452424,0.001,TRUE,999,estimated
North America,2000,residual_axis_2,250,558,538,3795,0.10982259878274057,-0.0017953321364452424,0.001,TRUE,999,estimated
North America,2000,residual_axis_3,250,558,538,3795,0.029937551464388402,-0.0017953321364452424,0.037,TRUE,999,estimated
North America,2000,residual_axis_1,500,558,556,10810,0.09404196133628927,-0.0017953321364452424,0.001,TRUE,999,estimated
North America,2000,residual_axis_2,500,558,556,10810,0.04239617298961707,-0.0017953321364452424,0.003,TRUE,999,estimated
North America,2000,residual_axis_3,500,558,556,10810,0.008076922945964534,-0.0017953321364452424,0.128,FALSE,999,estimated
North America,2500,residual_axis_1,250,540,520,3533,0.22280597805133354,-0.0018552875695732839,0.001,TRUE,999,estimated
North America,2500,residual_axis_2,250,540,520,3533,0.0922942666411443,-0.0018552875695732839,0.001,TRUE,999,estimated
North America,2500,residual_axis_3,250,540,520,3533,0.018296784830801657,-0.0018552875695732839,0.124,FALSE,999,estimated
North America,2500,residual_axis_1,500,540,538,10197,0.08267960340205845,-0.0018552875695732839,0.001,TRUE,999,estimated
North America,2500,residual_axis_2,500,540,538,10197,0.021301720408049986,-0.0018552875695732839,0.019,TRUE,999,estimated
North America,2500,residual_axis_3,500,540,538,10197,-0.003396401470420617,-0.0018552875695732839,0.527,FALSE,999,estimated
North America,3000,residual_axis_1,250,536,517,3430,0.24450389319335358,-0.001869158878504673,0.001,TRUE,999,estimated
North America,3000,residual_axis_2,250,536,517,3430,0.08847144432036139,-0.001869158878504673,0.001,TRUE,999,estimated
North America,3000,residual_axis_3,250,536,517,3430,0.031160559712745135,-0.001869158878504673,0.039,TRUE,999,estimated
North America,3000,residual_axis_1,500,536,534,9924,0.08383303237013225,-0.001869158878504673,0.001,TRUE,999,estimated
North America,3000,residual_axis_2,500,536,534,9924,0.020655455956734396,-0.001869158878504673,0.018,TRUE,999,estimated
North America,3000,residual_axis_3,500,536,534,9924,-0.0038927717475172874,-0.001869158878504673,0.551,FALSE,999,estimated
North America,3500,residual_axis_1,250,546,526,3624,0.28186305240171083,-0.001834862385321101,0.001,TRUE,999,estimated
North America,3500,residual_axis_2,250,546,526,3624,0.09779315719351798,-0.001834862385321101,0.001,TRUE,999,estimated
North America,3500,residual_axis_3,250,546,526,3624,0.056330038991686794,-0.001834862385321101,0.006,TRUE,999,estimated
North America,3500,residual_axis_1,500,546,544,10498,0.1042106869390765,-0.001834862385321101,0.001,TRUE,999,estimated
North America,3500,residual_axis_2,500,546,544,10498,0.04956430020812396,-0.001834862385321101,0.002,TRUE,999,estimated
North America,3500,residual_axis_3,500,546,544,10498,-0.006911873733632365,-0.001834862385321101,0.694,FALSE,999,estimated
