dataset_id,model_id,total_adjusted_r_squared,human,climate,signed_weight,signed_balance,zero_human,zero_climate,zero_weight,zero_balance,signed_ranking,zero_ranking,long,lat,region,climatezone
48917,analysis=spatial_spd_sensitivity|dataset_id=48917|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.243,0.1419,0.101,0.243,0.16831275720164607,0.1419,0.101,0.2429,0.1683820502264306,human,human,22.42306,58.52611,Europe,Cold_Without_dry_season_Warm_Summer
304,analysis=spatial_spd_sensitivity|dataset_id=304|region=North America|climatezone=Temperate_Without_dry_season,0.58,0.1515,0.4287,0.58,-0.47793103448275864,0.1515,0.4287,0.5802,-0.4777662874870734,climate,climate,-97.12611,30.36,North America,Temperate_Without_dry_season
15035,analysis=spatial_spd_sensitivity|dataset_id=15035|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.611,0.1963,0.4143,0.611,-0.3567921440261866,0.1963,0.4143,0.6106,-0.3570258761873567,climate,climate,-89.0935,47.91059,North America,Cold_Without_dry_season_Warm_Summer
1849,analysis=spatial_spd_sensitivity|dataset_id=1849|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.591,0.1143,0.4763,0.591,-0.6125211505922166,0.1143,0.4763,0.5906,-0.6129359972908905,climate,climate,-57.75,53.05,North America,Cold_Without_dry_season_Cold_Summer
16212,analysis=spatial_spd_sensitivity|dataset_id=16212|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.296,0.0562,0.24,0.296,-0.620945945945946,0.0562,0.24,0.2962,-0.6205266711681295,climate,climate,-2.84844,41.99772,Europe,Cold_Without_dry_season_Warm_Summer
1705,analysis=spatial_spd_sensitivity|dataset_id=1705|region=North America|climatezone=Temperate_Without_dry_season,0.384,0.2962,0.088,0.384,0.5421875,0.2962,0.088,0.3842,0.5419052576782927,human,human,-122.54722,49.30833,North America,Temperate_Without_dry_season
492,analysis=spatial_spd_sensitivity|dataset_id=492|region=North America|climatezone=Temperate_Without_dry_season,0.07,-0.053,0.1233,0.07,-2.5185714285714287,0,0.1233,0.1233,-1,climate,climate,-78.95401,33.79844,North America,Temperate_Without_dry_season
4203,analysis=spatial_spd_sensitivity|dataset_id=4203|region=Europe|climatezone=Cold_Without_dry_season_Warm_Summer,0.445,-0.0209,0.466,0.445,-1.0941573033707865,0,0.466,0.466,-1,climate,climate,27.57509,59.30546,Europe,Cold_Without_dry_season_Warm_Summer
42722,analysis=spatial_spd_sensitivity|dataset_id=42722|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.438,0.1707,0.2678,0.438,-0.22168949771689495,0.1707,0.2678,0.4385,-0.22143671607753704,climate,climate,-55.4959,48.24689,North America,Cold_Without_dry_season_Warm_Summer
550,analysis=spatial_spd_sensitivity|dataset_id=550|region=North America|climatezone=Temperate_Dry_Summer,0.365,0.2334,0.1315,0.365,0.2791780821917808,0.2334,0.1315,0.3649,0.27925459029871197,human,human,-122.25,46.59167,North America,Temperate_Dry_Summer
3830,analysis=spatial_spd_sensitivity|dataset_id=3830|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,0.241,0.0874,0.1534,0.241,-0.27385892116182575,0.0874,0.1534,0.24080000000000001,-0.27408637873754155,climate,climate,-74.05822,44.14671,North America,Cold_Without_dry_season_Warm_Summer
17359,analysis=spatial_spd_sensitivity|dataset_id=17359|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.613,-0.0277,0.641,0.613,-1.0908646003262643,0,0.641,0.641,-1,climate,climate,-149.26043,63.88385,North America,Cold_Without_dry_season_Cold_Summer
40579,analysis=spatial_spd_sensitivity|dataset_id=40579|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,0.702,0.0985,0.6035,0.702,-0.7193732193732194,0.0985,0.6035,0.7020000000000001,-0.7193732193732193,climate,climate,8.51833,46.445,Europe,Cold_Without_dry_season_Cold_Summer
41183,analysis=spatial_spd_sensitivity|dataset_id=41183|region=North America|climatezone=Cold_Dry_Summer,0.256,0.0131,0.2429,0.256,-0.89765625,0.0131,0.2429,0.256,-0.89765625,climate,climate,-149.91417,60.25387,North America,Cold_Dry_Summer
15189,analysis=spatial_spd_sensitivity|dataset_id=15189|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,0.532,0.1418,0.3899,0.532,-0.46635338345864663,0.1418,0.3899,0.5317000000000001,-0.46661651307128077,climate,climate,-152.49547,67.10883,North America,Cold_Without_dry_season_Cold_Summer
