dataset_id,analysis,total_adjusted_r_squared,human,climate,time,human_climate_only_total_adjusted_r_squared,human_climate_only_human,human_climate_only_climate,model_id,signed_difference,signed_balance,zero_human,zero_climate,zero_time,human_climate_total,three_group_total,zero_balance,human_allocation,climate_allocation,time_allocation,signed_weight,zero_weight,human_climate_only_signed_weight,human_climate_only_signed_balance,human_climate_only_zero_human,human_climate_only_zero_climate,human_climate_only_zero_weight,human_climate_only_zero_balance,signed_ranking,zero_ranking,status,long,lat,region,climatezone
2643,spatial_events,0.222,0.0264,0.0953,0.1008,0.217,0.0157,0.2017,spatial_events|2643,-0.06889999999999999,-0.3103603603603603,0.0264,0.0953,0.1008,0.1217,0.2225,-0.5661462612982744,0.11865168539325842,0.428314606741573,0.45303370786516856,0.222,0.1217,0.217,-0.8571428571428571,0.0157,0.2017,0.21739999999999998,-0.8555657773689053,climate,climate,estimated,132.783333,42.833333,Asia,Cold_Without_dry_season_Warm_Summer
1844,spatial_events,0.651,0.1093,0.2914,0.2502,0.57,0.0989,0.4714,spatial_events|1844,-0.18209999999999998,-0.27972350230414744,0.1093,0.2914,0.2502,0.4007,0.6509,-0.45445470426753176,0.1679213396835151,0.44768781686895065,0.3843908434475341,0.651,0.4007,0.57,-0.6535087719298246,0.0989,0.4714,0.5703,-0.6531650008767315,climate,climate,estimated,134.566667,43.25,Asia,Cold_Without_dry_season_Warm_Summer
15624,spatial_events,0.699,0.1615,0.3054,0.232,0.692,0.1748,0.5175,spatial_events|15624,-0.1439,-0.20586552217453508,0.1615,0.3054,0.232,0.4669,0.6989,-0.30820304133647464,0.2310774073544141,0.4369723851767063,0.3319502074688797,0.699,0.4669,0.692,-0.4952312138728323,0.1748,0.5175,0.6922999999999999,-0.49501661129568103,climate,climate,estimated,134.133333333333,35.35,Asia,Temperate_Without_dry_season
15656,spatial_events,0.39,0.0134,0.2239,0.1526,0.394,0.0068,0.3873,spatial_events|15656,-0.2105,-0.5397435897435897,0.0134,0.2239,0.1526,0.23729999999999998,0.3899,-0.887062789717657,0.03436778661195178,0.5742498076429853,0.39138240574506283,0.39,0.23729999999999998,0.394,-0.965736040609137,0.0068,0.3873,0.39409999999999995,-0.9654909921339763,climate,climate,estimated,136.11934,35.54912,Asia,Temperate_Without_dry_season
22330,spatial_events,0.188,0.0528,0.0302,0.1053,0.116,0.074,0.0425,spatial_events|22330,0.0226,0.1202127659574468,0.0528,0.0302,0.1053,0.083,0.18830000000000002,0.272289156626506,0.28040361125862984,0.1603823685608072,0.5592140201805629,0.188,0.083,0.116,0.27155172413793094,0.074,0.0425,0.11649999999999999,0.27038626609442057,human,human,estimated,42.4969444444444,41.6838888888889,Asia,Cold_Without_dry_season_Warm_Summer
15665,spatial_events,0.222,0.0536,0.1162,0.0526,0.282,0.0902,0.1914,spatial_events|15665,-0.06259999999999999,-0.28198198198198193,0.0536,0.1162,0.0526,0.1698,0.22240000000000001,-0.36866902237926963,0.24100719424460432,0.5224820143884892,0.23651079136690648,0.222,0.1698,0.282,-0.3588652482269503,0.0902,0.1914,0.28159999999999996,-0.359375,climate,climate,estimated,132.3875,34.7305555555556,Asia,Cold_Without_dry_season_Hot_Summer
4509,spatial_events,0.712,0.1026,0.2436,0.3659,0.592,0.0828,0.5088,spatial_events|4509,-0.14100000000000001,-0.19803370786516858,0.1026,0.2436,0.3659,0.3462,0.7121,-0.4072790294627383,0.14408088751579834,0.3420867855638253,0.5138323269203764,0.712,0.3462,0.592,-0.7195945945945947,0.0828,0.5088,0.5916,-0.720081135902637,climate,climate,estimated,43,38.5,Asia,Cold_Dry_Summer
24161,spatial_events,0.55,0.358,0.0288,0.1633,0.586,0.4814,0.1047,spatial_events|24161,0.3292,0.5985454545454545,0.358,0.0288,0.1633,0.3868,0.5501,0.8510858324715616,0.6507907653153971,0.05235411743319396,0.29685511725140884,0.55,0.3868,0.586,0.6428327645051195,0.4814,0.1047,0.5861,0.642723084797816,human,human,estimated,31.283333,40.6,Asia,Cold_Dry_Summer
24175,spatial_events,0.525,0.1489,0.1523,0.2234,0.481,0.2142,0.267,spatial_events|24175,-0.0033999999999999864,-0.00647619047619045,0.1489,0.1523,0.2234,0.3012,0.5246,-0.011288180610889728,0.28383530308806715,0.2903164315669081,0.4258482653450248,0.525,0.3012,0.481,-0.1097713097713098,0.2142,0.267,0.4812,-0.10972568578553618,climate,climate,estimated,33.733333,37.5,Asia,Arid
ippd_978,spatial_events,0.621,0.082,0.2987,0.2405,0.43,0.0943,0.3358,spatial_events|ippd_978,-0.2167,-0.3489533011272142,0.082,0.2987,0.2405,0.38070000000000004,0.6212,-0.5692146046755976,0.1320025756600129,0.4808435286542177,0.38715389568576947,0.621,0.38070000000000004,0.43,-0.5616279069767441,0.0943,0.3358,0.4301,-0.5614973262032086,climate,climate,estimated,150.1,-36.5833,Oceania,Temperate_Without_dry_season
