dataset_id,long,lat,depositionalenvironment,region,ecozone_koppen_5,pollen_percentage,n_taxa_harmonised_per_sequence,n_sample_filtered_per_sequence,n_chron_control_filtered_per_sequence,max_pol_counts_per_sequence,min_pol_counts_per_sequence,mean_pol_counts_per_sequence,max_chronology_age_per_sequence,min_chronology_age_per_sequence,mean_chronology_age_per_sequence,max_chronology_age_error_per_sequence,min_chronology_age_error_per_sequence,mean_chronology_age_error_per_sequence,max_calibrated_age_per_sequence,min_calibrated_age_per_sequence,mean_calibrated_age_per_sequence,calibrated_age_range_per_sequence,max_calibrated_age_uncertainty_per_sequence,min_calibrated_age_uncertainty_per_sequence,mean_calibrated_age_uncertainty_per_sequence
691,-66.125,48.91083,Natural Lake,North America,Cold,FALSE,48,23,5,868,248,523,10660,0,6018,160,1,110.2,11739,0,5638.8,11739,1763.92,2,1038.37
860,-87.73333,44.05,Lacustrine,North America,Cold,FALSE,43,43,7,372,291,318,11760,0,5249.29,380,30,171.43,11546.5,-2,5689.57,11548.5,1168.1,62.02,692.78
22745,-3.8,57.08333,Blanket Bog,Europe,Cold,FALSE,35,22,4,638,222,394,5970,0,4000,250,100,142.5,8789.5,149,5242.75,8640.5,1825.14,214.51,890.49
24321,7.99167,46.34111,Valley Mire,Europe,Cold,FALSE,61,90,9,1432,102,493,7420,-6,3876,200,50,124.44,8550.5,202,4734.53,8348.5,985.65,173.06,425.79
1604,-98.53889,73.59139,Glacial Origin Lake,North America,Polar,FALSE,33,11,5,281,150,233,7378,-45,3224,310,22,194.8,8369.5,12,3791.68,8357.5,3643.44,98.55,968.4
45349,9.87667,61.64917,Natural Lake,Europe,Cold,FALSE,57,50,9,751,502,629,12856,-49,6281.22,209,50,123.11,11852,-28,5378.32,11880,568.55,66.5,356.34
294,-49.15,-27.7,Bog,Latin America,Temperate,FALSE,58,16,5,2395,974,1546,14105,-38,7672.4,510,1,237.2,10073,-38,3855.12,10111,2080.77,2,933.24
21917,-74.16112,3.97973,Lake Marginal Fen,Latin America,Polar,FALSE,46,130,5,502,163,297,7290,-23,4235.4,150,1,96.2,8175,18,4692.35,8157,959.34,188.54,595.59
24042,12.54137,49.60793,Fen,Europe,Cold,FALSE,82,65,6,2038,873,1305,11818,102,6103.33,576,130,407,8123,115,3949.77,8008,1371.09,207,974.55
48984,6.59417,44.91889,Bog,Europe,Cold,FALSE,51,38,4,12718,287,1303,8461,-47,4457.25,130,50,88.5,9720.5,-25,4501.12,9745.5,2607.65,64,1063.11
672,-80.36667,43.23333,Kettle Lake,North America,Cold,FALSE,47,81,6,480,290,360,11770,0,6578.33,180,35,122.5,11980,184,7877.57,11796,907.09,237.2,678.47
15732,-75.88531,44.33091,Marsh,North America,Cold,FALSE,42,109,11,311,40,240,8650,-52,4205.27,96,2,52.45,8173,-43,2465.36,8216,637.03,66.51,317.89
45713,7.2514,59.79573,Natural Lake,Europe,Cold,FALSE,62,88,7,1548,776,987,8793,-46,4712.14,252,50,159.86,8921.5,-21.5,4964.61,8943,784.2,71.51,498.79
22820,11.85,53.43333,Lacustrine,Europe,Cold,FALSE,105,201,11,3011,545,783,9736,-50,3220.91,100,20,35.18,11958.5,41,5418.61,11917.5,731.51,38,310.7
1390,-157.21667,66.76667,Kettle Lake,North America,Cold,FALSE,44,26,12,417,318,357,36970,0,16116.25,2500,140,645,11999,143,7964.02,11856,2708.74,345.51,1351.92
2671,-65.76278,49.15778,Natural Lake,North America,Cold,FALSE,42,21,5,751,383,519,10360,0,6266,170,1,92.2,11908.5,669,6871.33,11239.5,1898.16,207.06,1011.9
16075,-122.1965,41.6343,Volcanic Origin Lake,North America,Cold,FALSE,43,25,19,2972,399,1544,29490,-41,18968.89,670,70,210.53,11821.5,624,6759.48,11197.5,2666.12,139.16,2013.68
4367,-3.01667,42.03333,Marsh,Europe,Cold,FALSE,71,40,16,622,359,441,13720,0,9704.38,250,130,166.25,11925,182.5,7183.81,11742.5,1706.02,281.5,740.7
19820,-122.90448,48.60335,Lake Marginal Fen,North America,Temperate,FALSE,44,82,7,4215,1320,2484,11020,-31,7070.86,150,1,71.57,11923,224,5437.82,11699,1790.79,232.52,885.66
22894,23.53957,47.80747,Mire,Europe,Cold,FALSE,64,204,17,760,301,541,12365,-45,6460.59,150,25,85.59,11842,-54,6795.34,11896,1178.09,10.52,371.3
2645,-71.03333,41.95,Swamp,North America,Cold,FALSE,41,33,4,687,302,479,7250,0,3897.5,160,1,112.75,10135.5,-34,5182.32,10169.5,5110.3,2,1545.63
22890,7.68611,46.85083,Raised Bog,Europe,Cold,FALSE,49,101,7,1554,248,851,6560,-16,3712.43,250,36,73.43,9554.5,644.5,5991.36,8910,3112.63,123.52,949.58
253,-127.48333,65.01667,Glacial Origin Lake,North America,Cold,FALSE,30,52,6,491,303,428,10230,0,5223.33,300,40,150,11998,2,5598.05,11996,1041.32,70.52,625.88
2647,-114.60076,50.81468,Kettle Lake,North America,Cold,FALSE,44,54,9,486,206,361,10400,-35,6796.56,360,1,110.11,11462,-35,5841.47,11497,1284.61,2,665.35
13097,-89.32331,46.21253,Glacial Origin Lake,North America,Cold,FALSE,25,35,6,548,249,461,9740,-43,5134.5,170,5,115.83,11332,45,5471.01,11287,1298.77,245.94,739.76
15789,-120.453,73.4658,Kettle Lake,North America,Polar,FALSE,23,46,4,383,289,323,9170,-24,4306.5,160,100,122.5,11872.5,171,6252.34,11701.5,4787.2,332.17,1388.36
