data_parameters
dataset_id
handle
siteid
sitename
long
lat
altitude
depositionalenvironment
region
country
harmonisation_region
levels
n_sample_counts
age_min
age_max
age_uncertainty
chron_control_format
n_chron_control
chron_control_limits
age_type
curve_name
postbomb_curve_name
raw_counts
pollen_percentage
young_age
old_age
end_of_interest_period
source_of_data
data_publicity
doi
counts_harmonised
publications
publication
source_of_data_simple
counts_to_plot
ecozone_koppen_5
ecozone_koppen_30
ecozone_koppen_15
