analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Latin America,1000,human,zero_truncated,0,0.095,0,1
temporal_events,Latin America,1500,climate,zero_truncated,0.1286,0.1294,0.9938176197836167,1
temporal_events,Latin America,1500,human,zero_truncated,8e-4,0.1294,0.006182380216383308,1
temporal_events,Latin America,2000,climate,zero_truncated,0.151,0.1568,0.9630102040816326,1
temporal_events,Latin America,2000,human,zero_truncated,0.0058,0.1568,0.036989795918367346,1
temporal_events,Latin America,2500,climate,zero_truncated,0.1404,0.159,0.8830188679245282,1
temporal_events,Latin America,2500,human,zero_truncated,0.0186,0.159,0.11698113207547169,1
temporal_events,Latin America,3000,climate,zero_truncated,0.1672,0.17179999999999998,0.9732246798603027,1
temporal_events,Latin America,3000,human,zero_truncated,0.0046,0.17179999999999998,0.026775320139697325,1
temporal_events,Latin America,3500,climate,zero_truncated,0.1634,0.1828,0.8938730853391684,1
temporal_events,Latin America,3500,human,zero_truncated,0.0194,0.1828,0.10612691466083152,1
temporal_events,Latin America,4000,climate,zero_truncated,0.1758,0.18880000000000002,0.9311440677966101,1
temporal_events,Latin America,4000,human,zero_truncated,0.013,0.18880000000000002,0.06885593220338981,1
temporal_events,Latin America,4500,climate,zero_truncated,0.1668,0.17830000000000001,0.9355019629837352,1
temporal_events,Latin America,4500,human,zero_truncated,0.0115,0.17830000000000001,0.06449803701626472,1
temporal_events,Latin America,5000,climate,zero_truncated,0.1677,0.1677,1,1
temporal_events,Latin America,5000,human,zero_truncated,0,0.1677,0,1
temporal_events,Latin America,5500,climate,zero_truncated,0.1625,0.1625,1,1
temporal_events,Latin America,5500,human,zero_truncated,0,0.1625,0,1
temporal_events,Latin America,6000,climate,zero_truncated,0.1538,0.1538,1,1
temporal_events,Latin America,6000,human,zero_truncated,0,0.1538,0,1
temporal_events,Latin America,6500,climate,zero_truncated,0.161,0.1642,0.9805115712545676,1
temporal_events,Latin America,6500,human,zero_truncated,0.0032,0.1642,0.0194884287454324,1
temporal_events,Latin America,7000,climate,zero_truncated,0.124,0.1317,0.9415337889141988,1
temporal_events,Latin America,7000,human,zero_truncated,0.0077,0.1317,0.05846621108580106,1
temporal_events,Latin America,7500,climate,zero_truncated,0.1417,0.14509999999999998,0.976567884217781,1
temporal_events,Latin America,7500,human,zero_truncated,0.0034,0.14509999999999998,0.02343211578221916,1
temporal_events,Latin America,8000,climate,zero_truncated,0.1162,0.1162,1,1
temporal_events,Latin America,8000,human,zero_truncated,0,0.1162,0,1
temporal_events,Latin America,8500,climate,zero_truncated,0.1219,0.1219,1,1
temporal_events,Latin America,8500,human,zero_truncated,0,0.1219,0,1
temporal_events,North America,500,climate,zero_truncated,0.1032,0.1583,0.6519267214150347,1
temporal_events,North America,500,human,zero_truncated,0.0551,0.1583,0.3480732785849653,1
temporal_events,North America,1000,climate,zero_truncated,0.0947,0.1092,0.8672161172161172,1
temporal_events,North America,1000,human,zero_truncated,0.0145,0.1092,0.13278388278388278,1
temporal_events,North America,1500,climate,zero_truncated,0.0953,0.1018,0.9361493123772101,1
temporal_events,North America,1500,human,zero_truncated,0.0065,0.1018,0.06385068762278978,1
temporal_events,North America,2000,climate,zero_truncated,0.0974,0.1007,0.9672293942403178,1
temporal_events,North America,2000,human,zero_truncated,0.0033,0.1007,0.03277060575968223,1
temporal_events,North America,2500,climate,zero_truncated,0.0964,0.1025,0.9404878048780488,1
temporal_events,North America,2500,human,zero_truncated,0.0061,0.1025,0.059512195121951224,1
temporal_events,North America,3000,climate,zero_truncated,0.1001,0.10769999999999999,0.9294336118848654,1
temporal_events,North America,3000,human,zero_truncated,0.0076,0.10769999999999999,0.07056638811513465,1
temporal_events,North America,3500,climate,zero_truncated,0.097,0.10540000000000001,0.920303605313093,1
temporal_events,North America,3500,human,zero_truncated,0.0084,0.10540000000000001,0.07969639468690701,1
temporal_events,North America,4000,climate,zero_truncated,0.0872,0.0943,0.9247083775185578,1
temporal_events,North America,4000,human,zero_truncated,0.0071,0.0943,0.07529162248144221,1
temporal_events,North America,4500,climate,zero_truncated,0.0957,0.10329999999999999,0.9264278799612778,1
temporal_events,North America,4500,human,zero_truncated,0.0076,0.10329999999999999,0.07357212003872218,1
temporal_events,North America,5000,climate,zero_truncated,0.0978,0.1086,0.9005524861878452,1
