analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_spd,Latin America,3500,human,signed,0.013,0.204,0.06372549019607843,1
temporal_spd,Latin America,4000,climate,signed,0.1913,0.218,0.8775229357798165,1
temporal_spd,Latin America,4000,human,signed,0.027,0.218,0.1238532110091743,1
temporal_spd,Latin America,4500,climate,signed,0.1816,0.197,0.9218274111675127,1
temporal_spd,Latin America,4500,human,signed,0.0157,0.197,0.0796954314720812,1
temporal_spd,Latin America,5000,climate,signed,0.1792,0.204,0.8784313725490197,1
temporal_spd,Latin America,5000,human,signed,0.0248,0.204,0.12156862745098039,1
temporal_spd,Latin America,5500,climate,signed,0.1558,0.165,0.9442424242424242,1
temporal_spd,Latin America,5500,human,signed,0.0094,0.165,0.05696969696969697,1
temporal_spd,Latin America,6000,climate,signed,0.1603,0.17,0.9429411764705882,1
temporal_spd,Latin America,6000,human,signed,0.0095,0.17,0.055882352941176466,1
temporal_spd,Latin America,6500,climate,signed,0.163,0.159,1.0251572327044025,1
temporal_spd,Latin America,6500,human,signed,-0.0044,0.159,-0.027672955974842768,1
temporal_spd,Latin America,7000,climate,signed,0.122,0.128,0.953125,1
temporal_spd,Latin America,7000,human,signed,0.0064,0.128,0.05,1
temporal_spd,Latin America,7500,climate,signed,0.1455,0.145,1.0034482758620689,1
temporal_spd,Latin America,7500,human,signed,-6e-4,0.145,-0.004137931034482759,1
temporal_spd,Latin America,8000,climate,signed,0.1216,0.173,0.7028901734104047,1
temporal_spd,Latin America,8000,human,signed,0.0512,0.173,0.29595375722543354,1
temporal_spd,Latin America,8500,climate,signed,0.1274,0.137,0.9299270072992701,1
temporal_spd,Latin America,8500,human,signed,0.0097,0.137,0.0708029197080292,1
temporal_spd,North America,2000,climate,signed,0.0944,0.1,0.944,1
temporal_spd,North America,2000,human,signed,0.0057,0.1,0.057,1
temporal_spd,North America,2500,climate,signed,0.0994,0.108,0.9203703703703704,1
temporal_spd,North America,2500,human,signed,0.0081,0.108,0.075,1
temporal_spd,North America,3000,climate,signed,0.1006,0.109,0.9229357798165138,1
temporal_spd,North America,3000,human,signed,0.0087,0.109,0.07981651376146788,1
temporal_spd,North America,3500,climate,signed,0.0995,0.103,0.9660194174757283,1
temporal_spd,North America,3500,human,signed,0.0036,0.103,0.03495145631067961,1
temporal_spd,North America,4000,climate,signed,0.0877,0.098,0.8948979591836734,1
temporal_spd,North America,4000,human,signed,0.0103,0.098,0.10510204081632653,1
temporal_spd,North America,4500,climate,signed,0.097,0.106,0.9150943396226415,1
temporal_spd,North America,4500,human,signed,0.0095,0.106,0.08962264150943396,1
temporal_spd,North America,5000,climate,signed,0.1001,0.107,0.9355140186915888,1
temporal_spd,North America,5000,human,signed,0.0068,0.107,0.06355140186915888,1
temporal_spd,North America,5500,climate,signed,0.0859,0.097,0.8855670103092783,1
temporal_spd,North America,5500,human,signed,0.0114,0.097,0.11752577319587629,1
temporal_spd,North America,6000,climate,signed,0.0902,0.103,0.8757281553398059,1
temporal_spd,North America,6000,human,signed,0.0126,0.103,0.12233009708737864,1
temporal_spd,North America,6500,climate,signed,0.0988,0.108,0.9148148148148149,1
temporal_spd,North America,6500,human,signed,0.0093,0.108,0.08611111111111111,1
temporal_spd,North America,7000,climate,signed,0.0958,0.108,0.887037037037037,1
temporal_spd,North America,7000,human,signed,0.012,0.108,0.11111111111111112,1
temporal_spd,North America,7500,climate,signed,0.0863,0.099,0.8717171717171717,1
temporal_spd,North America,7500,human,signed,0.0126,0.099,0.12727272727272726,1
temporal_spd,North America,8000,climate,signed,0.1037,0.112,0.9258928571428571,1
temporal_spd,North America,8000,human,signed,0.0085,0.112,0.07589285714285715,1
temporal_spd,North America,8500,climate,signed,0.0986,0.104,0.948076923076923,1
temporal_spd,North America,8500,human,signed,0.005,0.104,0.04807692307692308,1
temporal_spd,Oceania,2000,climate,signed,0.0083,0.032,0.259375,1
temporal_spd,Oceania,2000,human,signed,0.0232,0.032,0.725,1
temporal_spd,Oceania,2500,climate,signed,0.0611,0.071,0.8605633802816902,1
temporal_spd,Oceania,2500,human,signed,0.0094,0.071,0.13239436619718312,1
temporal_spd,Oceania,3000,climate,signed,0.1154,0.143,0.806993006993007,1
temporal_spd,Oceania,3000,human,signed,0.0275,0.143,0.19230769230769232,1
temporal_spd,Oceania,3500,climate,signed,0.1191,0.143,0.8328671328671329,1
temporal_spd,Oceania,3500,human,signed,0.0236,0.143,0.16503496503496504,1
temporal_spd,Oceania,4000,climate,signed,0.075,0.082,0.9146341463414633,1
temporal_spd,Oceania,4000,human,signed,0.0072,0.082,0.08780487804878048,1
temporal_spd,Oceania,4500,climate,signed,0.1186,0.123,0.9642276422764228,1
temporal_spd,Oceania,4500,human,signed,0.0048,0.123,0.03902439024390244,1
temporal_spd,Oceania,5000,climate,signed,0.0634,0.065,0.9753846153846153,1
temporal_spd,Oceania,5000,human,signed,0.0016,0.065,0.024615384615384615,1
temporal_spd,Oceania,5500,climate,signed,0.0585,0.064,0.9140625,1
temporal_spd,Oceania,5500,human,signed,0.0058,0.064,0.090625,1
temporal_spd,Oceania,6000,climate,signed,0.0688,0.068,1.011764705882353,1
temporal_spd,Oceania,6000,human,signed,-0.0013,0.068,-0.019117647058823527,1
temporal_spd,Oceania,6500,climate,signed,0.0866,0.074,1.1702702702702703,1
temporal_spd,Oceania,6500,human,signed,-0.0124,0.074,-0.16756756756756758,1
temporal_spd,Oceania,7500,climate,signed,0.0432,0.028,1.542857142857143,1
temporal_spd,Oceania,7500,human,signed,-0.0149,0.028,-0.5321428571428571,1
temporal_spd,Oceania,8000,climate,signed,0.0593,0.06,0.9883333333333334,1
temporal_spd,Oceania,8000,human,signed,8e-4,0.06,0.013333333333333334,1
temporal_spd,Oceania,8500,climate,signed,0.0676,0.069,0.979710144927536,1
temporal_spd,Oceania,8500,human,signed,0.0011,0.069,0.015942028985507246,1
