analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Latin America,4000,climate,signed,0.1758,0.189,0.9301587301587302,1
temporal_events,Latin America,4000,human,signed,0.013,0.189,0.06878306878306878,1
temporal_events,Latin America,4500,climate,signed,0.1668,0.178,0.9370786516853933,1
temporal_events,Latin America,4500,human,signed,0.0115,0.178,0.06460674157303371,1
temporal_events,Latin America,5000,climate,signed,0.1677,0.165,1.0163636363636361,1
temporal_events,Latin America,5000,human,signed,-0.0031,0.165,-0.018787878787878787,1
temporal_events,Latin America,5500,climate,signed,0.1625,0.16,1.015625,1
temporal_events,Latin America,5500,human,signed,-0.0026,0.16,-0.01625,1
temporal_events,Latin America,6000,climate,signed,0.1538,0.152,1.0118421052631579,1
temporal_events,Latin America,6000,human,signed,-0.0018,0.152,-0.011842105263157895,1
temporal_events,Latin America,6500,climate,signed,0.161,0.164,0.9817073170731707,1
temporal_events,Latin America,6500,human,signed,0.0032,0.164,0.01951219512195122,1
temporal_events,Latin America,7000,climate,signed,0.124,0.132,0.9393939393939393,1
temporal_events,Latin America,7000,human,signed,0.0077,0.132,0.058333333333333334,1
temporal_events,Latin America,7500,climate,signed,0.1417,0.145,0.9772413793103448,1
temporal_events,Latin America,7500,human,signed,0.0034,0.145,0.023448275862068966,1
temporal_events,Latin America,8000,climate,signed,0.1162,0.111,1.0468468468468468,1
temporal_events,Latin America,8000,human,signed,-0.0053,0.111,-0.047747747747747746,1
temporal_events,Latin America,8500,climate,signed,0.1219,0.117,1.0418803418803417,1
temporal_events,Latin America,8500,human,signed,-0.0052,0.117,-0.04444444444444444,1
temporal_events,North America,500,climate,signed,0.1032,0.158,0.6531645569620254,1
temporal_events,North America,500,human,signed,0.0551,0.158,0.3487341772151899,1
temporal_events,North America,1000,climate,signed,0.0947,0.109,0.8688073394495414,1
temporal_events,North America,1000,human,signed,0.0145,0.109,0.13302752293577982,1
temporal_events,North America,1500,climate,signed,0.0953,0.102,0.9343137254901961,1
temporal_events,North America,1500,human,signed,0.0065,0.102,0.06372549019607843,1
temporal_events,North America,2000,climate,signed,0.0974,0.101,0.9643564356435643,1
temporal_events,North America,2000,human,signed,0.0033,0.101,0.03267326732673267,1
temporal_events,North America,2500,climate,signed,0.0964,0.102,0.9450980392156864,1
temporal_events,North America,2500,human,signed,0.0061,0.102,0.05980392156862746,1
temporal_events,North America,3000,climate,signed,0.1001,0.108,0.9268518518518518,1
temporal_events,North America,3000,human,signed,0.0076,0.108,0.07037037037037037,1
temporal_events,North America,3500,climate,signed,0.097,0.105,0.9238095238095239,1
temporal_events,North America,3500,human,signed,0.0084,0.105,0.08,1
temporal_events,North America,4000,climate,signed,0.0872,0.094,0.9276595744680851,1
temporal_events,North America,4000,human,signed,0.0071,0.094,0.07553191489361702,1
temporal_events,North America,4500,climate,signed,0.0957,0.103,0.929126213592233,1
temporal_events,North America,4500,human,signed,0.0076,0.103,0.07378640776699029,1
temporal_events,North America,5000,climate,signed,0.0978,0.109,0.8972477064220183,1
temporal_events,North America,5000,human,signed,0.0108,0.109,0.09908256880733946,1
