analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_events,Europe,7500,climate,zero_truncated,0.0787,0.09230000000000001,0.8526543878656555,1
temporal_events,Europe,7500,human,zero_truncated,0.0136,0.09230000000000001,0.14734561213434452,1
temporal_events,Europe,8000,climate,zero_truncated,0.0778,0.0876,0.8881278538812785,1
temporal_events,Europe,8000,human,zero_truncated,0.0098,0.0876,0.11187214611872145,1
temporal_events,Europe,8500,climate,zero_truncated,0.0739,0.07819999999999999,0.9450127877237852,1
temporal_events,Europe,8500,human,zero_truncated,0.0043,0.07819999999999999,0.054987212276214836,1
temporal_events,Latin America,500,climate,zero_truncated,0.0687,0.0784,0.8762755102040817,1
temporal_events,Latin America,500,human,zero_truncated,0.0097,0.0784,0.12372448979591838,1
temporal_events,Latin America,1000,climate,zero_truncated,0.1081,0.1121,0.9643175735950045,1
temporal_events,Latin America,1000,human,zero_truncated,0.004,0.1121,0.03568242640499554,1
temporal_events,Latin America,1500,climate,zero_truncated,0.1286,0.1294,0.9938176197836167,1
temporal_events,Latin America,1500,human,zero_truncated,8e-4,0.1294,0.006182380216383308,1
temporal_events,Latin America,2000,climate,zero_truncated,0.151,0.1568,0.9630102040816326,1
temporal_events,Latin America,2000,human,zero_truncated,0.0058,0.1568,0.036989795918367346,1
temporal_events,Latin America,2500,climate,zero_truncated,0.1416,0.158,0.8962025316455696,1
temporal_events,Latin America,2500,human,zero_truncated,0.0164,0.158,0.10379746835443039,1
temporal_events,Latin America,3000,climate,zero_truncated,0.1595,0.1595,1,1
temporal_events,Latin America,3000,human,zero_truncated,0,0.1595,0,1
temporal_events,Latin America,3500,climate,zero_truncated,0.1617,0.183,0.8836065573770493,1
temporal_events,Latin America,3500,human,zero_truncated,0.0213,0.183,0.11639344262295082,1
temporal_events,Latin America,4000,climate,zero_truncated,0.1758,0.18880000000000002,0.9311440677966101,1
temporal_events,Latin America,4000,human,zero_truncated,0.013,0.18880000000000002,0.06885593220338981,1
temporal_events,Latin America,4500,climate,zero_truncated,0.1668,0.17830000000000001,0.9355019629837352,1
temporal_events,Latin America,4500,human,zero_truncated,0.0115,0.17830000000000001,0.06449803701626472,1
temporal_events,Latin America,5000,climate,zero_truncated,0.1627,0.1627,1,1
temporal_events,Latin America,5000,human,zero_truncated,0,0.1627,0,1
temporal_events,Latin America,5500,climate,zero_truncated,0.1524,0.1524,1,1
temporal_events,Latin America,5500,human,zero_truncated,0,0.1524,0,1
temporal_events,Latin America,6000,climate,zero_truncated,0.1598,0.1598,1,1
temporal_events,Latin America,6000,human,zero_truncated,0,0.1598,0,1
temporal_events,Latin America,6500,climate,zero_truncated,0.161,0.1642,0.9805115712545676,1
temporal_events,Latin America,6500,human,zero_truncated,0.0032,0.1642,0.0194884287454324,1
temporal_events,Latin America,7000,climate,zero_truncated,0.124,0.1317,0.9415337889141988,1
temporal_events,Latin America,7000,human,zero_truncated,0.0077,0.1317,0.05846621108580106,1
temporal_events,Latin America,7500,climate,zero_truncated,0.1405,0.1431,0.9818308874912649,1
