age,predictor,Asia,Europe,Latin America,North America,Oceania
500,climate,0.5263929618768328,0.8220858895705522,0.8762755102040817,0.6519267214150347,0.9999883178934825
500,human,0.4736070381231671,0.17791411042944785,0.12372448979591838,0.3480732785849653,1.1682106517447226e-5
1000,climate,0.45735607675906187,0.8441455696202531,0.9999894737950127,0.8672161172161172,0.7284991568296796
1000,human,0.5426439232409382,0.1558544303797468,1.0526204987315922e-5,0.13278388278388278,0.27150084317032036
1500,climate,0.40046475600309844,0.8172323759791122,0.9938176197836167,0.9361493123772101,0.9999862450310174
1500,human,0.5995352439969016,0.18276762402088773,0.006182380216383308,0.06385068762278978,1.3754968982544943e-5
2000,climate,0.4819168173598553,0.7907407407407407,0.9630102040816326,0.9672293942403178,0.6872964169381108
2000,human,0.5180831826401446,0.20925925925925926,0.036989795918367346,0.03277060575968223,0.3127035830618892
2500,climate,0.611577964519141,0.8474374255065553,0.8830188679245282,0.9404878048780488,0.8369028006589786
2500,human,0.38842203548085896,0.15256257449344457,0.11698113207547169,0.059512195121951224,0.16309719934102143
3000,climate,0.6088105726872247,0.855944055944056,0.9732246798603027,0.9294336118848654,0.8776520509193777
3000,human,0.3911894273127754,0.14405594405594407,0.026775320139697325,0.07056638811513465,0.12234794908062234
3500,climate,0.896586345381526,0.6309255079006771,0.8938730853391684,0.920303605313093,0.9999926036050029
3500,human,0.10341365461847389,0.3690744920993228,0.10612691466083152,0.07969639468690701,7.396394997078425e-6
4000,climate,0.7109947643979058,0.9299781181619255,0.9311440677966101,0.9247083775185578,0.9999899498497502
4000,human,0.28900523560209423,0.0700218818380744,0.06885593220338981,0.07529162248144221,1.0050150249746232e-5
4500,climate,0.8177920685959271,0.9507278835386338,0.9355019629837352,0.9264278799612778,NA
4500,human,0.18220793140407288,0.04927211646136618,0.06449803701626472,0.07357212003872218,NA
5000,climate,0.7758444216990789,0.8863636363636365,0.9999940370063387,0.9005524861878452,NA
5000,human,0.22415557830092117,0.11363636363636363,5.962993661337738e-6,0.0994475138121547,NA
5500,climate,0.8789625360230547,0.9695603156708005,0.9999938461917157,0.9040948275862069,NA
5500,human,0.12103746397694524,0.030439684329199555,6.153808284256711e-6,0.0959051724137931,NA
6000,climate,0.9444444444444444,0.7397129186602871,0.9999934980916899,0.9052419354838709,NA
6000,human,0.05555555555555555,0.2602870813397129,6.501908310089011e-6,0.09475806451612903,NA
6500,climate,0.9772520473157416,0.9663072776280324,0.9805115712545676,0.9113796576032225,NA
6500,human,0.02274795268425842,0.03369272237196765,0.0194884287454324,0.08862034239677745,NA
7000,climate,0.9256134969325153,0.7974051896207585,0.9415337889141988,0.9883966244725738,NA
7000,human,0.07438650306748465,0.2025948103792415,0.05846621108580106,0.01160337552742616,NA
7500,climate,0.9466271312083023,0.7450236966824644,0.976567884217781,0.8563106796116504,NA
7500,human,0.053372868791697545,0.2549763033175355,0.02343211578221916,0.1436893203883495,NA
8000,climate,0.9464822609741431,0.8973471741637831,0.9999913942220807,0.8124054462934948,NA
8000,human,0.05351773902585688,0.10265282583621683,8.605777919295014e-6,0.18759455370650532,NA
8500,climate,0.9292343387470998,0.9475032010243277,0.9999917966218489,0.7135098438560761,NA
8500,human,0.07076566125290024,0.05249679897567222,8.203378151122633e-6,0.286490156143924,NA
