age,predictor,min,med,max
500,climate,0.5263929618768328,0.8220858895705522,0.9999883178934825
500,human,1.1682106517447226e-5,0.17791411042944785,0.4736070381231671
1000,climate,0.45735607675906187,0.8441455696202531,0.9999894737950127
1000,human,1.0526204987315922e-5,0.1558544303797468,0.5426439232409382
1500,climate,0.40046475600309844,0.9361493123772101,0.9999862450310174
1500,human,1.3754968982544943e-5,0.06385068762278978,0.5995352439969016
2000,climate,0.4819168173598553,0.7907407407407407,0.9672293942403178
2000,human,0.03277060575968223,0.20925925925925926,0.5180831826401446
2500,climate,0.611577964519141,0.8474374255065553,0.9404878048780488
2500,human,0.059512195121951224,0.15256257449344457,0.38842203548085896
3000,climate,0.6088105726872247,0.8776520509193777,0.9732246798603027
3000,human,0.026775320139697325,0.12234794908062234,0.3911894273127754
3500,climate,0.6309255079006771,0.896586345381526,0.9999926036050029
3500,human,7.396394997078425e-6,0.10341365461847389,0.3690744920993228
4000,climate,0.7109947643979058,0.9299781181619255,0.9999899498497502
4000,human,1.0050150249746232e-5,0.0700218818380744,0.28900523560209423
4500,climate,0.8177920685959271,0.9309649214725065,0.9507278835386338
4500,human,0.04927211646136618,0.06903507852749345,0.18220793140407288
5000,climate,0.7758444216990789,0.8934580612757408,0.9999940370063387
5000,human,5.962993661337738e-6,0.10654193872425917,0.22415557830092117
5500,climate,0.8789625360230547,0.9368275716285037,0.9999938461917157
5500,human,6.153808284256711e-6,0.06317242837149632,0.12103746397694524
6000,climate,0.7397129186602871,0.9248431899641576,0.9999934980916899
6000,human,6.501908310089011e-6,0.07515681003584229,0.2602870813397129
6500,climate,0.9113796576032225,0.971779662471887,0.9805115712545676
6500,human,0.0194884287454324,0.028220337528113038,0.08862034239677745
7000,climate,0.7974051896207585,0.933573642923357,0.9883966244725738
7000,human,0.01160337552742616,0.06642635707664285,0.2025948103792415
7500,climate,0.7450236966824644,0.9014689054099764,0.976567884217781
7500,human,0.02343211578221916,0.09853109459002352,0.2549763033175355
8000,climate,0.8124054462934948,0.921914717568963,0.9999913942220807
8000,human,8.605777919295014e-6,0.07808528243103685,0.18759455370650532
8500,climate,0.7135098438560761,0.9383687698857137,0.9999917966218489
8500,human,8.203378151122633e-6,0.06163123011428623,0.286490156143924
