radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
250,Europe,2000,spatial_model_estimated,selected,-0.0947,0.0027,0.0755,-0.0728,climate,climate,0.014983351831298558,0.41897891231964485,0.5660377358490566,0.002731189214230878,0.05352442818776715,0.07962699587983035,0.044242587010349554,0.18012520029217793,0.8198747997078221
250,Europe,2500,spatial_model_estimated,selected,-0.0767,0.0022,0.0719,-0.06970000000000001,climate,climate,0.012979351032448377,0.424188790560472,0.5628318584070796,0.0014748208038855015,0.06399570693810464,0.08544121002718397,0.018636156317904162,0.16954789408707827,0.8304521059129217
250,Europe,3000,spatial_model_estimated,selected,-0.0509,0.0069,0.0493,-0.04239999999999999,climate,climate,0.047002724795640334,0.3358310626702997,0.61716621253406,0.003229163180547001,0.03712493272266548,0.08461970881410985,0.021874099639528022,0.14684790435685036,0.8531520956431496
250,Europe,3500,spatial_model_estimated,selected,-0.0468,0.0093,0.0587,-0.0494,climate,climate,0.05227655986509274,0.32996065205171443,0.6177627880831927,0.0018010226863903744,0.05382223292362487,0.11223768617346042,0.010023301270431495,0.17788424305390715,0.8221157569460928
250,Europe,4000,spatial_model_estimated,selected,-0.067,0.008,0.0714,-0.06340000000000001,climate,climate,0.045688178183894916,0.4077669902912622,0.5465448315248429,0.0019672472725664747,0.06180953260107025,0.09661456214779396,0.014710511389022463,0.17510185341045315,0.8248981465895469
250,Europe,4500,spatial_model_estimated,selected,-0.07890000000000001,0.0019,0.0648,-0.0629,climate,climate,0.009947643979057591,0.3392670157068063,0.650785340314136,-0.0012019645503028586,0.045793494605752105,0.10677457098772225,0.03966192615319997,0.19102802719637146,0.8089719728036285
250,Europe,5000,spatial_model_estimated,selected,-0.0565,0.0035,0.0563,-0.0528,climate,climate,0.021902377972465584,0.3523153942428035,0.6257822277847309,-1.556688747397228e-4,0.0490106974402007,0.09311006931217214,0.017848952426984144,0.15981405030461726,0.8401859496953827
250,Europe,5500,spatial_model_estimated,selected,-0.0834,5e-4,0.0717,-0.0712,climate,climate,0.002554931016862545,0.36637710781808897,0.6310679611650486,2.4379991547229807e-4,0.059235723481482094,0.11120413461307688,0.02495236309383031,0.19563602110386158,0.8043639788961384
250,Europe,6000,spatial_model_estimated,selected,-0.0588,0.017,0.0651,-0.048100000000000004,climate,climate,0.10053222945002957,0.38497930218805443,0.514488468361916,0.01601401887323739,0.053453532287777716,0.08543765419956695,0.014089832213775133,0.1689950375743572,0.8310049624256428
250,Europe,6500,spatial_model_estimated,selected,-0.02,0.0329,0.046,-0.0131,climate,climate,0.19061413673232908,0.2665121668597914,0.5428736964078795,0.024715776500710884,0.030683446311034368,0.09082970843469551,0.026373611026625943,0.1726025422730667,0.8273974577269333
250,Europe,7000,spatial_model_estimated,selected,-0.0434,0.0181,0.0546,-0.036500000000000005,climate,climate,0.11624919717405267,0.3506743737957611,0.5330764290301863,0.010929366098019089,0.04050791659980579,0.07494902666977954,0.02919935672616636,0.15558566609377078,0.8444143339062292
250,Europe,7500,spatial_model_estimated,selected,-0.01249999999999999,0.0496,0.0614,-0.011800000000000005,climate,climate,0.27312775330396477,0.33810572687224677,0.38876651982378857,0.039901176270835004,0.05100625645596091,0.06478880067312309,0.025956545647004003,0.181652779046923,0.818347220953077
250,Europe,8000,spatial_model_estimated,selected,-0.060899999999999996,0.0117,0.0746,-0.0629,climate,climate,0.07235621521335808,0.46134817563388997,0.46629560915275203,0.008018968724422204,0.07298347506741065,0.06673743448551173,0.014019527550489852,0.16175940582783443,0.8382405941721656
250,Europe,8500,spatial_model_estimated,selected,-0.05990000000000001,0.009,0.0685,-0.059500000000000004,climate,climate,0.0594059405940594,0.4521452145214522,0.4884488448844884,0.002708763102045375,0.06185209104632605,0.07438617087412891,0.012525125671812742,0.15147215069431308,0.8485278493056869
