summary_level,metric,n_units,n_profile_250_km_present,n_profile_500_km_present,n_estimable_250_km,n_estimable_500_km,n_matched_estimable,n_status_changes,n_ranking_reversals,n_lost_estimability,n_gained_estimability,n_material_changes,proportion_ranking_reversals,proportion_material_changes,median_delta,delta_q25,delta_q75,region,age
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.008711698929090253,0.008711698929090253,0.008711698929090253,Latin America,5000
region_and_age,zero_allocation_human,1,1,1,1,1,1,1,0,0,0,0,0,0,0.02805188744687022,0.02805188744687022,0.02805188744687022,Latin America,5500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.040110026590438025,0.040110026590438025,0.040110026590438025,Latin America,6000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.008438509936156488,-0.008438509936156488,-0.008438509936156488,Latin America,6500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.017642345903215506,0.017642345903215506,0.017642345903215506,Latin America,7000
region_and_age,zero_allocation_human,1,1,1,1,1,1,1,0,0,0,0,0,0,0.10495740455465025,0.10495740455465025,0.10495740455465025,Latin America,7500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.10554652249908533,-0.10554652249908533,-0.10554652249908533,Latin America,8000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.02048078856171487,0.02048078856171487,0.02048078856171487,Latin America,8500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.037379451937342975,0.037379451937342975,0.037379451937342975,North America,2000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.04575758881978977,0.04575758881978977,0.04575758881978977,North America,2500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.06078508627400415,0.06078508627400415,0.06078508627400415,North America,3000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.03552917538032559,0.03552917538032559,0.03552917538032559,North America,3500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.029839981956492477,0.029839981956492477,0.029839981956492477,North America,4000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.006707024628984697,0.006707024628984697,0.006707024628984697,North America,4500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.006615252754295458,0.006615252754295458,0.006615252754295458,North America,5000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.007218446875535869,-0.007218446875535869,-0.007218446875535869,North America,5500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.01819098240469208,-0.01819098240469208,-0.01819098240469208,North America,6000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0027938874259900645,0.0027938874259900645,0.0027938874259900645,North America,6500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.01147956267555033,-0.01147956267555033,-0.01147956267555033,North America,7000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.008255415786952443,-0.008255415786952443,-0.008255415786952443,North America,7500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.014848447628795634,0.014848447628795634,0.014848447628795634,North America,8000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.025113413437959788,0.025113413437959788,0.025113413437959788,North America,8500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,1,0,0,1,1,1,-0.3194814126157334,-0.3194814126157334,-0.3194814126157334,Oceania,2000
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.13567384995956425,0.13567384995956425,0.13567384995956425,Oceania,2500
region_and_age,zero_allocation_human,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0025678650036684014,0.0025678650036684014,0.0025678650036684014,Oceania,3000
