analysis,region,age,fraction,adjusted_r_squared
temporal_spd,North America,4500,pure_human,0.006480085236499122
temporal_spd,North America,4500,pure_climate,0.015682084569906163
temporal_spd,North America,4500,pure_space,0.10204375638740482
temporal_spd,North America,4500,shared,0.08426841730338364
temporal_spd,North America,4500,total_explained,0.20847434349719374
temporal_spd,North America,4500,unexplained,0.7915256565028063
temporal_spd,North America,5000,pure_human,0.0023953103680505183
temporal_spd,North America,5000,pure_climate,0.018451322345358623
temporal_spd,North America,5000,pure_space,0.0746256205763961
temporal_spd,North America,5000,shared,0.0860752586652136
temporal_spd,North America,5000,total_explained,0.18154751195501884
temporal_spd,North America,5000,unexplained,0.8184524880449812
temporal_spd,North America,5500,pure_human,0.008922574975615216
temporal_spd,North America,5500,pure_climate,0.019409794565484972
temporal_spd,North America,5500,pure_space,0.10776727101139583
temporal_spd,North America,5500,shared,0.06897700299194898
temporal_spd,North America,5500,total_explained,0.205076643544445
temporal_spd,North America,5500,unexplained,0.794923356455555
temporal_spd,North America,6000,pure_human,0.012127905888862367
temporal_spd,North America,6000,pure_climate,0.023678361024497607
temporal_spd,North America,6000,pure_space,0.10160116713431355
temporal_spd,North America,6000,shared,0.06691762320259664
temporal_spd,North America,6000,total_explained,0.20432505725027017
temporal_spd,North America,6000,unexplained,0.7956749427497298
temporal_spd,North America,6500,pure_human,0.007818197731437104
temporal_spd,North America,6500,pure_climate,0.0195579286008829
temporal_spd,North America,6500,pure_space,0.11157974780893598
temporal_spd,North America,6500,shared,0.0807504619389472
temporal_spd,North America,6500,total_explained,0.21970633608020318
temporal_spd,North America,6500,unexplained,0.7802936639197968
temporal_spd,North America,7000,pure_human,0.009368433713600854
temporal_spd,North America,7000,pure_climate,0.02785966361147585
temporal_spd,North America,7000,pure_space,0.11083142050882866
temporal_spd,North America,7000,shared,0.07047814605138114
temporal_spd,North America,7000,total_explained,0.2185376638852865
temporal_spd,North America,7000,unexplained,0.7814623361147135
temporal_spd,North America,7500,pure_human,0.009216707820407066
temporal_spd,North America,7500,pure_climate,0.03041805380156548
temporal_spd,North America,7500,pure_space,0.08018931615836555
temporal_spd,North America,7500,shared,0.0592814714115536
temporal_spd,North America,7500,total_explained,0.1791055491918917
temporal_spd,North America,7500,unexplained,0.8208944508081083
temporal_spd,North America,8000,pure_human,0.008800613689336156
temporal_spd,North America,8000,pure_climate,0.03831320495431623
temporal_spd,North America,8000,pure_space,0.08308105934554244
temporal_spd,North America,8000,shared,0.06508914521556564
temporal_spd,North America,8000,total_explained,0.19528402320476046
temporal_spd,North America,8000,unexplained,0.8047159767952395
temporal_spd,North America,8500,pure_human,9.658513151902248e-4
temporal_spd,North America,8500,pure_climate,0.0253584832544973
temporal_spd,North America,8500,pure_space,0.10032997130888399
temporal_spd,North America,8500,shared,0.07727406951807259
temporal_spd,North America,8500,total_explained,0.2039283753966441
temporal_spd,North America,8500,unexplained,0.7960716246033559
temporal_spd,Latin America,2000,pure_human,7.592679839880656e-4
temporal_spd,Latin America,2000,pure_climate,0.12574990488365723
temporal_spd,Latin America,2000,pure_space,0.015581677582610198
temporal_spd,Latin America,2000,shared,0.026104264702504043
temporal_spd,Latin America,2000,total_explained,0.16819511515275953
temporal_spd,Latin America,2000,unexplained,0.8318048848472405
temporal_spd,Latin America,2500,pure_human,0.005439319712083224
temporal_spd,Latin America,2500,pure_climate,0.1261148015020529
temporal_spd,Latin America,2500,pure_space,0.028798099413360978
temporal_spd,Latin America,2500,shared,0.021039447983082105
temporal_spd,Latin America,2500,total_explained,0.1813916686105792
temporal_spd,Latin America,2500,unexplained,0.8186083313894208
temporal_spd,Latin America,3000,pure_human,0.02377422603759871
temporal_spd,Latin America,3000,pure_climate,0.17286603679238466
temporal_spd,Latin America,3000,pure_space,0.020078821282065507
temporal_spd,Latin America,3000,shared,-0.016609893078166738
temporal_spd,Latin America,3000,total_explained,0.20010919103388214
temporal_spd,Latin America,3000,unexplained,0.7998908089661179
temporal_spd,Latin America,4000,pure_human,0.0407383317595319
temporal_spd,Latin America,4000,pure_climate,0.20923251444295843
temporal_spd,Latin America,4000,pure_space,0.004395335172175829
